full_name,Team
Jordan Love,GB
Desmond Ridder,ATL
Brock Purdy,SF
Tua Tagovailoa,MIA
Russell Wilson,DEN
Jimmy Garoppolo,LV
Trevor Lawrence,JAC
Kirk Cousins,MIN
Justin Herbert,LAC
Derek Carr,NO
Baker Mayfield,TB
Jared Goff,DET
Mac Jones,NE
Matthew Stafford,LAR
Jalen Hurts,PHI
Geno Smith,SEA
Aaron Rodgers,NYJ
Lamar Jackson,BAL
Anthony Richardson,IND
Joshua Dobbs,ARI
Justin Fields,CHI
C J Stroud,HOU
Sam Howell,WAS
Patrick Mahomes,KC
Dak Prescott,DAL
Kenny Pickett,PIT
Deshaun Watson,CLE
Josh Allen,BUF
Joe Burrow,CIN
Bryce Young,CAR
Daniel Jones,NYG
Ryan Tannehill,TEN
