full_name,Team
Kyler Murray,ARI
Kirk Cousins,ATL
Lamar Jackson,BAL
Josh Allen,BUF
Bryce Young,CAR
Caleb Williams,CHI
Joe Burrow,CIN
Deshaun Watson,CLE
Dak Prescott,DAL
Bo Nix,DEN
Jared Goff,DET
Jordan Love,GB
C J Stroud,HOU
Anthony Richardson,IND
Trevor Lawrence,JAC
Patrick Mahomes,KC
Justin Herbert,LAC
Matthew Stafford,LAR
Gardner Minshew,LV
Tua Tagovailoa,MIA
Sam Darnold,MIN
Jacoby Brissett,NE
Derek Carr,NO
Daniel Jones,NYG
Aaron Rodgers,NYJ
Jalen Hurts,PHI
Russell Wilson,PIT
Geno Smith,SEA
Brock Purdy,SF
Baker Mayfield,TB
Will Levis,TEN
Jayden Daniels,WAS
