Team,Team_s,Games,QB_Games,QB,Off_Rus_Att_Rat,Off_Rus_Yds_Rat,Off_Rus_Tds_Rat,Off_Cmp_Rat,Off_Pas_Att_Rat,Off_Pas_Yds_Rat,Off_Pas_Tds_Rat,Off_Int_Rat
Kansas City Chiefs,KC,17,17,Patrick Mahomes,23.953849160198597,110.38837441175768,0.8626886053089137,23.32485681046716,36.03350417486553,261.0269467595958,1.698613337052041,0.7058823529411765
Philadelphia Eagles,PHI,17,15,Jalen Hurts,25.970351416314294,117.54225930118633,0.9446176008495833,19.88974056349383,30.413811526045166,227.72260460732164,1.3676588407744288,0.35294117647058826
Dallas Cowboys,DAL,17,12,Dak Prescott,25.374911103910847,113.36059384191731,0.9124523263191743,20.413112267727335,31.366671848076813,218.91851195507644,1.4913617999581372,0.8823529411764706
Buffalo Bills,BUF,16,16,Josh Allen,24.339329100664386,117.10699713425765,0.8436406385216358,21.616832185539398,34.102690445255405,242.46997958161887,1.681300303244067,0.875
Detroit Lions,DET,17,17,Jared Goff,25.658129008377735,118.6721845712789,0.9105037969074097,21.10852340767871,32.84626350727318,233.1776117104032,1.4575685317196676,0.4117647058823529
San Francisco 49ers,SF,17,7,Brock Purdy,24.62975795097489,114.63320561962317,0.8615352820463439,18.10481249349268,27.800493418164624,207.42227223738064,1.503523325705449,0.9058823529411766
Minnesota Vikings,MIN,17,17,Kirk Cousins,23.293146441577935,101.88295109278413,0.8742415420054488,23.169375353502815,36.218190913103946,239.3530301711161,1.4641967881701734,0.8235294117647058
Cincinnati Bengals,CIN,16,16,Joe Burrow,23.762272397428916,99.860948094113,0.8398711375936841,23.85629540178715,35.98737683806693,248.29578018511648,1.649586318829083,0.75
Seattle Seahawks,SEA,17,17,Geno Smith,24.37675746094357,113.52656685581532,0.8170650714172135,22.10007173625243,32.699336242655455,229.13840741510697,1.466028935316059,0.6470588235294118
Jacksonville Jaguars,JAC,17,17,Trevor Lawrence,25.135129493967305,117.10036727317102,0.8526238949466253,21.903665999221104,33.8270564419274,227.44237501415407,1.3807317633281004,0.47058823529411764
Miami Dolphins,MIA,17,13,Tua Tagovailoa,23.34458015999372,104.50961514451079,0.814992871012203,20.044272885246908,31.740735997290138,243.83786907531544,1.5208644384960697,0.47058823529411764
Las Vegas Raiders,LV,17,10.5,Jimmy Garoppolo,24.466786629829446,115.4389712297406,0.8217450158359259,19.86436061865285,31.100910718266732,220.81744843069322,1.4017288573353461,0.23529411764705882
Los Angeles Chargers,LAC,17,17,Justin Herbert,23.524164101047834,98.2992293785982,0.8456846019880626,24.83612070103912,37.88814124882684,241.47164248260626,1.368670036019376,0.5882352941176471
Green Bay Packers,GB,17,2,Jordan Love,25.61709413407436,117.27441591851732,0.8197877604928439,18.395392523308512,29.091069372270937,196.36637127595202,1.2703223639039951,0.9058823529411766
Atlanta Falcons,ATL,17,4,Desmond Ridder,26.975162511514114,127.55731844318632,0.8472372913219954,17.807857204724694,27.26484182922802,186.58111304488375,1.1614031824209663,0.9058823529411766
New York Giants,NYG,17,16,Daniel Jones,26.489303263699632,122.83755339209895,0.8877459522296333,18.93625900336614,28.44112238392872,194.0316769603473,1.1568664151617962,0.29411764705882354
New England Patriots,NE,17,14,Mac Jones,23.090581868444666,106.29646028201496,0.8267445056141577,19.886186880282626,30.58546037039085,209.63462004040414,1.1798794043616034,0.6470588235294118
Cleveland Browns,CLE,17,6,Deshaun Watson,26.35251387303651,121.02330182509732,0.8718654279234523,18.124271578852113,29.718503041648912,197.77135618873305,1.2499303138456732,0.9058823529411766
Baltimore Ravens,BAL,17,12,Lamar Jackson,24.84542636876171,121.21696350269383,0.8158400155828155,17.287058556752743,27.180444222739773,188.48197964523095,1.277126927369019,0.4117647058823529
Carolina Panthers,CAR,17,NA,Bryce Young,25.693349286131298,117.0204164119856,0.8707211800144986,16.997874510663447,26.664556855133988,188.56393882517102,1.1694289063600163,0.9058823529411766
Arizona Cardinals,ARI,17,2,Joshua Dobbs,22.769914635973375,101.05735044015964,0.8319906826347829,20.265143007622733,33.26038560510182,202.0328929611718,1.1735436231343335,0.9058823529411766
New Orleans Saints,NO,17,15,Derek Carr,25.103417410604685,110.7252789054169,0.8322285888496792,19.191337543404924,30.197729739378058,214.30101473746208,1.3514061507483155,0.8235294117647058
Chicago Bears,CHI,17,15,Justin Fields,27.361777628892046,135.25424776735434,0.8643005793486447,15.062567532084046,23.5925263594708,171.2144942854282,1.2408059783899958,0.6470588235294118
Washington Commanders,WAS,17,1,Sam Howell,25.867043383935425,108.4831362212208,0.7743916699315737,17.75540034369059,28.176320638858705,192.05511884495237,1.2565094955109848,0.9058823529411766
Tampa Bay Buccaneers,TB,17,11,Baker Mayfield,23.006100392795446,92.34375427473857,0.7654484882178305,21.279571919509376,35.07050330404513,216.26121909644607,1.2679540477103848,0.47058823529411764
Pittsburgh Steelers,PIT,17,12.5,Kenny Pickett,25.557165232268968,110.11666710178442,0.8444326239426696,19.605090482266654,31.211934996190994,199.18666320915887,1.0451802136759816,0.5294117647058824
Los Angeles Rams,LAR,17,9,Matthew Stafford,22.278230751853663,96.6439857138692,0.8363600509474872,20.402098749917087,30.723401153387602,206.09138125652734,1.1824394708348285,0.9058823529411766
Tennessee Titans,TEN,17,12,Ryan Tannehill,25.608344986169627,114.01885780658534,0.8482586471827028,17.52932453187641,26.723261204127684,197.15617785159694,1.1886158988004714,0.35294117647058826
New York Jets,NYJ,17,17,Aaron Rodgers,22.676279096028658,98.63759712319421,0.8180409440332238,19.960016575244122,32.47672398868876,211.16386892392413,1.281577526116941,0.7058823529411765
Houston Texans,HOU,17,NA,C J Stroud,23.099122830649897,98.01340876526785,0.7794861576780968,17.702910192033517,28.449518709473484,189.84426465710524,1.1919415730877454,0.9058823529411766
Indianapolis Colts,IND,17,NA,Anthony Richardson,23.618487854255505,104.28092431420063,0.784610015024852,18.561864872340053,29.382784964537386,192.68222524521937,1.168577014375583,0.9058823529411766
Denver Broncos,DEN,17,15,Russell Wilson,22.724193644500815,101.03755308462831,0.8122310378037682,18.963082770229164,30.883831442169477,213.0455193387677,1.1799601055459785,0.6470588235294118
