player,Position,Team,player_games,pl_rus_att,pl_rus_yds,pl_rus_tds,rus_att_per,rus_yds_per,rus_tds_per,Pick,tot_rus_att_per,tot_rus_yds_per,tot_rus_tds_per,adj_rus_att_per,adj_rus_yds_per,adj_rus_tds_per
Jared Goff,QB,DET,17,29,73,0,0.06041666666666667,0.03350160624139513,0.027516827290806182,NA,1.3480729117081447,1.2761159130184965,1.1960938031785031,0.04481706155649448,0.026252792477253237,0.023005576333296675
Kalif Raymond,WR,DET,17,7,36,0,0.01458333333333333,0.01652134006424965,0.007485467339758298,NA,1.3480729117081447,1.2761159130184965,1.1960938031785031,0.01081791141018832,0.012946582591522142,0.006258261116198743
Jason Cabinda,RB,DET,8,1,4,0,0.00442708333333333,0.0039008719596145,0.002160920529294782,NA,1.3480729117081447,1.2761159130184965,1.1960938031785031,0.003284008820950024,0.003056832000776061,0.001806648043449724
David Montgomery,RB,DET,16,201,801,5,0.38272849462365593,0.28236977438619776,0.32889781973252663,NA,1.3480729117081447,1.2761159130184965,1.1960938031785031,0.2839078593595507,0.22127282600707213,0.27497661041175253
Craig Reynolds,RB,DET,9,23,102,0,0.09050925925925926,0.08841976441792872,0.04504568014549658,NA,1.3480729117081447,1.2761159130184965,1.1960938031785031,0.06713973589497832,0.06928819201759075,0.037660658408054666
Amon Ra St Brown,WR,DET,16,9,95,0,0.019921875,0.04632285452042221,0.012601035452042221,NA,1.3480729117081447,1.2761159130184965,1.1960938031785031,0.014778039694275118,0.03629988000921574,0.010535156539191319
Jameson Williams,WR,DET,6,1,40,0,0.00590277777777777,0.05201162612819336,0.007562273723930444,NA,1.3480729117081447,1.2761159130184965,1.1960938031785031,0.004378678427933363,0.0407577600103475,0.0063224754645784765
Travis Kelce,TE,KC,17,2,5,0,0.00479616306954436,0.00253807106598984,0.002172272334416728,NA,1.0657961672951102,1.103437909514784,1.045942431266739,0.004500075358421084,0.002300148512303614,0.0020768564975281604
Jerick McKinnon,RB,KC,17,72,291,1,0.1726618705035971,0.14771573604060914,0.11161409958327753,NA,1.0657961672951102,1.103437909514784,1.045942431266739,0.16200271290315915,0.13386864341607074,0.10671151322171901
Patrick Mahomes,QB,KC,17,61,358,4,0.14628297362110312,0.1817258883248731,0.18779688939203967,NA,1.0657961672951102,1.103437909514784,1.045942431266739,0.1372522984318432,0.16469063348093926,0.17954801696360975
