Team,Games,Def_Rus_Att,Def_Rus_Yds,Def_Rus_Tds,Def_Cmp,Def_Pas_Att,Def_Pas_Yds,Def_Pas_Tds,Def_Int
San Francisco 49ers,17,25.062155330882355,90.84918428308823,0.8601447610294117,21.559133731617646,33.65229779411765,218.96739430147056,1.3623851102941176,1.1764705882352942
Buffalo Bills,16,25.714728860294116,109.64881663602941,0.8568359375,21.5333984375,33.800827205882356,218.13540900735293,1.3759880514705882,1.0625
Baltimore Ravens,17,25.562155330882355,100.93741957720589,0.8601447610294117,21.58854549632353,33.65229779411765,219.89680606617645,1.3623851102941176,0.8235294117647058
New York Jets,17,28.091567095588236,121.60800781249999,0.8866153492647059,21.312074908088235,33.21700367647059,215.62033547794115,1.3329733455882353,0.7058823529411765
Cincinnati Bengals,16,26.339728860294116,111.09256663602942,0.8755859374999999,21.3271484375,33.663327205882354,219.58540900735292,1.3509880514705883,0.8125
Dallas Cowboys,17,28.238625919117645,126.96094898897059,0.8424977022058823,21.300310202205882,33.14641544117647,216.76739430147057,1.3800321691176471,0.9411764705882353
Washington Commanders,17,26.591567095588236,115.7609489889706,0.8513212316176471,21.08266314338235,32.72288602941177,215.8085707720588,1.3976792279411765,0.5294117647058824
Philadelphia Eagles,17,26.738625919117645,121.60800781249999,0.8954388786764705,21.329721966911766,33.21700367647059,214.6615119485294,1.3741498161764707,1
New Orleans Saints,17,28.091567095588236,127.7844784007353,0.8866153492647059,21.165016084558822,32.98170955882353,215.11445312499998,1.3447380514705882,0.4117647058823529
Pittsburgh Steelers,17,26.620978860294116,112.13741957720589,0.8248506433823529,21.22383961397059,33.05229779411765,218.90857077205882,1.4153262867647058,1.1764705882352942
New England Patriots,17,26.591567095588236,110.2844784007353,0.8248506433823529,21.412074908088236,33.687591911764706,218.3321001838235,1.4094439338235294,1.1176470588235294
Jacksonville Jaguars,17,27.444508272058826,116.79036075367647,0.8866153492647059,21.53560431985294,33.746415441176474,220.53210018382353,1.391796875,0.8235294117647058
Tampa Bay Buccaneers,17,27.091567095588236,120.94918428308823,0.8689682904411764,21.412074908088236,33.38170955882353,217.0379825367647,1.4153262867647058,0.5882352941176471
Denver Broncos,17,26.503331801470587,113.29036075367647,0.8689682904411764,21.576780790441177,33.793474264705885,217.70268841911764,1.3623851102941176,0.8823529411764706
Tennessee Titans,17,25.091567095588236,90.27271369485294,0.8424977022058823,21.85325137867647,34.56994485294118,224.1556295955882,1.4153262867647058,0.8235294117647058
Kansas City Chiefs,17,25.944508272058826,111.51977251838235,0.8513212316176471,21.6708984375,33.958180147058826,218.77327665441175,1.4388556985294119,0.6470588235294118
Green Bay Packers,17,27.709214154411764,134.12565487132352,0.9219094669117647,21.11795726102941,32.29935661764706,216.37915900735294,1.3741498161764707,1
New York Giants,17,27.415096507352942,137.37859604779413,0.9042624080882352,21.323839613970588,33.358180147058825,218.07915900735293,1.368267463235294,0.35294117647058826
Carolina Panthers,17,27.973920036764707,122.3080078125,0.9130859375,21.523839613970587,33.49935661764706,219.4321001838235,1.391796875,0.5882352941176471
Cleveland Browns,17,27.973920036764707,130.95506663602941,0.9572035845588235,21.12383961397059,32.78170955882353,216.30268841911763,1.3623851102941176,0.6470588235294118
Los Angeles Chargers,17,27.062155330882355,138.49036075367647,0.9130859375,21.094427849264704,32.61700367647059,216.71445312499998,1.3859145220588236,0.8235294117647058
Los Angeles Rams,17,27.003331801470587,116.99624310661765,0.8689682904411764,21.476780790441175,33.21700367647059,219.27915900735292,1.3800321691176471,0.9411764705882353
Atlanta Falcons,17,28.326861213235293,127.61977251838236,0.8954388786764705,21.459133731617648,33.27582720588235,219.86739430147057,1.3976792279411765,0.5882352941176471
Miami Dolphins,17,26.03274356617647,108.55506663602941,0.8954388786764705,21.71795726102941,34.01700367647059,220.1615119485294,1.403561580882353,0.47058823529411764
Seattle Seahawks,17,29.062155330882355,141.61977251838238,0.9483800551470588,21.28854549632353,33.11112132352941,217.82621783088234,1.3800321691176471,0.8235294117647058
Las Vegas Raiders,17,27.150390625,122.39036075367648,0.9395565257352941,21.61795726102941,33.61700367647059,220.96739430147056,1.391796875,0.35294117647058826
Houston Texans,17,30.473920036764703,155.61977251838238,0.9836741727941176,21.247369025735296,32.81700367647059,217.6085707720588,1.3329733455882353,0.9411764705882353
Minnesota Vikings,17,27.238625919117645,122.63741957720589,0.9219094669117647,21.6708984375,33.93465073529412,223.2379825367647,1.3800321691176471,0.8823529411764706
Detroit Lions,17,27.650390625,139.02565487132352,0.9572035845588235,21.347369025735293,33.2640625,221.2615119485294,1.3976792279411765,0.7058823529411765
Indianapolis Colts,17,28.650390625,123.29624310661765,0.9395565257352941,21.41795726102941,32.99347426470588,217.67327665441175,1.391796875,0.5882352941176471
Arizona Cardinals,17,26.738625919117645,119.46683134191177,0.9483800551470588,21.70619255514706,33.65229779411765,219.7085707720588,1.4153262867647058,0.6470588235294118
Chicago Bears,17,29.562155330882355,146.56094898897058,1.0366153492647059,21.1708984375,32.33465073529412,218.5379825367647,1.3741498161764707,0.8235294117647058
