player,team,pos,player_games,player_gs,pl_cmp,pl_pas_att,pl_pas_yds,pl_pas_tds,pl_rus_att,pl_rus_yds,pl_rus_tds,pl_tgt,pl_rec,pl_rec_yds,pl_rec_tds,pl_int,pl_fmb,pl_fl,touches,fl_per_tou
Christian Kirk,JAX,WR,17,17,0,0.058823529411764705,0,0,0.29411764705882354,0.6470588235294118,0,7.823529411764706,4.9411764705882355,65.17647058823529,0.47058823529411764,0,0.058823529411764705,0.03678636757485318,5.294117647058823,0.006948536097472267
Najee Harris,PIT,RB,17,17,0.058823529411764705,0.058823529411764705,0.23529411764705882,0,16,60.8235294117647,0.4117647058823529,3.1176470588235294,2.411764705882353,13.470588235294118,0.17647058823529413,0,0.17647058823529413,0.09271204390103013,18.470588235294116,0.005019441867253224
Ja Marr Chase,CIN,WR,12,12,0,0,0,0,0.4166666666666667,0.6666666666666666,0,11.166666666666666,7.25,87.16666666666667,0.75,0,0.16666666666666666,0.10422804146208402,7.75,0.013448779543494712
Rhamondre Stevenson,NWE,RB,17,7,0,0,0,0,12.352941176470589,61.1764705882353,0.29411764705882354,5.176470588235294,4.0588235294117645,24.764705882352942,0.058823529411764705,0,0.23529411764705882,0.09420429382882449,16.470588235294116,0.005719546411035773
Joe Mixon,CIN,RB,14,14,0,0,0,0,15,58.142857142857146,0.5,5.357142857142857,4.285714285714286,31.5,0.14285714285714285,0,0,0,19.357142857142858,0
Tyler Lockett,SEA,WR,16,16,0,0,0,0,0,0,0,7.3125,5.25,64.5625,0.5625,0,0.125,0.07817103109656301,5.3125,0.014714547029941273
Terry McLaurin,WAS,WR,17,17,0,0,0,0,0.4117647058823529,1.7058823529411764,0,7.0588235294117645,4.529411764705882,70.05882352941177,0.29411764705882354,0,0.058823529411764705,0.01913930875132377,5,0.003827861750264754
Kenneth Walker,SEA,RB,15,11,0,0,0,0,15.2,70,0.6,2.3333333333333335,1.8,11,0,0,0,0,17.066666666666666,0
Brandon Aiyuk,SFO,WR,17,17,0,0,0,0,0.11764705882352941,1.3529411764705883,0,6.705882352941177,4.588235294117647,59.705882352941174,0.47058823529411764,0,0.058823529411764705,0.03678636757485318,4.764705882352941,0.007720595663858075
Mike Evans,TAM,WR,15,15,0,0,0,0,0,0,0,8.466666666666667,5.133333333333334,74.93333333333334,0.4,0,0,0,5.2,0
Geno Smith,SEA,QB,17,17,23.470588235294116,33.64705882352941,251.88235294117646,1.7647058823529411,4,21.529411764705884,0.058823529411764705,0,0,0,0,0.6470588235294118,0.47058823529411764,0.2237027053047078,4.0588235294117645,0.05511515927797148
Tee Higgins,CIN,WR,16,14,0,0,0,0,0,0,0,6.8125,4.625,64.3125,0.4375,0,0,0,4.6875,0
Mark Andrews,BAL,TE,15,15,0,0,0,0,0.2,0.5333333333333333,0,7.533333333333333,4.866666666666666,56.46666666666667,0.3333333333333333,0,0.06666666666666667,0.021691216584833604,5.133333333333334,0.004225561672370183
Travis Etienne,JAX,RB,17,12,0,0,0,0,12.941176470588236,66.17647058823529,0.29411764705882354,2.6470588235294117,2.0588235294117645,18.58823529411765,0,0,0.29411764705882354,0.1486377202272071,15.058823529411764,0.00987047360883797
Ezekiel Elliott,DAL,RB,15,14,0,0,0,0,15.4,58.4,0.8,1.5333333333333334,1.1333333333333333,6.133333333333334,0,0,0,0,16.6,0
Trevor Lawrence,JAX,QB,17,17,22.764705882352942,34.35294117647059,241.94117647058823,1.4705882352941178,3.6470588235294117,17.11764705882353,0.29411764705882354,0,0,0,0,0.47058823529411764,0.7058823529411765,0.3884952344276499,3.7058823529411766,0.10483204738523885
Justin Fields,CHI,QB,15,15,12.8,21.2,149.46666666666667,1.1333333333333333,10.666666666666666,76.2,0.5333333333333333,0,0,0,0,0.7333333333333333,1.0666666666666667,0.38705946535733765,10.733333333333333,0.036061440871801645
D K Metcalf,SEA,WR,17,17,0,0,0,0,0,0,0,8.294117647058824,5.294117647058823,61.64705882352941,0.35294117647058826,0,0.11764705882352941,0.07357273514970636,5.352941176470588,0.013744357115879211
Jerry Jeudy,DEN,WR,15,14,0,0,0,0,0.26666666666666666,2.6666666666666665,0,6.666666666666667,4.466666666666667,64.8,0.4,0,0,0,4.8,0
D J Moore,CAR,WR,17,17,0,0,0,0,0.5882352941176471,3.1176470588235294,0,6.9411764705882355,3.7058823529411766,52.23529411764706,0.4117647058823529,0,0,0,4.352941176470588,0
Kirk Cousins,MIN,QB,17,17,24.941176470588236,37.8235294117647,267.47058823529414,1.7058823529411764,1.8235294117647058,5.705882352941177,0.11764705882352941,0,0,0,0,0.8235294117647058,0.4117647058823529,0.1869163377298546,1.8823529411764706,0.09929930441898527
Evan Engram,JAX,TE,17,14,0,0,0,0,0.11764705882352941,0.7647058823529411,0,5.764705882352941,4.294117647058823,45.05882352941177,0.23529411764705882,0,0,0,4.470588235294118,0
Garrett Wilson,NYJ,WR,17,12,0,0.058823529411764705,0,0,0.23529411764705882,0.23529411764705882,0,8.647058823529411,4.882352941176471,64.88235294117646,0.23529411764705882,0,0.11764705882352941,0.05592567632617695,5.176470588235294,0.010803823835738729
Daniel Jones,NYG,QB,16,16,19.8125,29.5,200.3125,0.9375,7.5,44.25,0.4375,0,0,0,0,0.3125,0.375,0.178263093289689,7.5625,0.023571979277975406
Alvin Kamara,NOR,RB,15,13,0,0,0,0,14.866666666666667,59.8,0.13333333333333333,5.133333333333334,3.8,32.666666666666664,0.13333333333333333,0,0.26666666666666666,0.16676486633933443,18.733333333333334,0.008902039128434222
James Conner,ARI,RB,13,13,0,0,0,0,14.076923076923077,60.15384615384615,0.5384615384615384,4.461538461538462,3.5384615384615383,23.076923076923077,0.07692307692307693,0,0.23076923076923078,0.09816190356288555,17.692307692307693,0.005548281505728314
Leonard Fournette,TAM,RB,16,9,0,0.0625,0,0,11.8125,41.75,0.1875,5.1875,4.5625,32.6875,0.1875,0,0,0,16.4375,0
Jared Goff,DET,QB,17,17,22.470588235294116,34.529411764705884,261.05882352941177,1.7058823529411764,1.7058823529411764,4.294117647058823,0,0.058823529411764705,0.058823529411764705,0.29411764705882354,0,0.4117647058823529,0.4117647058823529,0.204563396553384,1.8235294117647058,0.11217992714217834
Cooper Kupp,LAR,WR,9,9,0,0.1111111111111111,0,0,1,5.777777777777778,0.1111111111111111,10.88888888888889,8.333333333333334,90.22222222222223,0.6666666666666666,0,0.2222222222222222,0.10563738861611201,9.444444444444445,0.01118513526523539
Chris Olave,NOR,WR,15,9,0,0,0,0,0,0,0,7.933333333333334,4.8,69.46666666666667,0.26666666666666666,0,0.13333333333333333,0.08338243316966722,4.866666666666666,0.017133376678698742
