Rk,Player,Cmp,Att,Tgt,TD,Fmb,Off%,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Fmb,FR,Yds,FRTD,FF,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
1,Tom Brady,34,3,0,1,0,100.0,Sun,16,17,2023-01-01,45-151,TAM,,CAR,W 30-24,34,45,11,75.6,432,3,0,0,6.7,0.0,127.3,3,21,6.25,9.6,10.93,9.81,12.7,56.3,3,4,1.3,1,3,100.0,0,0,0,,0,,,0,,1,0,0,,0,0,,0,0,6,0,0,0,0,0,78,100.0,0,0.0,0,0.0,QB,BradTo00
2,Aaron Rodgers,15,1,0,1,0,88.9,Sun,16,17,2023-01-01,39-030,GNB,,MIN,W 41-17,15,24,9,62.5,159,1,0,0,4.2,0.0,95.7,1,16,4.00,6.6,7.46,6.52,10.6,52.0,1,2,2.0,1,1,100.0,0,0,0,,0,,,0,,1,0,0,,0,0,,0,0,6,0,0,0,0,0,56,88.9,0,0.0,0,0.0,QB,RodgAa00
3,Matthew Slater,0,0,0,0,0,3.3,Sun,16,17,2023-01-01,37-114,NWE,,MIA,W 23-21,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,0,0,0,,0,,,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,3.3,0,0.0,23,85.2,WR,SlatMa00
4,Chase Daniel,3,0,0,0,0,20.3,Sun,16,17,2023-01-01,36-086,LAC,,LAR,W 31-10,3,3,0,100.0,27,0,0,0,0.0,0.0,104.2,0,0,0.00,9.0,9.00,9.00,9.0,66.7,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,13,20.3,0,0.0,0,0.0,QB,DaniCh00
5,DeSean Jackson,0,0,2,0,0,34.6,Sun,16,17,2023-01-01,36-031,BAL,,PIT,L 13-16,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,2,1,9,9.0,0,50.0,4.5,,50.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,18,34.6,0,0.0,0,0.0,WR,JackDe00
6,Andy Dalton,18,2,0,0,0,81.2,Sun,16,17,2023-01-01,35-064,NOR,@,PHI,W 20-10,18,22,4,81.8,205,0,1,0,0.0,4.5,86.6,6,38,21.43,9.3,7.27,4.36,11.4,42.9,2,-2,-1.0,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,56,81.2,0,0.0,0,0.0,QB,DaltAn00
7,Andre Roberts,0,0,0,0,0,0.0,Sun,16,17,2023-01-01,34-357,CAR,@,TAM,L 24-30,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,0,0,0,,0,,,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,6,19.4,WR,RobeAn00
8,A.J. Green,0,0,2,0,0,16.2,Sun,16,17,2023-01-01,34-154,ARI,@,ATL,L 19-20,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,2,2,17,8.5,0,100.0,8.5,,100.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,12,16.2,0,0.0,0,0.0,WR,GreeA.00
9,Kirk Cousins,18,3,0,0,2,86.2,Sun,16,17,2023-01-01,34-135,MIN,@,GNB,L 17-41,18,31,13,58.1,205,1,3,1,3.2,9.7,49.2,2,18,6.06,6.6,2.90,2.18,11.4,42.4,3,37,12.3,0,2,66.7,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,2,0,0,0,0,50,86.2,0,0.0,0,0.0,QB,CousKi00
10,Russell Wilson,26,4,0,2,1,100.0,Sun,16,17,2023-01-01,34-033,DEN,@,KAN,L 24-27,26,38,12,68.4,222,1,1,0,2.6,2.6,81.3,4,32,9.52,5.8,5.18,3.93,8.5,42.9,4,27,6.8,2,3,75.0,0,0,0,,0,,,0,,2,0,0,,0,0,,0,0,12,1,0,0,0,0,70,100.0,0,0.0,0,0.0,QB,WilsRu00
11,Nick Foles,8,1,0,0,0,50.0,Sun,16,17,2023-01-01,33-346,IND,@,NYG,L 10-38,8,13,5,61.5,81,0,1,1,0.0,7.7,47.3,1,9,7.14,6.2,2.77,1.93,10.1,28.6,1,8,8.0,0,0,100.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,29,50.0,0,0.0,0,0.0,QB,FoleNi00
12,Julio Jones,0,1,2,0,0,28.2,Sun,16,17,2023-01-01,33-332,TAM,,CAR,W 30-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,13,13.0,0,1,100.0,2,1,10,10.0,0,50.0,5.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,22,28.2,0,0.0,1,3.2,WR,JoneJu02
13,Travis Kelce,0,0,10,0,0,86.7,Sun,16,17,2023-01-01,33-088,KAN,,DEN,W 27-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,10,7,43,6.1,0,70.0,4.3,4,50.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,52,86.7,0,0.0,0,0.0,TE,KelcTr00
14,T.Y. Hilton,0,0,5,0,0,27.5,Thu,16,17,2022-12-29,33-045,DAL,@,TEN,W 27-13,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,5,4,50,12.5,0,80.0,10.0,3,60.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,22,27.5,0,0.0,0,0.0,WR,HiltT.00
15,Ryan Griffin,0,0,1,0,0,15.4,Sun,16,17,2023-01-01,32-355,CHI,@,DET,L 10-41,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,1,0,0,,0,0.0,0.0,,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,8,15.4,0,0.0,19,63.3,TE,GrifRy00
16,Latavius Murray,0,12,6,0,0,60.0,Sun,16,17,2023-01-01,32-348,DEN,@,KAN,L 24-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,12,56,4.7,0,3,50.0,6,4,16,4.0,0,66.7,2.7,1,16.7,0,0,0,,0,0,,0,0,0,0,0,0,0,0,42,60.0,0,0.0,0,0.0,RB,MurrLa00
17,Brandon Bolden,0,8,0,0,0,21.4,Sun,16,17,2023-01-01,32-340,LVR,,SFO,L 34-37 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,8,32,4.0,0,2,50.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,15,21.4,0,0.0,19,57.6,RB,BoldBr00
18,Marvin Jones,0,0,7,0,0,66.7,Sun,16,17,2023-01-01,32-295,JAX,@,HOU,W 31-3,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,7,6,61,10.2,0,85.7,8.7,4,85.7,0,0,0,,0,0,,0,0,0,0,0,0,0,0,42,66.7,0,0.0,0,0.0,WR,JoneMa02
19,Rex Burkhead,0,0,5,0,0,18.6,Sun,16,17,2023-01-01,32-183,HOU,,JAX,L 3-31,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,5,3,10,3.3,0,60.0,2.0,,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,13,18.6,0,0.0,0,0.0,RB,BurkRe00
20,Randall Cobb,0,0,2,0,0,46.0,Sun,16,17,2023-01-01,32-132,GNB,,MIN,W 41-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,2,2,20,10.0,0,100.0,10.0,1,100.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,29,46.0,0,0.0,3,10.7,WR,CobbRa00
