,,,,,,,,,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Snap Counts,Snap Counts,,Snap Counts,Snap Counts,Snap Counts,,PAT,PAT,,FG,FG,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,-additional
Rk,Player,Off%,Att,Att,Tgt,2PM,Fmb,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Fmb,FR,Yds,FRTD,FF,Pos.,-9999
14,Lamar Jackson,100.0,30,6,0,0,0,Sun,1,1,2022-09-11,25-247,BAL,@,NYJ,W 24-9,6,17,2.8,0,2,50.0,0,0,0,,0,,,0,,56,100.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,17,30,13,56.7,213,3,1,0,10.0,3.3,98.3,2,2,6.25,7.1,7.60,7.06,12.5,43.8,0,0,0,0,0,QB,JackLa00
15,Daniel Jones,100.0,21,6,0,0,1,Sun,1,1,2022-09-11,25-107,NYG,@,TEN,W 21-20,6,25,4.2,0,2,50.0,0,0,0,,0,,,0,,60,100.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,17,21,4,81.0,188,2,1,0,9.5,4.8,115.9,5,32,19.23,9.0,8.71,5.81,11.1,46.2,1,0,0,0,0,QB,JoneDa05
16,Mac Jones,100.0,30,2,0,0,1,Sun,1,1,2022-09-11,24-006,NWE,@,MIA,L 7-20,2,0,0.0,0,0,0.0,0,0,0,,0,,,0,,57,100.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,21,30,9,70.0,213,1,1,0,3.3,3.3,87.2,2,20,6.25,7.1,6.27,5.25,10.1,43.8,1,0,0,0,0,QB,JoneMa05
17,Cooper Kupp,100.0,0,0,15,0,0,Thu,1,1,2022-09-08,29-085,LAR,,BUF,L 10-31,0,0,,0,0,,15,13,128,9.8,1,86.7,8.5,6,73.3,67,100.0,0,0.0,0,0.0,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,KuppCo00
18,Trey Lance,100.0,28,13,0,0,1,Sun,1,1,2022-09-11,22-125,SFO,@,CHI,L 10-19,13,54,4.2,0,6,61.5,0,0,0,,0,,,0,,68,100.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,13,28,15,46.4,164,0,1,0,0.0,3.6,50.3,2,9,6.67,5.9,4.25,3.67,12.6,33.3,1,1,-5,0,0,QB,LancTr00
19,Trevor Lawrence,100.0,42,2,0,0,0,Sun,1,1,2022-09-11,22-340,JAX,@,WAS,L 22-28,2,4,2.0,0,0,50.0,0,0,0,,0,,,0,,70,100.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,24,42,18,57.1,275,1,1,0,2.4,2.4,75.0,2,15,4.55,6.5,5.95,5.34,11.5,43.2,0,0,0,0,0,QB,LawrTr00
20,Marcus Mariota,100.0,33,12,0,0,2,Sun,1,1,2022-09-11,28-316,ATL,,NOR,L 26-27,12,72,6.0,1,3,75.0,0,0,0,,0,,,0,,75,100.0,0,0.0,0,0.0,1,0,0,,0,0,,0,0,6,20,33,13,60.6,215,0,0,0,0.0,0.0,79.7,0,0,0.00,6.5,6.52,6.52,10.8,48.5,2,1,0,0,0,QB,MariMa01
21,Baker Mayfield,100.0,27,5,0,0,4,Sun,1,1,2022-09-11,27-150,CAR,,CLE,L 24-26,5,6,1.2,1,2,20.0,0,0,0,,0,,,0,,53,100.0,0,0.0,0,0.0,1,0,0,,0,0,,0,0,6,16,27,11,59.3,235,1,1,0,3.7,3.7,84.6,4,28,12.90,8.7,7.78,5.87,14.7,35.5,4,4,2,0,0,QB,MayfBa00
22,D.J. Moore,100.0,0,1,6,0,0,Sun,1,1,2022-09-11,25-150,CAR,,CLE,L 24-26,1,7,7.0,0,0,100.0,6,3,43,14.3,0,50.0,7.2,2,50.0,53,100.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,MoorD.00
23,DeVante Parker,100.0,0,0,2,0,0,Sun,1,1,2022-09-11,29-234,NWE,@,MIA,L 7-20,0,0,,0,0,,2,1,9,9.0,0,50.0,4.5,1,50.0,57,100.0,0,0.0,1,5.3,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,ParkDe01
24,Matt Ryan,100.0,50,4,0,0,4,Sun,1,1,2022-09-11,37-117,IND,@,HOU,T 20-20 (OT),4,12,3.0,0,2,50.0,0,0,0,,0,,,0,,92,100.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,32,50,18,64.0,352,1,1,0,2.0,2.0,83.1,2,12,3.85,7.0,6.54,6.06,11.0,46.2,4,2,-2,0,0,QB,RyanMa00
