Rk,Player,Cmp,Att,Tgt,TD,Fmb,Off%,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Fmb,FR,Yds,FRTD,FF,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
1,Tom Brady,25,1,0,0,1,100.0,Sun,6,6,2022-10-16,45-074,TAM,@,PIT,L 18-20,25,40,15,62.5,243,1,0,0,2.5,0.0,87.8,2,14,4.76,6.1,6.58,5.93,9.7,42.9,1,0,0.0,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,1,0,0,0,0,72,100.0,0,0.0,0,0.0,QB,BradTo00
2,Aaron Rodgers,26,1,0,0,2,94.5,Sun,6,6,2022-10-16,38-318,GNB,,NYJ,L 10-27,26,41,15,63.4,246,1,0,0,2.4,0.0,88.1,4,36,8.89,6.0,6.49,5.11,9.5,42.2,1,0,0.0,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,2,0,0,0,0,69,94.5,0,0.0,0,0.0,QB,RodgAa00
3,Matt Ryan,42,1,0,0,0,100.0,Sun,6,6,2022-10-16,37-152,IND,,JAX,W 34-27,42,58,16,72.4,389,3,0,0,5.2,0.0,107.6,0,0,0.00,6.7,7.74,7.74,9.3,50.0,1,-4,-4.0,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,81,100.0,0,0.0,0,0.0,QB,RyanMa00
4,Andy Dalton,17,0,0,0,0,87.5,Sun,6,6,2022-10-16,34-352,NOR,,CIN,L 26-30,17,32,15,53.1,162,1,0,0,3.1,0.0,77.9,1,7,3.03,5.1,5.69,5.30,9.5,36.4,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,63,87.5,0,0.0,0,0.0,QB,DaltAn00
5,Matthew Stafford,26,2,0,0,0,100.0,Sun,6,6,2022-10-16,34-251,LAR,,CAR,W 24-10,26,33,7,78.8,253,1,1,1,3.0,3.0,96.1,1,4,2.94,7.7,6.91,6.59,9.7,58.8,2,-3,-1.5,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,65,100.0,0,0.0,0,0.0,QB,StafMa00
6,A.J. Green,0,0,4,0,0,69.0,Sun,6,6,2022-10-16,34-077,ARI,@,SEA,L 9-19,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,4,2,7,3.5,0,50.0,1.8,,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,49,69.0,0,0.0,0,0.0,WR,GreeA.00
7,Kirk Cousins,20,2,0,0,0,100.0,Sun,6,6,2022-10-16,34-058,MIN,@,MIA,W 24-16,20,30,10,66.7,175,2,0,0,6.7,0.0,104.2,3,19,9.09,5.8,7.17,5.94,8.8,39.4,2,-5,-2.5,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,52,100.0,0,0.0,0,0.0,QB,CousKi00
8,Russell Wilson,15,4,0,0,0,100.0,Mon,6,6,2022-10-17,33-322,DEN,@,LAC,L 16-19 (OT),15,28,13,53.6,188,1,0,0,3.6,0.0,86.6,4,28,12.50,6.7,7.43,5.63,12.5,31.3,4,23,5.8,0,1,50.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,58,100.0,0,0.0,0,0.0,QB,WilsRu00
9,Travis Kelce,0,1,10,0,0,77.6,Sun,6,6,2022-10-16,33-011,KAN,,BUF,L 20-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,4,4.0,0,0,100.0,10,8,108,13.5,0,80.0,10.8,6,70.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,52,77.6,0,0.0,0,0.0,TE,KelcTr00
10,Mark Ingram,0,9,2,0,0,33.3,Sun,6,6,2022-10-16,32-299,NOR,,CIN,L 26-30,0,0,0,,0,0,0,0,,,,0,0,,,,,,,9,46,5.1,0,3,55.6,2,1,11,11.0,0,50.0,5.5,1,50.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,24,33.3,0,0.0,0,0.0,RB,IngrMa01
11,Ryan Griffin,0,0,1,0,0,4.2,Thu,6,6,2022-10-13,32-275,CHI,,WAS,L 7-12,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,1,0,0,,0,0.0,0.0,,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,3,4.2,0,0.0,5,25.0,TE,GrifRy00
12,Latavius Murray,0,15,1,0,0,46.6,Mon,6,6,2022-10-17,32-272,DEN,@,LAC,L 16-19 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,15,66,4.4,0,2,60.0,1,1,-2,-2.0,0,100.0,-2.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,27,46.6,0,0.0,0,0.0,RB,MurrLa00
13,Randall Cobb,0,0,1,0,0,35.6,Sun,6,6,2022-10-16,32-055,GNB,,NYJ,L 10-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,1,1,8,8.0,0,100.0,8.0,,100.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,26,35.6,0,0.0,0,0.0,WR,CobbRa00
