Rk,Player,Cmp,Att,Tgt,TD,Fmb,Off%,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Fmb,FR,Yds,FRTD,FF,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
1,Tom Brady,26,1,0,0,0,100.0,Thu,8,8,2022-10-27,45-085,TAM,,BAL,L 22-27,26,44,18,59.1,325,1,0,0,2.3,0.0,89.7,3,20,6.38,7.4,7.84,6.91,12.5,48.9,1,1,1.0,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,68,100.0,0,0.0,0,0.0,QB,BradTo00
2,Aaron Rodgers,19,1,0,0,0,100.0,Sun,8,8,2022-10-30,38-332,GNB,@,BUF,L 17-27,19,30,11,63.3,203,2,1,0,6.7,3.3,91.4,2,13,6.25,6.8,6.60,5.78,10.7,40.6,1,11,11.0,0,1,100.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,66,100.0,0,0.0,0,0.0,QB,RodgAa00
3,Andy Dalton,22,0,0,0,0,84.4,Sun,8,8,2022-10-30,35-001,NOR,,LVR,W 24-0,22,30,8,73.3,229,2,0,0,6.7,0.0,117.2,0,0,0.00,7.6,8.97,8.97,10.4,60.0,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,54,84.4,0,0.0,0,0.0,QB,DaltAn00
4,Matthew Stafford,22,2,0,1,0,100.0,Sun,7,8,2022-10-30,34-265,LAR,,SFO,L 14-31,22,33,11,66.7,187,1,0,0,3.0,0.0,91.4,2,20,5.71,5.7,6.27,5.34,8.5,60.0,2,-1,-0.5,1,1,50.0,0,0,0,,0,,,0,,1,0,0,,0,0,,0,0,6,0,0,0,0,0,58,100.0,0,0.0,0,0.0,QB,StafMa00
5,A.J. Green,0,0,1,0,0,47.4,Sun,8,8,2022-10-30,34-091,ARI,@,MIN,L 26-34,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,1,0,0,,0,0.0,0.0,,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,37,47.4,0,0.0,0,0.0,WR,GreeA.00
6,Kirk Cousins,24,4,0,1,1,100.0,Sun,7,8,2022-10-30,34-072,MIN,,ARI,W 34-26,24,36,12,66.7,232,2,0,0,5.6,0.0,103.0,3,24,7.69,6.4,7.56,6.36,9.7,48.7,4,22,5.5,1,2,50.0,0,0,0,,0,,,0,,1,0,0,,0,0,,0,0,6,1,0,0,0,0,71,100.0,0,0.0,0,0.0,QB,CousKi00
7,Russell Wilson,18,4,0,0,0,100.0,Sun,8,8,2022-10-30,33-335,DEN,@,JAX,W 21-17,18,30,12,60.0,252,1,1,0,3.3,3.3,84.3,3,22,9.09,8.4,7.57,6.21,14.0,42.4,4,17,4.3,0,3,100.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,61,100.0,0,0.0,0,0.0,QB,WilsRu00
8,Julio Jones,0,1,4,1,0,57.4,Thu,8,8,2022-10-27,33-266,TAM,,BAL,L 22-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0.0,0,0,0.0,4,2,21,10.5,1,50.0,5.3,1,25.0,1,0,0,,0,0,,0,0,6,0,0,0,0,0,39,57.4,0,0.0,0,0.0,WR,JoneJu02
9,Kyle Rudolph,0,0,1,0,0,8.8,Thu,8,8,2022-10-27,32-352,TAM,,BAL,L 22-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,1,0,0,,0,0.0,0.0,,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,6,8.8,0,0.0,0,0.0,TE,RudoKy00
10,Mark Ingram,0,0,1,0,0,7.8,Sun,8,8,2022-10-30,32-313,NOR,,LVR,W 24-0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,1,1,2,2.0,0,100.0,2.0,,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,5,7.8,0,0.0,0,0.0,RB,IngrMa01
