rk,player,st_snp_3,day,g_number,week,date,age,team,x10,opp,result,off_snp,off_percent,def_snp,def_percent,st_snp_17,st_percent,pos,x9999
8,Marcedes Lewis,6,Sun,10,10,2022-11-13,38-178,GNB,NA,DAL,W 31-28 (OT),37,57.8,0,0,6,20,TE,LewiMa00
45,Taiwan Jones,26,Sun,9,10,2022-11-13,34-110,BUF,NA,MIN,L 30-33 (OT),0,0,0,0,26,78.8,RB,JoneTa00
46,A.J. Green,1,Sun,10,10,2022-11-13,34-105,ARI,@,LAR,W 27-17,30,44.1,0,0,1,3.6,WR,GreeA.00
56,Julio Jones,1,Sun,10,10,2022-11-13,33-283,TAM,NA,SEA,W 21-16,38,50.7,0,0,1,4.8,WR,JoneJu02
73,Ryan Griffin,14,Sun,10,10,2022-11-13,32-306,CHI,NA,DET,L 30-31,13,21.3,0,0,14,48.3,TE,GrifRy00
78,Brandon Bolden,17,Sun,9,10,2022-11-13,32-291,LVR,NA,IND,L 20-25,0,0,0,0,17,73.9,RB,BoldBr00
109,Taysom Hill,8,Sun,10,10,2022-11-13,32-082,NOR,@,PIT,L 10-20,19,40.4,0,0,8,33.3,TE/QB,HillTa00
133,Cordarrelle Patterson,7,Thu,10,10,2022-11-10,31-238,ATL,@,CAR,L 15-25,24,38.1,0,0,7,24.1,RB,PattCo00
139,Kyle Juszczyk,4,Sun,9,10,2022-11-13,31-204,SFO,NA,LAC,W 22-16,27,38,0,0,4,14.3,FB,JuszKy00
175,Richard Rodgers,8,Sun,9,10,2022-11-13,30-295,LAC,@,SFO,L 16-22,13,22.4,0,0,8,28.6,TE,RodgRi00
180,Michael Burton,11,Sun,9,10,2022-11-13,30-285,KAN,NA,JAX,W 27-17,2,3.2,0,0,11,42.3,RB,BurtMi00
189,Jake Kumerow,11,Sun,9,10,2022-11-13,30-269,BUF,NA,MIN,L 30-33 (OT),8,10.7,0,0,11,33.3,WR,KumeJa00
230,MyCole Pruitt,10,Thu,10,10,2022-11-10,30-231,ATL,@,CAR,L 15-25,12,19,0,0,10,34.5,TE,PruiMy00
241,Raheem Mostert,3,Sun,10,10,2022-11-13,30-218,MIA,NA,CLE,W 39-17,19,27.5,0,0,3,13,RB,MostRa00
242,Chris Manhertz,10,Sun,10,10,2022-11-13,30-217,JAX,@,KAN,L 17-27,17,26.6,0,0,10,38.5,TE,ManhCh00
243,Keith Smith,20,Thu,10,10,2022-11-10,30-216,ATL,@,CAR,L 15-25,6,9.5,0,0,20,69,WR,SmitKe03
252,Jordan Akins,5,Sun,9,10,2022-11-13,30-208,HOU,@,NYG,L 16-24,33,51.6,0,0,5,16.7,TE,AkinJo00
255,Eric Tomlinson,6,Sun,9,10,2022-11-13,30-205,DEN,@,TEN,L 10-17,21,26.3,0,0,6,20.7,TE,TomlEr01
267,Jerick McKinnon,8,Sun,9,10,2022-11-13,30-194,KAN,NA,JAX,W 27-17,24,38.1,0,0,8,30.8,RB,McKiJe00
303,Kevin White,10,Sun,10,10,2022-11-13,30-141,NOR,@,PIT,L 10-20,31,66,0,0,10,41.7,WR,WhitKe00
333,Tyler Kroft,4,Sun,9,10,2022-11-13,30-029,SFO,NA,LAC,W 22-16,21,29.6,0,0,4,14.3,TE,KrofTy00
344,Derek Watt,15,Sun,9,10,2022-11-13,30-006,PIT,NA,NOR,W 20-10,6,7.1,0,0,15,62.5,FB,WattDe00
374,Tyler Higbee,3,Sun,9,10,2022-11-13,29-316,LAR,NA,ARI,L 17-27,48,80,0,0,3,10.7,TE,HigbTy00
390,Stephen Anderson,20,Sun,10,10,2022-11-13,29-287,ARI,@,LAR,W 27-17,25,36.8,0,0,20,71.4,TE,AndeSt01
441,DeAndre Carter,10,Sun,9,10,2022-11-13,29-217,LAC,@,SFO,L 16-22,50,86.2,0,0,10,35.7,WR,CartDe02
447,Keelan Cole,3,Sun,9,10,2022-11-13,29-207,LVR,NA,IND,L 20-25,48,68.6,0,0,3,13,WR,ColeKe00
477,Ameer Abdullah,14,Sun,9,10,2022-11-13,29-153,LVR,NA,IND,L 20-25,15,21.4,0,0,14,60.9,RB,AbduAm00
478,Chris Moore,2,Sun,9,10,2022-11-13,29-150,HOU,@,NYG,L 16-24,34,53.1,0,0,2,6.7,WR,MoorCh00
496,C.J. Ham,21,Sun,9,10,2022-11-13,29-114,MIN,@,BUF,W 33-30 (OT),7,8.4,0,0,21,63.6,FB,HamxC.00
527,Mike Evans,1,Sun,10,10,2022-11-13,29-084,TAM,NA,SEA,W 21-16,55,73.3,0,0,1,4.8,WR,EvanMi00
547,Breshad Perriman,6,Sun,10,10,2022-11-13,29-064,TAM,NA,SEA,W 21-16,18,24,0,0,6,28.6,WR,PerrBr02
553,Mack Hollins,3,Sun,9,10,2022-11-13,29-058,LVR,NA,IND,L 20-25,67,95.7,0,0,3,13,WR,HollMa00
554,Geoff Swaim,3,Sun,9,10,2022-11-13,29-058,TEN,NA,DEN,W 17-10,33,53.2,0,0,3,10.3,TE,SwaiGe00
556,Mo Alie-Cox,4,Sun,10,10,2022-11-13,29-055,IND,@,LVR,W 25-20,40,61.5,0,0,4,17.4,TE,AlieMo00
