rk,player,st_snp_3,day,g_number,week,date,age,team,x10,opp,result,off_snp,off_percent,def_snp,def_percent,st_snp_17,st_percent,pos,x9999
3,Marcedes Lewis,6,Sun,15,16,2022-12-25,38-220,GNB,@,MIA,W 26-20,29,43.9,0,0,6,23.1,TE,LewiMa00
20,Matthew Slater,23,Sat,15,16,2022-12-24,37-106,NWE,NA,CIN,L 18-22,0,0,0,0,23,92,WR,SlatMa00
39,Taiwan Jones,20,Sat,15,16,2022-12-24,34-151,BUF,@,CHI,W 35-13,0,0,0,0,20,80,RB,JoneTa00
62,Ryan Griffin,13,Sat,15,16,2022-12-24,32-347,CHI,NA,BUF,L 13-35,17,27,0,0,13,52,TE,GrifRy00
66,Brandon Bolden,15,Sat,15,16,2022-12-24,32-332,LVR,@,PIT,L 10-13,2,3.8,0,0,15,68.2,RB,BoldBr00
97,Randall Cobb,1,Sun,15,16,2022-12-25,32-125,GNB,@,MIA,W 26-20,32,48.5,0,0,1,3.8,WR,CobbRa00
98,Taysom Hill,15,Sat,15,16,2022-12-24,32-123,NOR,@,CLE,W 17-10,25,46.3,0,0,15,68.2,TE/QB,HillTa00
125,Cordarrelle Patterson,5,Sat,15,16,2022-12-24,31-282,ATL,@,BAL,L 9-17,26,36.6,0,0,5,23.8,RB,PattCo00
132,Kyle Juszczyk,6,Sat,15,16,2022-12-24,31-245,SFO,NA,WAS,W 37-20,22,42.3,0,0,6,22.2,FB,JuszKy00
146,Cameron Brate,5,Sun,15,16,2022-12-25,31-175,TAM,@,ARI,W 19-16 (OT),8,9.9,0,0,5,15.2,TE,BratCa00
156,Blake Bell,1,Sat,15,16,2022-12-24,31-139,KAN,NA,SEA,W 24-10,6,11.3,0,0,1,4.2,TE,BellBl00
160,Giovani Bernard,17,Sun,15,16,2022-12-25,31-033,TAM,@,ARI,W 19-16 (OT),0,0,0,0,17,51.5,RB,BernGi00
166,Michael Burton,13,Sat,15,16,2022-12-24,30-326,KAN,NA,SEA,W 24-10,4,7.5,0,0,13,54.2,RB,BurtMi00
183,MyCole Pruitt,8,Sat,15,16,2022-12-24,30-275,ATL,@,BAL,L 9-17,36,50.7,0,0,8,38.1,TE,PruiMy00
198,Raheem Mostert,7,Sun,15,16,2022-12-25,30-260,MIA,NA,GNB,L 20-26,26,52,0,0,7,26.9,RB,MostRa00
199,Keith Smith,11,Sat,15,16,2022-12-24,30-260,ATL,@,BAL,L 9-17,7,9.9,0,0,11,52.4,WR,SmitKe03
200,Robert Woods,5,Sat,15,16,2022-12-24,30-258,TEN,NA,HOU,L 14-19,58,95.1,0,0,5,20.8,WR,WoodRo02
202,Chris Manhertz,8,Thu,15,16,2022-12-22,30-256,JAX,@,NYJ,W 19-3,31,43.1,0,0,8,36.4,TE,ManhCh00
211,Jordan Akins,3,Sat,15,16,2022-12-24,30-249,HOU,@,TEN,W 19-14,37,55.2,0,0,3,12.5,TE,AkinJo00
214,Eric Tomlinson,3,Sun,15,16,2022-12-25,30-247,DEN,@,LAR,L 14-51,11,16.4,0,0,3,11.5,TE,TomlEr01
226,Jerick McKinnon,8,Sat,15,16,2022-12-24,30-235,KAN,NA,SEA,W 24-10,25,47.2,0,0,8,33.3,RB,McKiJe00
316,Tyler Kroft,13,Sat,15,16,2022-12-24,30-070,SFO,NA,WAS,W 37-20,20,38.5,0,0,13,48.1,TE,KrofTy00
317,Willie Snead,8,Sat,15,16,2022-12-24,30-068,SFO,NA,WAS,W 37-20,1,1.9,0,0,8,29.6,WR,SneaWi00
322,Chris Conley,8,Sat,15,16,2022-12-24,30-060,TEN,NA,HOU,L 14-19,5,8.2,0,0,8,33.3,WR,ConlCh00
329,Derek Watt,15,Sat,15,16,2022-12-24,30-047,PIT,NA,LVR,W 13-10,2,2.9,0,0,15,68.2,FB,WattDe00
348,Tyler Higbee,1,Sun,15,16,2022-12-25,29-358,LAR,NA,DEN,W 51-14,59,90.8,0,0,1,3.8,TE,HigbTy00
358,C.J. Uzomah,11,Thu,15,16,2022-12-22,29-342,NYJ,NA,JAX,L 3-19,30,50.8,0,0,11,50,TE,UzomC.00
366,Stephen Anderson,24,Sun,15,16,2022-12-25,29-329,ARI,NA,TAM,L 16-19 (OT),9,11.8,0,0,24,72.7,TE,AndeSt01
377,Nick Boyle,10,Sat,15,16,2022-12-24,29-310,BAL,NA,ATL,W 17-9,6,11.5,0,0,10,47.6,TE,BoylNi00
387,Nick Vannett,4,Sat,15,16,2022-12-24,29-293,NYG,@,MIN,L 24-27,5,7.2,0,0,4,13.8,TE,VannNi00
409,DeAndre Carter,5,Mon,15,16,2022-12-26,29-260,LAC,@,IND,W 20-3,13,19.1,0,0,5,27.8,WR,CartDe02
436,Malcolm Brown,1,Sun,15,16,2022-12-25,29-224,LAR,NA,DEN,W 51-14,7,10.8,0,0,1,3.8,RB,BrowMa03
451,Ameer Abdullah,14,Sat,15,16,2022-12-24,29-194,LVR,@,PIT,L 10-13,10,18.9,0,0,14,63.6,RB,AbduAm00
474,C.J. Ham,19,Sat,15,16,2022-12-24,29-155,MIN,NA,NYG,W 27-24,13,18.1,0,0,19,65.5,FB,HamxC.00
512,Mack Hollins,2,Sat,15,16,2022-12-24,29-099,LVR,@,PIT,L 10-13,50,94.3,0,0,2,9.1,WR,HollMa00
514,Geoff Swaim,2,Sat,15,16,2022-12-24,29-099,TEN,NA,HOU,L 14-19,24,39.3,0,0,2,8.3,TE,SwaiGe00
515,Mo Alie-Cox,1,Mon,15,16,2022-12-26,29-098,IND,NA,LAC,L 3-20,23,44.2,0,0,1,5.6,TE,AlieMo00
535,George Kittle,1,Sat,15,16,2022-12-24,29-076,SFO,NA,WAS,W 37-20,47,90.4,0,0,1,3.7,TE,KittGe00
629,Jonathan Williams,18,Sat,15,16,2022-12-24,28-325,WAS,@,SFO,L 20-37,20,27.4,0,0,18,66.7,RB,WillJo07
631,Justin Hardee,20,Thu,15,16,2022-12-22,28-318,NYJ,NA,JAX,L 3-19,0,0,0,0,20,90.9,WR,HardJu01
644,Garrett Griffin,7,Sat,15,16,2022-12-24,28-295,DET,@,CAR,L 23-37,10,15.2,0,0,7,24.1,TE,GrifGa00
657,Maxx Williams,10,Sun,15,16,2022-12-25,28-257,ARI,NA,TAM,L 16-19 (OT),21,27.6,0,0,10,30.3,TE,WillMa04
671,Eric Saubert,14,Sun,15,16,2022-12-25,28-238,DEN,@,LAR,L 14-51,22,32.8,0,0,14,53.8,TE,SaubEr00
672,Trent Taylor,6,Sat,15,16,2022-12-24,28-238,CIN,@,NWE,W 22-18,1,1.2,0,0,6,24,WR,TaylTr02
676,Dare Ogunbowale,18,Sat,15,16,2022-12-24,28-234,HOU,@,TEN,W 19-14,19,28.4,0,0,18,75,RB,OgunDa00
700,Patrick Ricard,3,Sat,15,16,2022-12-24,28-211,BAL,NA,ATL,W 17-9,44,84.6,0,0,3,14.3,FB,RicaPa00
742,Jordan Wilkins,2,Mon,15,16,2022-12-26,28-161,IND,NA,LAC,L 3-20,8,15.4,0,0,2,11.1,RB,WilkJo01
765,Marcus Johnson,17,Sat,15,16,2022-12-24,28-141,NYG,@,MIN,L 24-27,3,4.3,0,0,17,58.6,WR,JohnMa07
768,Kalif Raymond,3,Sat,15,16,2022-12-24,28-138,DET,@,CAR,L 23-37,21,31.8,0,0,3,10.3,WR,RaymKa00
793,Godwin Igwebuike,18,Sat,15,16,2022-12-24,28-105,SEA,@,KAN,L 10-24,0,0,0,0,18,75,RB,IgweGo00
821,Corey Clement,16,Sun,15,16,2022-12-25,28-053,ARI,NA,TAM,L 16-19 (OT),0,0,0,0,16,48.5,RB,ClemCo00
835,Johnny Mundt,7,Sat,15,16,2022-12-24,28-031,MIN,NA,NYG,W 27-24,22,30.6,0,0,7,24.1,TE,MundJo00
847,Hunter Henry,1,Sat,15,16,2022-12-24,28-017,NWE,NA,CIN,L 18-22,3,5.4,0,0,1,4,TE,HenrHu00
854,Jakob Johnson,9,Sat,15,16,2022-12-24,28-009,LVR,@,PIT,L 10-13,13,24.5,0,0,9,40.9,FB,JohnJa12
858,Zach Pascal,16,Sat,15,16,2022-12-24,28-006,PHI,@,DAL,L 34-40,12,16.9,0,0,16,51.6,WR,PascZa00
870,Keith Kirkwood,6,Sat,15,16,2022-12-24,27-363,NOR,@,CLE,W 17-10,16,29.6,0,0,6,27.3,WR,KirkKe00
877,KhaDarel Hodge,14,Sat,15,16,2022-12-24,27-355,ATL,@,BAL,L 9-17,14,19.7,0,0,14,66.7,WR,HodgKh00
932,Matt Breida,8,Sat,15,16,2022-12-24,27-299,NYG,@,MIN,L 24-27,11,15.9,0,0,8,27.6,RB,BreiMa00
942,Pharoh Cooper,11,Sun,15,16,2022-12-25,27-293,ARI,NA,TAM,L 16-19 (OT),1,1.3,0,0,11,33.3,WR,CoopPh00
955,Dan Arnold,2,Thu,15,16,2022-12-22,27-282,JAX,@,NYJ,W 19-3,13,18.1,0,0,2,9.1,TE,ArnoDa00
983,Justin Watson,10,Sat,15,16,2022-12-24,27-264,KAN,NA,SEA,W 24-10,39,73.6,0,0,10,41.7,WR,WatsJu01
984,Jamal Agnew,7,Thu,15,16,2022-12-22,27-263,JAX,@,NYJ,W 19-3,9,12.5,0,0,7,31.8,WR,AgneJa00
1010,Kevin Rader,11,Sat,15,16,2022-12-24,27-242,TEN,NA,HOU,L 14-19,4,6.6,0,0,11,45.8,TE,RadeKe00
1011,Boston Scott,9,Sat,15,16,2022-12-24,27-241,PHI,@,DAL,L 34-40,3,4.2,0,0,9,29,RB,ScotBo02
1043,Parker Hesse,12,Sat,15,16,2022-12-24,27-212,ATL,@,BAL,L 9-17,44,62,0,0,12,57.1,TE,HessPa00
1062,Laquon Treadwell,5,Sat,15,16,2022-12-24,27-193,SEA,@,KAN,L 10-24,65,85.5,0,0,5,20.8,WR,TreaLa00
1115,Tyler Conklin,6,Thu,15,16,2022-12-22,27-145,NYJ,NA,JAX,L 3-19,42,71.2,0,0,6,27.3,TE,ConkTy00
1120,Kendrick Bourne,1,Sat,15,16,2022-12-24,27-142,NWE,NA,CIN,L 18-22,32,57.1,0,0,1,4,WR,BourKe00
1122,Durham Smythe,13,Sun,15,16,2022-12-25,27-138,MIA,NA,GNB,L 20-26,32,64,0,0,13,50,TE,SmytDu00
1131,Jonnu Smith,4,Sat,15,16,2022-12-24,27-124,NWE,NA,CIN,L 18-22,32,57.1,0,0,4,16,TE,SmitJo01
1150,Richie James,6,Sat,15,16,2022-12-24,27-110,NYG,@,MIN,L 24-27,57,82.6,0,0,6,20.7,WR,JameRi00
1157,Brandon Powell,7,Sun,15,16,2022-12-25,27-104,LAR,NA,DEN,W 51-14,40,61.5,0,0,7,26.9,WR,PoweBr00
1162,Samaje Perine,8,Sat,15,16,2022-12-24,27-099,CIN,@,NWE,W 22-18,34,41,0,0,8,32,RB,PeriSa00
1189,Chris Myarick,13,Sat,15,16,2022-12-24,27-079,NYG,@,MIN,L 24-27,0,0,0,0,13,44.8,FB,MyarCh00
1192,Braxton Berrios,8,Thu,15,16,2022-12-22,27-077,NYJ,NA,JAX,L 3-19,0,0,0,0,8,36.4,WR,BerrBr00
1214,Dante Pettis,3,Sat,15,16,2022-12-24,27-062,CHI,NA,BUF,L 13-35,46,73,0,0,3,12,WR,PettDa00
1251,Cedrick Wilson Jr.,2,Sun,15,16,2022-12-25,27-035,MIA,NA,GNB,L 20-26,13,26,0,0,2,7.7,WR,WilsCe01
1300,Hunter Renfrow,3,Sat,15,16,2022-12-24,27-003,LVR,@,PIT,L 10-13,25,47.2,0,0,3,13.6,WR,RenfHu00
1320,Noah Brown,1,Sat,15,16,2022-12-24,26-352,DAL,NA,PHI,W 40-34,55,75.3,0,0,1,3.2,WR,BrowNo00
1321,Cam Sims,15,Sat,15,16,2022-12-24,26-352,WAS,@,SFO,L 20-37,5,6.8,0,0,15,55.6,WR,SimsCa00
1322,Tre'Quan Smith,3,Sat,15,16,2022-12-24,26-351,NOR,@,CLE,W 17-10,33,61.1,0,0,3,13.6,WR,SmitTr03
1343,Nsimba Webster,7,Sat,15,16,2022-12-24,26-331,CHI,NA,BUF,L 13-35,0,0,0,0,7,28,WR,WebsNs00
1371,Trent Sherfield,12,Sun,15,16,2022-12-25,26-303,MIA,NA,GNB,L 20-26,22,44,0,0,12,46.2,WR,SherTr00
1372,D'Ernest Johnson,11,Sat,15,16,2022-12-24,26-300,CLE,NA,NOR,L 10-17,2,2.9,0,0,11,50,RB,JohnDE04
1419,Justin Jackson,19,Sat,15,16,2022-12-24,26-246,DET,@,CAR,L 23-37,14,21.2,0,0,19,65.5,RB,JackJu01
1433,Andrew Beck,15,Sun,15,16,2022-12-25,26-224,DEN,@,LAR,L 14-51,3,4.5,0,0,15,57.7,TE,BeckAn01
1450,Ian Thomas,12,Sat,15,16,2022-12-24,26-201,CAR,NA,DET,W 37-23,43,63.2,0,0,12,41.4,TE,ThomIa00
1452,Christian McCaffrey,1,Sat,15,16,2022-12-24,26-200,SFO,NA,WAS,W 37-20,39,75,0,0,1,3.7,RB,McCaCh01
1466,Khari Blasingame,13,Sat,15,16,2022-12-24,26-176,CHI,NA,BUF,L 13-35,11,17.5,0,0,13,52,FB,BlasKh00
1469,Penny Hart,10,Sat,15,16,2022-12-24,26-172,SEA,@,KAN,L 10-24,18,23.7,0,0,10,41.7,WR,HartPe01
1472,Will Dissly,10,Sat,15,16,2022-12-24,26-169,SEA,@,KAN,L 10-24,28,36.8,0,0,10,41.7,TE,DissWi00
1473,Alec Ingold,7,Sun,15,16,2022-12-25,26-169,MIA,NA,GNB,L 20-26,27,54,0,0,7,26.9,FB,IngoAl01
1490,Van Jefferson,1,Sun,15,16,2022-12-25,26-152,LAR,NA,DEN,W 51-14,61,93.8,0,0,1,3.8,WR,JeffVa00
1500,KaVontae Turpin,7,Sat,15,16,2022-12-24,26-144,DAL,NA,PHI,W 40-34,5,6.8,0,0,7,22.6,WR,TurpKa00
1548,Stanley Morgan Jr.,17,Sat,15,16,2022-12-24,26-108,CIN,@,NWE,W 22-18,2,2.4,0,0,17,68,WR,MorgSt02
1551,Zach Gentry,5,Sat,15,16,2022-12-24,26-105,PIT,NA,LVR,W 13-10,29,42.6,0,0,5,22.7,TE,GentZa00
1555,Juwan Johnson,5,Sat,15,16,2022-12-24,26-102,NOR,@,CLE,W 17-10,27,50,0,0,5,22.7,TE,JohnJu02
1559,Jamycal Hasty,2,Thu,15,16,2022-12-22,26-101,JAX,@,NYJ,W 19-3,18,25,0,0,2,9.1,RB,HastJa02
1571,James Proche,11,Sat,15,16,2022-12-24,26-094,BAL,NA,ATL,W 17-9,0,0,0,0,11,52.4,WR,ProcJa00
1609,Miles Boykin,10,Sat,15,16,2022-12-24,26-073,PIT,NA,LVR,W 13-10,14,20.6,0,0,10,45.5,WR,BoykMi00
1615,Ray-Ray McCloud,8,Sat,15,16,2022-12-24,26-070,SFO,NA,WAS,W 37-20,19,36.5,0,0,8,29.6,WR,McClRa00
1617,Giovanni Ricci,16,Sat,15,16,2022-12-24,26-069,CAR,NA,DET,W 37-23,4,5.9,0,0,16,55.2,TE,RiccGi00
1651,Mitchell Wilcox,9,Sat,15,16,2022-12-24,26-047,CIN,@,NWE,W 22-18,54,65.1,0,0,9,36,TE,WilcMi01
1657,Nyheim Hines,8,Sat,15,16,2022-12-24,26-042,BUF,@,CHI,W 35-13,3,4.7,0,0,8,32,RB,HineNy00
1666,Shane Zylstra,11,Sat,15,16,2022-12-24,26-038,DET,@,CAR,L 23-37,29,43.9,0,0,11,37.9,TE,ZylsSh00
1670,Andy Isabella,5,Sat,15,16,2022-12-24,26-036,BAL,NA,ATL,W 17-9,3,5.8,0,0,5,23.8,WR,IsabAn00
1686,Gunner Olszewski,1,Sat,15,16,2022-12-24,26-028,PIT,NA,LVR,W 13-10,8,11.8,0,0,1,4.5,WR,OlszGu00
1692,Stephen Sullivan,13,Sat,15,16,2022-12-24,26-026,CAR,NA,DET,W 37-23,15,22.1,0,0,13,44.8,TE,SullSt00
1764,Kirk Merritt,7,Sat,15,16,2022-12-24,25-353,NOR,@,CLE,W 17-10,3,5.6,0,0,7,31.8,WR,MerrKi00
1781,Adam Prentice,6,Sat,15,16,2022-12-24,25-342,NOR,@,CLE,W 17-10,18,33.3,0,0,6,27.3,FB,PrenAd00
1783,Nikola Kalinic,4,Mon,15,16,2022-12-26,25-339,IND,NA,LAC,L 3-20,3,5.8,0,0,4,22.2,TE,KaliNi00
1809,Adam Trautman,2,Sat,15,16,2022-12-24,25-322,NOR,@,CLE,W 17-10,40,74.1,0,0,2,9.1,TE,TrauAd00
1818,Josiah Deguara,8,Sun,15,16,2022-12-25,25-314,GNB,@,MIA,W 26-20,19,28.8,0,0,8,30.8,TE,DeguJo00
