rk,player,st_snp_3,day,g_number,week,date,age,team,x10,opp,result,off_snp,off_percent,def_snp,def_percent,st_snp_17,st_percent,pos,x9999
2354,Noah Fant,1,Sun,7,7,2022-10-23,24-337,SEA,@,LAC,W 37-23,52,73.2,0,0,1,3.4,TE,FantNo00
2358,Tony Jones,7,Sun,7,7,2022-10-23,24-333,SEA,@,LAC,W 37-23,0,0,0,0,7,24.1,RB,JoneTo04
2382,Armani Rogers,19,Sun,7,7,2022-10-23,24-323,WAS,NA,GNB,W 23-21,38,51.4,0,0,19,65.5,TE,RogeAr00
2383,Michael Bandy,9,Sun,7,7,2022-10-23,24-322,LAC,NA,SEA,L 23-37,42,59.2,0,0,9,31,WR,BandMi00
2415,Feleipe Franks,11,Sun,7,7,2022-10-23,24-305,ATL,@,CIN,L 17-35,1,2.1,0,0,11,44,QB,FranFe00
2423,Raleigh Webb,11,Mon,7,7,2022-10-24,24-300,NWE,NA,CHI,L 14-33,0,0,0,0,11,44,WR,WebbRa02
2425,Sean McKeon,16,Sun,7,7,2022-10-23,24-299,DAL,NA,DET,W 24-6,2,3.2,0,0,16,72.7,TE,McKeSe01
2454,Ko Kieft,16,Sun,7,7,2022-10-23,24-276,TAM,@,CAR,L 3-21,18,26.9,0,0,16,66.7,TE,KiefKo00
2499,Benny Snell Jr.,18,Sun,7,7,2022-10-23,24-238,PIT,@,MIA,L 10-16,0,0,0,0,18,69.2,RB,SnelBe00
2501,Ethan Fernea,9,Sun,7,7,2022-10-23,24-235,IND,@,TEN,L 10-19,1,1.6,0,0,9,37.5,WR,FernEt00
2516,Mecole Hardman,1,Sun,7,7,2022-10-23,24-225,KAN,@,SFO,W 44-23,40,62.5,0,0,1,3.6,WR,HardMe00
2525,Tanner Conner,12,Sun,7,7,2022-10-23,24-217,MIA,NA,PIT,W 16-10,2,3.2,0,0,12,46.2,TE,ConnTa00
2534,Kylen Granson,14,Sun,7,7,2022-10-23,24-210,IND,@,TEN,L 10-19,21,32.8,0,0,14,58.3,TE,GranKy00
2564,Khalil Herbert,4,Mon,7,7,2022-10-24,24-186,CHI,@,NWE,W 33-14,29,40.8,0,0,4,16,RB,HerbKh00
2568,Harrison Bryant,13,Sun,7,7,2022-10-23,24-183,CLE,@,BAL,L 20-23,34,56.7,0,0,13,48.1,TE,BryaHa00
2581,Patrick Taylor,11,Sun,7,7,2022-10-23,24-177,GNB,@,WAS,L 21-23,0,0,0,0,11,37.9,RB,TaylPa01
2616,Tim Jones,5,Sun,7,7,2022-10-23,24-160,JAX,NA,NYG,L 17-23,9,12.7,0,0,5,22.7,WR,JoneTi00
2648,Greg Dortch,12,Thu,7,7,2022-10-20,24-144,ARI,NA,NOR,W 42-34,35,53,0,0,12,37.5,WR,DortGr01
2681,Antonio Gibson,3,Sun,7,7,2022-10-23,24-122,WAS,NA,GNB,W 23-21,29,39.2,0,0,3,10.3,RB,GibsAn00
2703,Avery Williams,17,Sun,7,7,2022-10-23,24-100,ATL,@,CIN,L 17-35,7,14.9,0,0,17,68,RB,WillAv02
2705,Demetric Felton,6,Sun,7,7,2022-10-23,24-099,CLE,@,BAL,L 20-23,0,0,0,0,6,22.2,WR,FeltDe00
2742,Hunter Long,13,Sun,7,7,2022-10-23,24-065,MIA,NA,PIT,W 16-10,4,6.5,0,0,13,50,TE,LongHu00
2759,Rashid Shaheed,12,Thu,7,7,2022-10-20,24-050,NOR,@,ARI,L 34-42,10,13.9,0,0,12,37.5,WR,ShahRa00
2772,DeeJay Dallas,16,Sun,7,7,2022-10-23,24-037,SEA,@,LAC,W 37-23,19,26.8,0,0,16,55.2,RB,DallDe00
2809,Jelani Woods,6,Sun,7,7,2022-10-23,24-014,IND,@,TEN,L 10-19,19,29.7,0,0,6,25,TE,WoodJe01
2841,Shi Smith,6,Sun,7,7,2022-10-23,23-362,CAR,NA,TAM,W 21-3,25,50,0,0,6,25,WR,SmitSh03
2857,Kenny Yeboah,21,Sun,7,7,2022-10-23,23-358,NYJ,@,DEN,W 16-9,2,3.4,0,0,21,75,TE,YeboKe00
2861,Jaylen Warren,8,Sun,7,7,2022-10-23,23-356,PIT,@,MIA,L 10-16,17,22.7,0,0,8,30.8,RB,WarrJa01
2922,Malik Davis,16,Sun,7,7,2022-10-23,23-331,DAL,NA,DET,W 24-6,0,0,0,0,16,72.7,RB,DaviMa02
2931,Brock Wright,7,Sun,6,7,2022-10-23,23-330,DET,@,DAL,L 6-24,31,52.5,0,0,7,31.8,TE,WrigBr01
2958,Troy Hairston,15,Sun,6,7,2022-10-23,23-319,HOU,@,LVR,L 20-38,11,16.9,0,0,15,55.6,TE,HairTr00
2962,Pierre Strong,2,Mon,7,7,2022-10-24,23-318,NWE,NA,CHI,L 14-33,3,5.8,0,0,2,8,RB,StroPi00
2965,Zander Horvath,18,Sun,7,7,2022-10-23,23-317,LAC,NA,SEA,L 23-37,3,4.2,0,0,18,62.1,FB,HorvZa00
3020,Salvon Ahmed,1,Sun,7,7,2022-10-23,23-297,MIA,NA,PIT,W 16-10,0,0,0,0,1,3.8,RB,AhmeSa01
3029,Trestan Ebner,13,Mon,7,7,2022-10-24,23-295,CHI,@,NWE,W 33-14,8,11.3,0,0,13,52,RB,EbneTr00
3047,Colby Parkinson,12,Sun,7,7,2022-10-23,23-288,SEA,@,LAC,W 37-23,27,38,0,0,12,41.4,TE,ParkCo02
3060,Rachaad White,10,Sun,7,7,2022-10-23,23-284,TAM,@,CAR,L 3-21,29,43.3,0,0,10,41.7,RB,WhitRa01
3063,Jaelon Darden,8,Sun,7,7,2022-10-23,23-282,TAM,@,CAR,L 3-21,4,6,0,0,8,33.3,WR,DardJa00
