,,,,,,,,,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,,PAT,PAT,,FG,FG,,,,,Snap Counts,Snap Counts,,Snap Counts,Snap Counts,Snap Counts,,-additional
Rk,Player,Off%,Att,Att,Tgt,2PM,Fmb,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Fmb,FR,Yds,FRTD,FF,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
260,Josiah Deguara,24.6,0,0,2,0,0,Sun,1,1,2022-09-11,25-209,GNB,@,MIN,L 7-23,0,0,,0,0,,2,2,28,14.0,0,100.0,14.0,2,100.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,15,24.6,0,0.0,11,47.8,TE,DeguJo00
261,Rhamondre Stevenson,24.6,0,8,2,0,0,Sun,1,1,2022-09-11,24-200,NWE,@,MIA,L 7-20,8,25,3.1,0,2,50.0,2,2,2,1.0,0,100.0,1.0,0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,14,24.6,0,0.0,0,0.0,RB,StevRh00
262,Sony Michel,23.9,0,7,0,0,0,Sun,1,1,2022-09-11,27-206,LAC,,LVR,W 24-19,7,12,1.7,0,1,28.6,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,16,23.9,0,0.0,0,0.0,RB,MichSo00
263,Chris Myarick,23.3,0,0,1,0,0,Sun,1,1,2022-09-11,26-340,NYG,@,TEN,W 21-20,0,0,,0,0,,1,1,1,1.0,1,100.0,1.0,1,100.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0,,0,0,,0,0,6,14,23.3,0,0.0,17,60.7,FB,MyarCh00
264,Simi Fehoko,23.2,0,0,3,0,0,Sun,1,1,2022-09-11,24-310,DAL,,TAM,L 3-19,0,0,,0,,,3,2,12,6.0,0,66.7,4.0,,33.3,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,16,23.2,0,0.0,13,54.2,WR,FehoSi00
265,Cooper Rush,23.2,13,0,0,0,0,Sun,1,1,2022-09-11,28-294,DAL,,TAM,L 3-19,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,0,0,7,13,6,53.8,64,0,0,0,0.0,0.0,67.5,2,12,13.33,4.9,4.92,3.47,9.1,20.0,0,0,0,,0,0,,0,0,0,16,23.2,0,0.0,0,0.0,QB,RushCo00
266,Troy Hairston,22.9,0,0,1,0,0,Sun,1,1,2022-09-11,23-277,HOU,,IND,T 20-20 (OT),0,0,,0,,,1,1,5,5.0,0,100.0,5.0,,100.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,16,22.9,0,0.0,13,40.6,TE,HairTr00
267,Isiah Pacheco,22.9,0,12,0,0,1,Sun,1,1,2022-09-11,23-193,KAN,@,ARI,W 44-21,12,62,5.2,1,4,50.0,0,0,0,,0,,,0,,1,1,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0,,0,0,,0,0,6,16,22.9,0,0.0,11,40.7,RB,PachIs00
268,Justin Watson,22.9,0,0,1,0,0,Sun,1,1,2022-09-11,27-160,KAN,@,ARI,W 44-21,0,0,,0,,,1,0,0,,0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,16,22.9,0,0.0,9,33.3,WR,WatsJu01
269,Giovanni Ricci,22.6,0,0,0,0,0,Sun,1,1,2022-09-11,25-330,CAR,,CLE,L 24-26,0,0,,0,,,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,12,22.6,0,0.0,21,65.6,TE,RiccGi00
270,C.J. Ham,22.6,0,0,1,0,0,Sun,1,1,2022-09-11,29-051,MIN,,GNB,W 23-7,0,0,,0,0,,1,1,6,6.0,0,100.0,6.0,1,100.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,14,22.6,0,0.0,17,73.9,FB,HamxC.00
271,Alexander Mattison,22.6,0,8,0,0,0,Sun,1,1,2022-09-11,24-084,MIN,,GNB,W 23-7,8,36,4.5,0,2,62.5,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,14,22.6,0,0.0,2,8.7,RB,MattAl01
272,Zander Horvath,22.4,0,1,2,0,0,Sun,1,1,2022-09-11,23-275,LAC,,LVR,W 24-19,1,2,2.0,0,1,100.0,2,2,6,3.0,1,100.0,3.0,1,100.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0,,0,0,,0,0,6,15,22.4,0,0.0,16,66.7,FB,HorvZa00
273,Zach Pascal,22.1,0,0,1,0,0,Sun,1,1,2022-09-11,27-267,PHI,@,DET,W 38-35,0,0,,0,0,,1,1,7,7.0,0,100.0,7.0,1,100.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,17,22.1,0,0.0,13,41.9,WR,PascZa00
274,Matt Breida,21.7,0,5,0,0,0,Sun,1,1,2022-09-11,27-195,NYG,@,TEN,W 21-20,5,24,4.8,0,1,60.0,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,13,21.7,0,0.0,19,67.9,RB,BreiMa00
275,Justice Hill,19.6,0,2,2,0,0,Sun,1,1,2022-09-11,24-301,BAL,@,NYJ,W 24-9,2,4,2.0,0,,0.0,2,2,7,3.5,0,100.0,3.5,,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,11,19.6,0,0.0,14,51.9,RB,HillJu00
276,Skyy Moore,18.6,0,0,1,0,0,Sun,1,1,2022-09-11,22-001,KAN,@,ARI,W 44-21,0,0,,0,0,,1,1,30,30.0,0,100.0,30.0,1,100.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,13,18.6,0,0.0,6,22.2,WR,MoorSk01
277,Dontrell Hilliard,18.5,0,2,4,0,0,Sun,1,1,2022-09-11,27-197,TEN,,NYG,L 20-21,2,8,4.0,0,0,100.0,4,3,61,20.3,2,75.0,15.3,3,75.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,2,0,0,,0,0,,0,0,12,12,18.5,0,0.0,5,17.9,RB,HillDo00
278,Boston Scott,18.2,0,4,0,0,0,Sun,1,1,2022-09-11,27-137,PHI,@,DET,W 38-35,4,10,2.5,1,1,50.0,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0,,0,0,,0,0,6,14,18.2,0,0.0,7,22.6,RB,ScotBo02
279,Cam Akers,17.9,0,3,0,0,0,Thu,1,1,2022-09-08,23-078,LAR,,BUF,L 10-31,3,0,0.0,0,,0.0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,12,17.9,0,0.0,0,0.0,RB,AkerCa00
280,Byron Pringle,17.2,0,0,2,0,0,Sun,1,1,2022-09-11,28-298,CHI,,SFO,W 19-10,0,0,,0,0,,2,1,22,22.0,0,50.0,11.0,1,50.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,10,17.2,0,0.0,0,0.0,WR,PrinBy00
281,O.J. Howard,17.1,0,0,2,0,0,Sun,1,1,2022-09-11,27-296,HOU,,IND,T 20-20 (OT),0,0,,0,0,,2,2,38,19.0,2,100.0,19.0,2,100.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,2,0,0,,0,0,,0,0,12,12,17.1,0,0.0,0,0.0,TE,HowaO.00
282,Jaelon Darden,16.1,0,1,0,0,0,Sun,1,1,2022-09-11,23-240,TAM,@,DAL,W 19-3,1,2,2.0,0,,0.0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,10,16.1,0,0.0,5,20.8,WR,DardJa00
283,Chigoziem Okonkwo,15.4,0,1,1,0,0,Sun,1,1,2022-09-11,23-003,TEN,,NYG,L 20-21,1,-4,-4.0,0,0,0.0,1,1,11,11.0,0,100.0,11.0,1,100.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,10,15.4,0,0.0,8,28.6,TE,OkonCh00
284,Andrew Beck,15.2,0,0,3,0,0,Mon,1,1,2022-09-12,26-120,DEN,@,SEA,L 16-17,0,0,,0,0,,3,2,52,26.0,0,66.7,17.3,2,66.7,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,10,15.2,0,0.0,10,52.6,TE,BeckAn01
285,Wan'Dale Robinson,15.0,0,0,1,0,0,Sun,1,1,2022-09-11,21-249,NYG,@,TEN,W 21-20,0,0,,0,0,,1,1,5,5.0,0,100.0,5.0,1,100.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,9,15.0,0,0.0,0,0.0,WR,RobiWa01
286,Juwann Winfree,14.8,0,0,1,0,0,Sun,1,1,2022-09-11,26-007,GNB,@,MIN,L 7-23,0,0,,0,0,,1,1,17,17.0,0,100.0,17.0,1,100.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,9,14.8,0,0.0,13,56.5,WR,WinfJu00
287,Chris Conley,14.3,0,0,2,0,0,Sun,1,1,2022-09-11,29-321,HOU,,IND,T 20-20 (OT),0,0,,0,,,2,0,0,,0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,10,14.3,0,0.0,0,0.0,WR,ConlCh00
288,Gunner Olszewski,14.3,0,0,0,0,0,Sun,1,1,2022-09-11,25-289,PIT,@,CIN,W 23-20 (OT),0,0,,0,,,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,9,14.3,0,0.0,9,28.1,WR,OlszGu00
289,Noah Togiai,14.3,0,0,1,0,0,Sun,1,1,2022-09-11,25-067,PHI,@,DET,W 38-35,0,0,,0,,,1,0,0,,0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,11,14.3,0,0.0,6,19.4,TE,TogiNo00
290,Trent Taylor,14.0,0,0,0,0,0,Sun,1,1,2022-09-11,28-134,CIN,,PIT,L 20-23 (OT),0,0,,0,,,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,14,14.0,0,0.0,8,25.0,WR,TaylTr02
291,Stephen Anderson,13.8,0,0,0,0,0,Sun,1,1,2022-09-11,29-224,ARI,,KAN,L 21-44,0,0,,0,,,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,9,13.8,0,0.0,13,48.1,TE,AndeSt01
292,Jakob Johnson,13.8,0,0,1,0,0,Sun,1,1,2022-09-11,27-270,LVR,@,LAC,L 19-24,0,0,,0,,,1,1,1,1.0,0,100.0,1.0,,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,8,13.8,0,0.0,7,29.2,FB,JohnJa12
293,Demetric Felton,13.8,0,0,1,0,1,Sun,1,1,2022-09-11,24-057,CLE,@,CAR,W 26-24,0,0,,0,,,1,0,0,,0,0.0,0.0,,0.0,1,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,11,13.8,0,0.0,10,31.3,WR,FeltDe00
294,Damien Williams,13.3,0,2,0,0,0,Sun,1,1,2022-09-11,30-161,ATL,,NOR,L 26-27,2,2,1.0,0,,0.0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,10,13.3,0,0.0,0,0.0,RB,WillDa05
295,D'Onta Foreman,13.2,0,2,0,0,0,Sun,1,1,2022-09-11,26-140,CAR,,CLE,L 24-26,2,5,2.5,0,,50.0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,7,13.2,0,0.0,0,0.0,RB,ForeDO00
296,Michael Burton,12.9,0,0,0,0,0,Sun,1,1,2022-09-11,30-222,KAN,@,ARI,W 44-21,0,0,,0,,,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,9,12.9,0,0.0,14,51.9,RB,BurtMi00
297,Miles Boykin,12.7,0,0,1,0,0,Sun,1,1,2022-09-11,25-334,PIT,@,CIN,W 23-20 (OT),0,0,,0,,,1,0,0,,0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,8,12.7,0,0.0,21,65.6,WR,BoykMi00
298,Mike Davis,12.5,0,2,0,0,1,Sun,1,1,2022-09-11,29-204,BAL,@,NYJ,W 24-9,2,11,5.5,0,1,50.0,0,0,0,,0,,,0,,1,1,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,7,12.5,0,0.0,0,0.0,RB,DaviMi01
299,Cody Hollister,12.3,0,0,1,0,0,Sun,1,1,2022-09-11,28-297,TEN,,NYG,L 20-21,0,0,,0,0,,1,1,22,22.0,0,100.0,22.0,1,100.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,8,12.3,0,0.0,12,42.9,WR,HollCo00
300,Trace McSorley,12.3,4,3,0,0,0,Sun,1,1,2022-09-11,27-019,ARI,,KAN,L 21-44,3,20,6.7,0,1,66.7,0,0,0,,0,,,0,,0,1,0,0,0,2,4,2,50.0,12,0,0,0,0.0,0.0,56.2,1,8,20.00,3.0,3.00,0.80,6.0,20.0,0,0,0,,0,0,,0,0,0,8,12.3,0,0.0,0,0.0,QB,McSoTr00
301,Tyrie Cleveland,12.1,0,0,0,0,0,Mon,1,1,2022-09-12,24-357,DEN,@,SEA,L 16-17,0,0,,0,,,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,8,12.1,0,0.0,11,57.9,WR,ClevTy00
302,Ameer Abdullah,12.1,0,0,1,0,0,Sun,1,1,2022-09-11,29-090,LVR,@,LAC,L 19-24,0,0,,0,,,1,0,0,,0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,7,12.1,0,0.0,10,41.7,RB,AbduAm00
303,Mike Strachan,12.0,0,0,2,0,0,Sun,1,1,2022-09-11,25-029,IND,@,HOU,T 20-20 (OT),0,0,,0,0,,2,2,36,18.0,0,100.0,18.0,2,100.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,11,12.0,0,0.0,0,0.0,WR,StraMi03
304,Lawrence Cager,11.9,0,0,1,0,0,Sun,1,1,2022-09-11,25-022,NYJ,,BAL,L 9-24,0,0,,0,,,1,0,0,,0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,10,11.9,0,0.0,11,40.7,WR,CageLa01
305,Kadarius Toney,11.7,0,2,0,0,0,Sun,1,1,2022-09-11,23-227,NYG,@,TEN,W 21-20,2,23,11.5,0,1,100.0,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,7,11.7,0,0.0,0,0.0,WR,ToneKa00
306,Kalif Raymond,11.6,0,0,2,0,0,Sun,1,1,2022-09-11,28-034,DET,,PHI,L 35-38,0,0,,0,,,2,0,0,,0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,8,11.6,0,0.0,3,9.7,WR,RaymKa00
307,Deonte Harty,11.5,0,0,1,0,0,Sun,1,1,2022-09-11,24-281,NOR,@,ATL,W 27-26,0,0,,0,,,1,1,4,4.0,0,100.0,4.0,,100.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,7,11.5,0,0.0,10,31.3,WR,HarrDe07
308,Tylan Wallace,10.7,0,0,1,0,0,Sun,1,1,2022-09-11,23-121,BAL,@,NYJ,W 24-9,0,0,,0,,,1,0,0,,0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,6,10.7,0,0.0,16,59.3,WR,WallTy00
309,Tutu Atwell,10.4,0,0,1,0,0,Thu,1,1,2022-09-08,22-336,LAR,,BUF,L 10-31,0,0,,0,,,1,0,0,,0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,7,10.4,0,0.0,0,0.0,WR,AtweTu00
310,Cam Sims,10.4,0,0,1,0,0,Sun,1,1,2022-09-11,26-248,WAS,,JAX,W 28-22,0,0,,0,,,1,0,0,,0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,8,10.4,0,0.0,17,70.8,WR,SimsCa00
311,Jamal Agnew,10.0,0,1,1,0,0,Sun,1,1,2022-09-11,27-161,JAX,@,WAS,L 22-28,1,6,6.0,0,1,100.0,1,1,6,6.0,0,100.0,6.0,0,100.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,7,10.0,0,0.0,8,33.3,WR,AgneJa00
312,D'Wayne Eskridge,9.1,0,0,2,0,0,Mon,1,1,2022-09-12,25-173,SEA,,DEN,W 17-16,0,0,,0,,,2,1,0,0.0,0,50.0,0.0,,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,5,9.1,0,0.0,0,0.0,WR,EskrDW00
313,Jordan Love,8.2,5,0,0,0,0,Sun,1,1,2022-09-11,23-313,GNB,@,MIN,L 7-23,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,0,0,4,5,1,80.0,65,0,0,0,0.0,0.0,118.7,0,0,0.00,13.0,13.00,13.00,16.3,80.0,0,0,0,,0,0,,0,0,0,5,8.2,0,0.0,0,0.0,QB,LoveJo03
314,Dax Milne,7.8,0,0,1,0,0,Sun,1,1,2022-09-11,23-080,WAS,,JAX,W 28-22,0,0,,0,,,1,0,0,,0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,6,7.8,0,0.0,9,37.5,WR,MilnDa00
315,Jalen Guyton,7.5,0,0,1,0,0,Sun,1,1,2022-09-11,25-096,LAC,,LVR,W 24-19,0,0,,0,,,1,0,0,,0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,5,7.5,0,0.0,0,0.0,WR,GuytJa01
316,Chad Henne,7.1,0,0,0,0,1,Sun,1,1,2022-09-11,37-071,KAN,@,ARI,W 44-21,0,0,,0,,,0,0,0,,0,,,,,1,1,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,5,7.1,0,0.0,0,0.0,QB,HennCh01
317,Trestan Ebner,6.9,0,0,0,0,0,Sun,1,1,2022-09-11,23-252,CHI,,SFO,W 19-10,0,0,,0,,,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,4,6.9,0,0.0,5,20.8,RB,EbneTr00
318,Phillip Dorsett,5.7,0,0,1,0,0,Sun,1,1,2022-09-11,29-249,HOU,,IND,T 20-20 (OT),0,0,,0,,,1,0,0,,0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,4,5.7,0,0.0,0,0.0,WR,DorsPh00
319,Chuba Hubbard,5.7,0,1,0,0,0,Sun,1,1,2022-09-11,23-092,CAR,,CLE,L 24-26,1,3,3.0,0,,0.0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,3,5.7,0,0.0,21,65.6,RB,HubbCh01
320,DeeJay Dallas,5.5,0,0,0,0,0,Mon,1,1,2022-09-12,23-361,SEA,,DEN,W 17-16,0,0,,0,,,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,3,5.5,0,0.0,11,57.9,RB,DallDe00
321,Armani Rogers,5.2,0,0,1,0,0,Sun,1,1,2022-09-11,24-281,WAS,,JAX,W 28-22,0,0,,0,0,,1,1,23,23.0,0,100.0,23.0,1,100.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,4,5.2,0,0.0,16,66.7,TE,RogeAr00
322,James Cook,5.1,0,1,0,0,1,Thu,1,1,2022-09-08,22-348,BUF,@,LAR,W 31-10,1,2,2.0,0,,0.0,0,0,0,,0,,,,,1,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,3,5.1,0,0.0,0,0.0,RB,CookJa01
323,Stanley Morgan Jr.,5.0,0,0,0,0,0,Sun,1,1,2022-09-11,26-004,CIN,,PIT,L 20-23 (OT),0,0,,0,,,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,5,5.0,0,0.0,21,65.6,WR,MorgSt02
324,Mike Boone,4.5,0,0,1,0,0,Mon,1,1,2022-09-12,27-074,DEN,@,SEA,L 16-17,0,0,,0,,,1,1,2,2.0,0,100.0,2.0,,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,3,4.5,0,0.0,6,31.6,RB,BoonMi00
325,Brandon Powell,4.5,0,1,1,0,0,Thu,1,1,2022-09-08,26-361,LAR,,BUF,L 10-31,1,3,3.0,0,0,0.0,1,1,10,10.0,0,100.0,10.0,1,100.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,3,4.5,0,0.0,11,57.9,WR,PoweBr00
326,Anthony Firkser,4.0,0,0,2,0,0,Sun,1,1,2022-09-11,27-204,ATL,,NOR,L 26-27,0,0,,0,,,2,1,6,6.0,0,50.0,3.0,,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,3,4.0,0,0.0,0,0.0,FB,FirkAn00
327,Kendrick Bourne,3.5,0,0,1,0,0,Sun,1,1,2022-09-11,27-038,NWE,@,MIA,L 7-20,0,0,,0,0,,1,1,41,41.0,0,100.0,41.0,1,100.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,2,3.5,0,0.0,1,5.3,WR,BourKe00
328,Richard Rodgers,3.0,0,0,1,0,0,Sun,1,1,2022-09-11,30-232,LAC,,LVR,W 24-19,0,0,,0,,,1,0,0,,0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,2,3.0,0,0.0,0,0.0,TE,RodgRi00
329,KaVontae Turpin,2.9,0,0,0,0,0,Sun,1,1,2022-09-11,26-040,DAL,,TAM,L 3-19,0,0,,0,,,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,2,2.9,0,0.0,10,41.7,WR,TurpKa00
330,Jeff Driskel,2.9,0,1,0,0,0,Sun,1,1,2022-09-11,29-141,HOU,,IND,T 20-20 (OT),1,5,5.0,0,1,100.0,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,2,2.9,0,0.0,0,0.0,QB,DrisJe00
331,Connor Heyward,1.6,0,0,0,0,0,Sun,1,1,2022-09-11,23-232,PIT,@,CIN,W 23-20 (OT),0,0,,0,,,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,1,1.6,0,0.0,22,68.8,TE,HeywCo00
332,Jonathan Williams,1.3,0,0,0,0,0,Sun,1,1,2022-09-11,28-221,WAS,,JAX,W 28-22,0,0,,0,,,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,1,1.3,0,0.0,12,50.0,RB,WillJo07
