Rk,Player,Cmp,Att,Tgt,TD,Fmb,Off%,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Fmb,FR,Yds,FRTD,FF,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
16,Taysom Hill,1,9,1,0,0,42.1,Sun,11,11,2022-11-20,32-089,NOR,,LAR,W 27-20,1,3,2,33.3,14,0,0,0,0.0,0.0,49.3,1,7,25.00,4.7,4.67,1.75,14.0,25.0,9,52,5.8,0,2,55.6,1,1,8,8.0,0,100.0,8.0,1,100.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,24,42.1,0,0.0,11,35.5,TE/QB,HillTa00
17,Randall Cobb,0,0,6,0,0,55.7,Thu,11,11,2022-11-17,32-087,GNB,,TEN,L 17-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,6,6,73,12.2,0,100.0,12.2,3,66.7,0,0,0,,0,0,,0,0,0,0,1,0,0,0,34,55.7,0,0.0,1,4.5,WR,CobbRa00
18,Cordarrelle Patterson,0,10,2,1,1,49.1,Sun,11,11,2022-11-20,31-248,ATL,,CHI,W 27-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,10,52,5.2,0,2,70.0,2,2,7,3.5,0,100.0,3.5,0,50.0,1,0,0,,0,0,,0,0,6,1,0,0,0,0,27,49.1,0,0.0,5,18.5,RB,PattCo00
19,Derek Carr,23,0,0,0,0,100.0,Sun,10,11,2022-11-20,31-237,LVR,@,DEN,W 22-16 (OT),23,37,14,62.2,307,2,0,0,5.4,0.0,106.5,1,9,2.63,8.3,9.38,8.89,13.3,44.7,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,66,100.0,0,0.0,0,0.0,QB,CarrDe02
20,Kyle Juszczyk,0,1,0,0,0,43.1,Mon,10,11,2022-11-21,31-212,SFO,@,ARI,W 38-10,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,4,4.0,0,1,100.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,25,43.1,0,0.0,7,26.9,FB,JuszKy00
21,Logan Thomas,0,0,6,0,0,67.6,Sun,11,11,2022-11-20,31-142,WAS,@,HOU,W 23-10,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,6,5,65,13.0,0,83.3,10.8,3,83.3,0,0,0,,0,0,,0,0,0,0,0,0,0,0,46,67.6,0,0.0,0,0.0,TE,ThomLo00
22,Jimmy Garoppolo,20,1,0,0,0,87.9,Mon,10,11,2022-11-21,31-019,SFO,@,ARI,W 38-10,20,29,9,69.0,228,4,0,0,13.8,0.0,131.9,0,0,0.00,7.9,10.62,10.62,11.4,62.1,1,3,3.0,0,1,100.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,51,87.9,0,0.0,0,0.0,QB,GaroJi00
23,David Johnson,0,1,1,0,0,17.5,Sun,11,11,2022-11-20,30-339,NOR,,LAR,W 27-20,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,-4,-4.0,0,0,0.0,1,1,11,11.0,0,100.0,11.0,1,100.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,10,17.5,0,0.0,0,0.0,RB,JohnDa08
24,Michael Burton,0,0,0,0,0,3.1,Sun,10,11,2022-11-20,30-292,KAN,@,LAC,W 30-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,0,0,0,,0,,,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,3.1,0,0.0,15,51.7,RB,BurtMi00
25,MyCole Pruitt,0,0,1,0,0,56.4,Sun,11,11,2022-11-20,30-241,ATL,,CHI,W 27-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,1,1,17,17.0,0,100.0,17.0,1,100.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,31,56.4,0,0.0,10,37.0,TE,PruiMy00
