Rk,Player,Off%,Att,Att,Tgt,2PM,Fmb,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Fmb,FR,Yds,FRTD,FF,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
16,Marvin Jones,81.4,0,0,6,0,0,Sun,1,1,2022-09-11,32-183,JAX,@,WAS,L 22-28,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,6,4,38,9.5,0,66.7,6.3,3,66.7,0,0,0,,0,0,,0,0,0,0,0,0,0,0,57,81.4,0,0.0,0,0.0,WR,JoneMa02
17,Rex Burkhead,71.4,0,14,8,0,0,Sun,1,1,2022-09-11,32-071,HOU,,IND,T 20-20 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,14,40,2.9,0,1,50.0,8,5,30,6.0,0,62.5,3.8,1,50.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,50,71.4,0,0.0,0,0.0,RB,BurkRe00
18,Randall Cobb,60.7,0,0,3,0,0,Sun,1,1,2022-09-11,32-020,GNB,@,MIN,L 7-23,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,3,2,14,7.0,0,66.7,4.7,2,66.7,0,0,0,,0,0,,0,0,0,0,0,0,0,0,37,60.7,0,0.0,0,0.0,WR,CobbRa00
19,Adam Thielen,95.2,0,0,4,0,0,Sun,1,1,2022-09-11,32-020,MIN,,GNB,W 23-7,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,4,3,36,12.0,0,75.0,9.0,2,50.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,59,95.2,0,0.0,0,0.0,WR,ThieAd00
20,Taysom Hill,26.2,0,4,1,0,0,Sun,1,1,2022-09-11,32-019,NOR,@,ATL,W 27-26,0,0,0,,0,0,0,0,,,,0,0,,,,,,,4,81,20.3,1,2,100.0,1,1,2,2.0,0,100.0,2.0,0,0.0,1,0,0,,0,0,,0,0,6,0,0,0,0,0,16,26.2,0,0.0,9,28.1,TE/QB,HillTa00
21,Geno Smith,100.0,28,6,0,0,1,Mon,1,1,2022-09-12,31-337,SEA,,DEN,W 17-16,23,28,5,82.1,195,2,0,0,7.1,0.0,119.5,2,18,6.67,7.0,8.39,7.23,8.5,46.7,6,14,2.3,0,1,33.3,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,1,0,0,0,0,55,100.0,0,0.0,0,0.0,QB,SmitGe00
22,Zach Ertz,60.0,0,0,4,1,0,Sun,1,1,2022-09-11,31-305,ARI,,KAN,L 21-44,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,4,2,14,7.0,1,50.0,3.5,1,50.0,1,0,0,,0,0,,1,0,8,0,0,0,0,0,39,60.0,0,0.0,0,0.0,TE,ErtzZa00
23,Marquise Goodwin,50.9,0,0,2,0,0,Mon,1,1,2022-09-12,31-297,SEA,,DEN,W 17-16,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,2,2,22,11.0,0,100.0,11.0,1,50.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,28,50.9,0,0.0,0,0.0,WR,GoodMa00
24,Cordarrelle Patterson,65.3,0,22,5,0,0,Sun,1,1,2022-09-11,31-178,ATL,,NOR,L 26-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,22,120,5.5,1,10,72.7,5,3,16,5.3,0,60.0,3.2,1,40.0,1,0,0,,0,0,,0,0,6,0,0,0,0,0,49,65.3,0,0.0,5,15.6,RB,PattCo00
25,Derek Carr,100.0,37,0,0,0,2,Sun,1,1,2022-09-11,31-167,LVR,@,LAC,L 19-24,22,37,15,59.5,295,2,3,0,5.4,8.1,69.1,5,29,11.90,8.0,5.41,4.07,13.4,47.6,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,2,0,0,0,0,58,100.0,0,0.0,0,0.0,QB,CarrDe02
