"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Josh Allen",BUF,"at MIA","3 out of 5 stars","A+","25.1"
"2","Jalen Hurts",PHI,"at WAS","5 out of 5 stars","A","24.1"
"3","Patrick Mahomes II",KC,"at IND","4 out of 5 stars","A","22.8"
"4","Lamar Jackson",BAL,"at NE","1 out of 5 stars","A-","21.7"
"5","Kyler Murray",ARI,"vs. LAR","2 out of 5 stars","B+","20.6"
"6","Kirk Cousins",MIN,"vs. DET","4 out of 5 stars","B+","19.9"
"7","Joe Burrow",CIN,"at NYJ","5 out of 5 stars","B","19.2"
"8","Matthew Stafford",LAR,"at ARI","4 out of 5 stars","B","18.7"
"9","Derek Carr",LV,"at TEN","3 out of 5 stars","B","18.1"
"10","Tua Tagovailoa",MIA,"vs. BUF","1 out of 5 stars","B-","17.6"
"11","Russell Wilson",DEN,"vs. SF","3 out of 5 stars","B-","17.2"
"12","Carson Wentz",WAS,"vs. PHI","3 out of 5 stars","C+","16.8"
"13","Jared Goff",DET,"at MIN","4 out of 5 stars","C+","16.6"
"14","Tom Brady",TB,"vs. GB","3 out of 5 stars","C","16.4"
"15","Marcus Mariota",ATL,"at SEA","3 out of 5 stars","C","16.2"
"16","Aaron Rodgers",GB,"at TB","2 out of 5 stars","C","16.1"
"17","Justin Herbert",LAC,"vs. JAC","4 out of 5 stars","C-","15.9"
"18","Justin Fields",CHI,"vs. HOU","4 out of 5 stars","D+","15.8"
"19","Trevor Lawrence",JAC,"at LAC","4 out of 5 stars","D+","15.6"
"20","Ryan Tannehill",TEN,"vs. LV","3 out of 5 stars","D","15.5"
"21","Jameis Winston",NO,"at CAR","4 out of 5 stars","D-","15.4"
"22","Jimmy Garoppolo",SF,"at DEN","3 out of 5 stars","D-","15.3"
"23","Matt Ryan",IND,"vs. KC","3 out of 5 stars","F","15.2"
"24","Daniel Jones",NYG,"vs. DAL","2 out of 5 stars","F","15.1"
"25","Mac Jones",NE,"vs. BAL","4 out of 5 stars","F","15.0"
"26","Joe Flacco",NYJ,"vs. CIN","3 out of 5 stars","F","14.9"
"27","Geno Smith",SEA,"vs. ATL","5 out of 5 stars","F","14.7"
"28","Baker Mayfield",CAR,"vs. NO","2 out of 5 stars","F","14.6"
"29","Davis Mills",HOU,"at CHI","4 out of 5 stars","F","14.3"
"30","Cooper Rush",DAL,"at NYG","2 out of 5 stars","F","14.1"
"31","Mitch Trubisky",PIT,"at CLE","4 out of 5 stars","F","13.8"
"32","Jacoby Brissett",CLE,"vs. PIT","2 out of 5 stars","F","13.6"
"33","Chase Daniel",LAC,"vs. JAC","4 out of 5 stars","F","13.4"
"34","Kenny Pickett",PIT,"at CLE","4 out of 5 stars","F","1.3"
"35","Andy Dalton",NO,"at CAR","4 out of 5 stars","F","1.1"
"36","Drew Lock",SEA,"vs. ATL","5 out of 5 stars","F","1.1"
"37","Malik Willis",TEN,"vs. LV","3 out of 5 stars","F","1.0"
"38","Desmond Ridder",ATL,"at SEA","3 out of 5 stars","F","0.9"
