Player,Team,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
Marcus Mariota,WAS,42.6,26.4,272.2,1.5,1.2,6.9,30.3,0.1,0.2,18.9
Kyle Trask,TB,44.8,26.9,265.5,1.7,0.9,5.5,13.5,0.1,0.2,18.1
Mason Rudolph,TEN,44,27.1,281,1.7,1.2,4.9,14.5,0,0.2,18
Andy Dalton,CAR,45.5,28.5,270.3,1.5,0.9,4.7,16.6,0.1,0.1,17.8
Tyler Huntley,BAL,0,0,202,1,1,0,24,0,0,13.5
Easton Stick,LAC,0,0,215,1,1,0,13,0,0,12.9
Zach Wilson,DEN,0,0,200,1,1,0,17,0,0,12.7
Jaren Hall,SEA,0,0,174,1,1,0,26,0,0,12.6
Tommy DeVito,NYG,0,0,190,1,1,0,17,0,0,12.3
Case Keenum,HOU,0,0,205,1,1,0,8,0,0,12
Trey Lance,DAL,24,15,177,1,1,5,18.5,0,0,11.9
Michael Pratt,TB,0,0,190,1,1,0,12,0,0,11.8
Jordan Travis,NYJ,0,0,188,1,1,0,10,0,0,11.5
Joe Milton III,NE,0,0,190,1,1,0,17,0,1,10.3
Kyle Allen,PIT,0,0,149,1,1,0,10,0,0,10
Sean Clifford,GB,0,0,154,1,1,0,8,0,0,10
Mike White,BUF,0,0,155,1,1,0,7,0,0,9.9
Bailey Zappe,KC,0,0,140,1,1,0,11,0,0,9.7
Jake Haener,NO,17,11,119,1,0,2,8,0,0,9.6
Stetson Bennett,LAR,0,0,92,1,0,0,13,0,0,9
Sam Hartman,WAS,0,0,100,1,0,0,7,0,0,8.7
Dorian Thompson-Robinson,CLE,25,14,121.5,0.5,0.5,5,21,0,0,8.5
Tanner McKee,PHI,0,0,80,1,0,0,8,0,0,8
Sam Ehlinger,IND,0,0,76,1,0,0,8,0,0,7.8
Devin Leary,BAL,0,0,65,0,0,0,0,0,0,2.6
