Player,Team,POS,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Jaylen Warren,PIT,RB32,142.4,677.2,3.9,47.6,324,1.7,1.4,131.1
Jayden Reed,GB,WR34,9.1,74,1.2,64.1,796.6,5.9,0.6,128.2
Terry McLaurin,WAS,WR35,0.3,2.2,0,76.4,"1,009.80",4.6,0.5,127.9
Chase Brown,CIN,RB33,142.7,618.5,4,37.3,304.5,1.9,0.6,126.6
Ezekiel Elliott,DAL,RB34,170.2,663.7,5.7,29.2,193.9,1.3,1,126.2
Tyjae Spears,TEN,RB35,141.7,621,3.6,43.3,335.9,1.6,0.9,124.8
Diontae Johnson,CAR,WR36,1,7.2,0,72.8,905.9,5.8,0.6,124.7
Jerome Ford,CLE,RB36,168.7,662.8,4,34.2,243.9,1.9,0.8,124.4
George Kittle,SF,TE4,0,2.5,0,65.4,881.8,6,0.4,123.3
Christian Watson,GB,WR37,4.2,24.9,0.3,53.7,780.2,7,0.5,123
Austin Ekeler,WAS,RB37,126.5,523.9,4.2,46.3,366.9,2,1.7,122.9
Keenan Allen,CHI,WR38,1,6.3,0,79.7,895.1,5.6,1,122
Xavier Worthy,KC,WR39,3.7,23.2,0.1,57.1,830.5,6,0.8,120.1
Courtland Sutton,DEN,WR40,0,1.2,0,65.8,849.9,6.1,1.3,119.2
DeAndre Hopkins,TEN,WR41,0.3,2.8,0,64.7,851.1,5.7,0.5,118.8
Nick Chubb,CLE,RB38,149.7,726.6,5,17.5,138.2,0.6,0.8,118.6
Jordan Addison,MIN,WR42,0.3,4,0,64.5,829.3,5.9,0.5,117.4
Trey McBride,ARI,TE5,0,0,0,86,879.8,5.1,0.5,117.3
Kyle Pitts,ATL,TE6,0,0,0,67.9,871.2,5.2,0.4,117.3
Rome Odunze,CHI,WR43,1,6.4,0,62.5,852.4,5.4,1.1,116.1
Jameson Williams,DET,WR44,4.5,42.2,0.7,55.2,775.4,4.8,0.6,113.9
Jaxon Smith-Njigba,SEA,WR45,0,2,0,75.6,828.5,5.3,0.6,113.6
Jonathon Brooks,CAR,RB39,152.1,664.3,4.4,23.1,177.9,0.9,1.6,113.2
Brian Thomas Jr.,JAC,WR46,0.7,6,0,63.3,845.5,5,1.1,113.1
Dalton Kincaid,BUF,TE7,0,0,0,82.3,821.8,5.4,0.8,112.9
Ladd McConkey,LAC,WR47,1.1,6.7,0,66.2,822.7,5.1,1.1,111.1
Jerry Jeudy,CLE,WR48,0.3,5.3,0,61.9,851.1,4.4,0.6,110.6
Marquise Brown,KC,WR49,1.2,10.3,0,55.6,740.9,6,0.4,110.3
J.K. Dobbins,LAC,RB40,133.6,590.1,3.9,24.9,188.4,1.5,0.9,108.2
Jake Ferguson,DAL,TE8,0,0,0,70.7,736.9,5.9,0.4,108.2
David Njoku,CLE,TE9,0,0,0,69.8,772.6,5.5,1.2,107.7
Gabe Davis,JAC,WR50,0.3,1.3,0,50,739.5,5.7,0.9,106.7
Chuba Hubbard,CAR,RB41,156.3,621.8,4,27.7,192.6,0.5,0.9,106.7
Tyler Lockett,SEA,WR51,0,1.5,0,66.3,760.1,5.2,0.5,106.2
