team,QB
BAL,Lamar Jackson
BUF,Josh Allen
PHI,Jalen Hurts
GB,Jordan Love
CIN,Joe Burrow
CHI,Caleb Williams
MIN,Sam Darnold
HOU,C J Stroud
ARI,Kyler Murray
SF,Brock Purdy
KC,Patrick Mahomes
DEN,Bo Nix
ATL,Kirk Cousins
MIA,Tua Tagovailoa
DET,Jared Goff
SEA,Geno Smith
TB,Baker Mayfield
DAL,Dak Prescott
IND,Anthony Richardson
NYJ,Aaron Rodgers
JAC,Trevor Lawrence
PIT,Russell Wilson
LAR,Matthew Stafford
CLE,Jameis Winston
WAS,Jayden Daniels
NE,Drake Maye
LAC,Justin Herbert
NYG,Daniel Jones
TEN,Mason Rudolph
LV,Gardner Minshew
NO,Spencer Rattler
CAR,Bryce Young
