team,QB
BAL,Lamar Jackson
WAS,Jayden Daniels
TB,Baker Mayfield
CIN,Joe Burrow
MIN,Sam Darnold
DET,Jared Goff
DEN,Bo Nix
LAC,Justin Herbert
ARI,Kyler Murray
PIT,Russell Wilson
GB,Jordan Love
ATL,Michael Penix
IND,Joe Flacco
CAR,Bryce Young
SEA,Geno Smith
CHI,Caleb Williams
NYJ,Aaron Rodgers
JAC,Mac Jones
SF,Joshua Dobbs
LV,Aidan O Connell
NE,Drake Maye
HOU,C J Stroud
DAL,Trey Lance
BUF,Mitchell Trubisky
NYG,Drew Lock
MIA,Tyler Huntley
KC,Carson Wentz
TEN,Mason Rudolph
NO,Spencer Rattler
PHI,Tanner McKee
LAR,Jimmy Garoppolo
CLE,Dorian Thompson Robinson
