team,QB
PHI,Jalen Hurts
BUF,Josh Allen
BAL,Lamar Jackson
KC,Patrick Mahomes
IND,Anthony Richardson
ARI,Kyler Murray
WAS,Jayden Daniels
HOU,C J Stroud
DET,Jared Goff
DAL,Dak Prescott
MIA,Tua Tagovailoa
SF,Brock Purdy
LAR,Matthew Stafford
TB,Baker Mayfield
CIN,Joe Burrow
PIT,Justin Fields
JAC,Trevor Lawrence
CHI,Caleb Williams
LAC,Justin Herbert
NYG,Daniel Jones
NYJ,Aaron Rodgers
SEA,Geno Smith
ATL,Kirk Cousins
NO,Derek Carr
CLE,Deshaun Watson
MIN,Sam Darnold
GB,Malik Willis
NE,Jacoby Brissett
CAR,Bryce Young
DEN,Bo Nix
LV,Gardner Minshew
TEN,Will Levis
