team,QB
BAL,Lamar Jackson
WAS,Jayden Daniels
PHI,Jalen Hurts
BUF,Josh Allen
GB,Jordan Love
TB,Baker Mayfield
CIN,Joe Burrow
MIN,Sam Darnold
SF,Brock Purdy
SEA,Geno Smith
HOU,C J Stroud
ATL,Kirk Cousins
ARI,Kyler Murray
KC,Patrick Mahomes
IND,Anthony Richardson
DET,Jared Goff
NE,Drake Maye
JAC,Trevor Lawrence
NYG,Daniel Jones
CAR,Andy Dalton
LAR,Matthew Stafford
DEN,Bo Nix
LAC,Justin Herbert
NYJ,Aaron Rodgers
CLE,Deshaun Watson
MIA,Tyler Huntley
LV,Aidan O Connell
TEN,Mason Rudolph
PIT,Russell Wilson
NO,Spencer Rattler
