team,QB
PHI,Jalen Hurts
BAL,Lamar Jackson
BUF,Josh Allen
SF,Brock Purdy
CIN,Joe Burrow
WAS,Jayden Daniels
LAC,Justin Herbert
DEN,Bo Nix
KC,Patrick Mahomes
DET,Jared Goff
PIT,Russell Wilson
HOU,C J Stroud
GB,Jordan Love
SEA,Geno Smith
MIA,Tua Tagovailoa
NE,Drake Maye
MIN,Sam Darnold
CLE,Jameis Winston
LAR,Matthew Stafford
NYJ,Aaron Rodgers
IND,Anthony Richardson
ATL,Kirk Cousins
NO,Derek Carr
CHI,Caleb Williams
JAC,Mac Jones
TEN,Will Levis
LV,Gardner Minshew
DAL,Cooper Rush
