team,QB
ARI,Kyler Murray
BUF,Josh Allen
BAL,Lamar Jackson
PHI,Jalen Hurts
WAS,Jayden Daniels
HOU,C J Stroud
CIN,Joe Burrow
DAL,Dak Prescott
KC,Patrick Mahomes
PIT,Justin Fields
DET,Jared Goff
SF,Brock Purdy
IND,Anthony Richardson
MIN,Sam Darnold
TB,Baker Mayfield
SEA,Geno Smith
CHI,Caleb Williams
NO,Derek Carr
GB,Jordan Love
NYG,Daniel Jones
NYJ,Aaron Rodgers
CAR,Andy Dalton
ATL,Kirk Cousins
JAC,Trevor Lawrence
CLE,Deshaun Watson
TEN,Will Levis
LAR,Matthew Stafford
LV,Gardner Minshew
LAC,Justin Herbert
DEN,Bo Nix
NE,Jacoby Brissett
MIA,Tyler Huntley
