team,QB
BAL,Lamar Jackson
PHI,Jalen Hurts
WAS,Jayden Daniels
CIN,Joe Burrow
GB,Jordan Love
DAL,Dak Prescott
BUF,Josh Allen
ARI,Kyler Murray
PIT,Justin Fields
SF,Brock Purdy
HOU,C J Stroud
CHI,Caleb Williams
ATL,Kirk Cousins
TB,Baker Mayfield
DET,Jared Goff
SEA,Geno Smith
NYG,Daniel Jones
CAR,Andy Dalton
JAC,Trevor Lawrence
TEN,Will Levis
NYJ,Aaron Rodgers
IND,Joe Flacco
CLE,Deshaun Watson
LAC,Justin Herbert
DEN,Bo Nix
NE,Drake Maye
LV,Aidan O Connell
NO,Spencer Rattler
