"RK","PLAYER NAME",TEAM,"OPP","UPSIDE ","BUST ","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Josh Allen",BUF,"vs. NO","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","A+","23.6"
"2","Lamar Jackson",BAL,"at KC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","A","22.7"
"3","Jalen Hurts",PHI,"at TB","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A","21.4"
"4","Justin Herbert",LAC,"at NYG","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A-","20.6"
"5","Caleb Williams",CHI,"at LV","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B+","19.7"
"6","Drake Maye",NE,"vs. CAR","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","B+","19.4"
"7","Patrick Mahomes II",KC,"vs. BAL","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B","19.3"
"8","Bo Nix",DEN,"vs. CIN","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B","19.1"
"9","Jordan Love",GB,"at DAL","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B","18.9"
"10","Daniel Jones",IND,"at LAR","Coach Upside rating","Coach Bust rating","2 out of 5 stars","B-","18.6"
"11","Kyler Murray",ARI,"vs. SEA","Coach Upside rating","Coach Bust rating","2 out of 5 stars","B-","18.2"
"12","Brock Purdy",SF,"vs. JAC","Coach Upside rating","Coach Bust rating","5 out of 5 stars","C+","17.9"
"13","Geno Smith",LV,"vs. CHI","Coach Upside rating","Coach Bust rating","3 out of 5 stars","C+","17.6"
"14","Jared Goff",DET,"vs. CLE","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","C","17.3"
"15","Matthew Stafford",LAR,"vs. IND","Coach Upside rating","Coach Bust rating","4 out of 5 stars","C","17.1"
"16","Baker Mayfield",TB,"vs. PHI","Coach Upside rating","Coach Bust rating","2 out of 5 stars","C","16.8"
"17","Justin Fields",NYJ,"at MIA","Coach Upside rating","Coach Bust rating","4 out of 5 stars","C-","16.5"
"18","C.J. Stroud",HOU,"vs. TEN","Coach Upside rating","Coach Bust rating","4 out of 5 stars","D+","16.1"
"19","Dak Prescott",DAL,"vs. GB","Coach Upside rating","Coach Bust rating","2 out of 5 stars","D","15.8"
"20","Jaxson Dart",NYG,"vs. LAC","Coach Upside rating","Coach Bust rating","2 out of 5 stars","D","15.4"
"21","Sam Darnold",SEA,"at ARI","Coach Upside rating","Coach Bust rating","3 out of 5 stars","D","15.2"
"22","Tua Tagovailoa",MIA,"vs. NYJ","Coach Upside rating","Coach Bust rating","4 out of 5 stars","D-","15.1"
"23","Trevor Lawrence",JAC,"at SF","Coach Upside rating","Coach Bust rating","2 out of 5 stars","F","14.9"
"24","Michael Penix Jr.",ATL,"vs. WAS","Coach Upside rating","Coach Bust rating","4 out of 5 stars","F","14.8"
"25","Carson Wentz",MIN,"at PIT","Coach Upside rating","Coach Bust rating","3 out of 5 stars","F","14.6"
"26","Bryce Young",CAR,"at NE","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","F","14.3"
"27","Jake Browning",CIN,"at DEN","Coach Upside rating","Coach Bust rating","3 out of 5 stars","F","13.9"
"28","Joe Flacco",CLE,"at DET","Coach Upside rating","Coach Bust rating","3 out of 5 stars","F","13.5"
"29","Aaron Rodgers",PIT,"vs. MIN","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","13.1"
"30","Spencer Rattler",NO,"at BUF","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","12.6"
"31","Cam Ward",TEN,"at HOU","Coach Upside rating","Coach Bust rating","2 out of 5 stars","F","11.9"
"32","Marcus Mariota",WAS,"at ATL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","F","11.4"
"33","Tyrod Taylor",NYJ,"at MIA","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","F","10.5"
"34","Mac Jones",SF,"vs. JAC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","F","5.4"
"35","Russell Wilson",NYG,"vs. LAC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","1.4"
"36","Tyler Shough",NO,"at BUF","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","1.0"
"37","Jalen Milroe",SEA,"at ARI","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","0.7"
"38","Zach Wilson",MIA,"vs. NYJ","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","F","0.5"
"39","Jimmy Garoppolo",LAR,"vs. IND","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","F","0.5"
"40","Anthony Richardson Sr.",IND,"at LAR","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","0.5"
"41","Malik Willis",GB,"at DAL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","F","0.5"
