"RK","PLAYER NAME",TEAM,"OPP","UPSIDE ","BUST ","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Jaxon Smith-Njigba",SEA,"vs. ARI","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A+","17.3"
"2","Puka Nacua",LAR,"at SF","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A+","17.1"
"3","Amon-Ra St. Brown",DET,"at WAS","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A+","17.1"
"4","Drake London",ATL,"at IND","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A+","14.2"
"5","Justin Jefferson",MIN,"vs. BAL","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A+","13.4"
"6","Emeka Egbuka",TB,"vs. NE","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A+","13.3"
"7","Davante Adams",LAR,"at SF","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","12.7"
"8","Ladd McConkey",LAC,"vs. PIT","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A","12.4"
"9","Zay Flowers",BAL,"at MIN","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","12.2"
"10","Nico Collins",HOU,"vs. JAC","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A","11.8"
"11","Jaylen Waddle",MIA,"vs. BUF","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","11.8"
"12","Michael Pittman Jr.",IND,"vs. ATL","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A","11.7"
"13","A.J. Brown",PHI,"at GB","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","11.7"
"14","Rome Odunze",CHI,"vs. NYG","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","11.6"
"15","Courtland Sutton",DEN,"vs. LV","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A","11.4"
"16","DeVonta Smith",PHI,"at GB","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","11.3"
"17","Stefon Diggs",NE,"at TB","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A","11.0"
"18","Chris Olave",NO,"at CAR","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A-","10.9"
