"RK","PLAYER NAME",TEAM,"OPP","UPSIDE ","BUST ","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Bijan Robinson",ATL,"at ARI","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","A+","21.1"
"2","Jahmyr Gibbs",DET,"vs. PIT","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A+","20.0"
"3","Christian McCaffrey",SF,"at IND","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A+","19.7"
"4","De'Von Achane",MIA,"vs. CIN","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","A","19.7"
"5","Jonathan Taylor",IND,"vs. SF","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A","18.4"
"6","James Cook III",BUF,"at CLE","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","A","16.6"
"7","Saquon Barkley",PHI,"at WAS","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A","16.5"
"8","Javonte Williams",DAL,"vs. LAC","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","15.6"
"9","Travis Etienne Jr.",JAC,"at DEN","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","13.8"
"10","Derrick Henry",BAL,"vs. NE","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A-","13.6"
"11","Bucky Irving",TB,"at CAR","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A-","13.5"
"12","Chase Brown",CIN,"at MIA","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B+","13.4"
"13","Josh Jacobs",GB,"at CHI","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A-","12.9"
"14","RJ Harvey",DEN,"vs. JAC","Coach Upside rating","Coach Bust rating","2 out of 5 stars","B+","12.3"
"15","TreVeyon Henderson",NE,"at BAL","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B","12.1"
"16","Quinshon Judkins",CLE,"vs. BUF","Coach Upside rating","Coach Bust rating","5 out of 5 stars","B","12.1"
"17","Kyren Williams",LAR,"at SEA","Coach Upside rating","Coach Bust rating","1 out of 5 stars","B","12.1"
