"RK","PLAYER NAME",TEAM,"OPP","UPSIDE ","BUST ","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Christian McCaffrey",SF,"vs. CAR","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","A+","22.3"
"2","Jonathan Taylor",IND,"at KC","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A+","19.3"
"3","Jahmyr Gibbs",DET,"vs. NYG","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A+","19.3"
"4","Bijan Robinson",ATL,"at NO","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","18.9"
"5","Derrick Henry",BAL,"vs. NYJ","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","15.1"
"6","Saquon Barkley",PHI,"at DAL","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A","14.9"
"7","Rico Dowdle",CAR,"at SF","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","14.8"
"8","James Cook III",BUF,"at HOU","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","14.7"
"9","Chase Brown",CIN,"vs. NE","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A","13.6"
"10","Kyren Williams",LAR,"vs. TB","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A-","13.6"
"11","TreVeyon Henderson",NE,"at CIN","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A-","13.3"
"12","Javonte Williams",DAL,"vs. PHI","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A-","13.1"
"13","Ashton Jeanty",LV,"vs. CLE","Coach Upside rating","Coach Bust rating","1 out of 5 stars","B+","13.0"
"14","Travis Etienne Jr.",JAC,"at ARI","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B+","12.8"
"15","D'Andre Swift",CHI,"vs. PIT","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B","12.3"
"16","Quinshon Judkins",CLE,"at LV","Coach Upside rating","Coach Bust rating","2 out of 5 stars","B","12.3"
