"RK","PLAYER NAME",TEAM,"OPP","UPSIDE ","BUST ","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Christian McCaffrey",SF,"vs. SEA","Coach Upside rating","Coach Bust rating","1 out of 5 stars","A+","19.9"
"2","Bijan Robinson",ATL,"vs. NO","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A+","18.7"
"3","Derrick Henry",BAL,"at PIT","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A","18.5"
"4","Jahmyr Gibbs",DET,"at CHI","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","A","15.5"
"5","Travis Etienne Jr.",JAC,"vs. TEN","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A","14.9"
"6","Chase Brown",CIN,"vs. CLE","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A","14.9"
"7","Kyren Williams",LAR,"vs. ARI","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A","14.9"
"8","RJ Harvey",DEN,"vs. LAC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","A","14.7"
"9","Bucky Irving",TB,"vs. CAR","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A","13.9"
"10","Jonathan Taylor",IND,"at HOU","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","13.4"
"11","TreVeyon Henderson",NE,"vs. MIA","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A-","13.3"
"12","Ashton Jeanty",LV,"vs. KC","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A-","13.2"
"13","D'Andre Swift",CHI,"vs. DET","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","B+","13.1"
"14","James Cook III",BUF,"vs. NYJ","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","A-","12.4"
"15","Kenneth Gainwell",PIT,"vs. BAL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","B","12.3"
"16","Jaylen Warren",PIT,"vs. BAL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","B","12.3"
"17","Rico Dowdle",CAR,"at TB","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B","12.2"
"18","Tony Pollard",TEN,"at JAC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","B","11.8"
"19","Tyrone Tracy Jr.",NYG,"vs. DAL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","B","11.7"
"20","Rhamondre Stevenson",NE,"vs. MIA","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B","11.7"
"21","Woody Marks",HOU,"vs. IND","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","B","11.6"
"22","Jaydon Blue",DAL,"at NYG","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","B-","11.1"
"23","Tank Bigsby",PHI,"vs. WAS","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","B-","10.9"
"24","Audric Estime",NO,"at ATL","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B","10.9"
"25","Kenneth Walker III",SEA,"at SF","Coach Upside rating","Coach Bust rating","4 out of 5 stars","C+","10.6"
"26","Zach Charbonnet",SEA,"at SF","Coach Upside rating","Coach Bust rating","4 out of 5 stars","C+","10.2"
""
"27","Jordan Mason",MIN,"vs. GB","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","C+","9.8"
"28","Kyle Monangai",CHI,"vs. DET","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","C","9.7"
"29","Jaylen Wright",MIA,"at NE","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","C","9.6"
"30","Dylan Sampson",CLE,"at CIN","Coach Upside rating","Coach Bust rating","4 out of 5 stars","C","9.5"
"31","Michael Carter",ARI,"at LAR","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","C","9.4"
"32","Isiah Pacheco",KC,"at LV","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","C","9.4"
"33","Emanuel Wilson",GB,"at MIN","Coach Upside rating","Coach Bust rating","3 out of 5 stars","C","9.4"
"34","David Montgomery",DET,"at CHI","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","C","9.3"
"35","Devin Singletary",NYG,"vs. DAL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","C-","9.1"
"36","Jacory Croskey-Merritt",WAS,"at PHI","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","C-","9.0"
"37","Chuba Hubbard",CAR,"at TB","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","C-","8.9"
"38","Tyler Allgeier",ATL,"vs. NO","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","D+","8.5"
"39","Tyjae Spears",TEN,"at JAC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","D+","8.5"
"40","Blake Corum",LAR,"vs. ARI","Coach Upside rating","Coach Bust rating","4 out of 5 stars","D+","8.1"
"41","Kareem Hunt",KC,"at LV","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","D","7.9"
"42","Kimani Vidal",LAC,"at DEN","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","D","7.5"
"43","Chris Rodriguez Jr.",WAS,"at PHI","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","D","7.5"
