"RK","PLAYER NAME",TEAM,"OPP","UPSIDE ","BUST ","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Josh Allen",BUF,"vs. CIN","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A+","24.5"
"2","Dak Prescott",DAL,"at DET","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A","21.3"
"3","Matthew Stafford",LAR,"at ARI","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A","20.4"
"4","Jalen Hurts",PHI,"at LAC","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A","19.2"
"5","Jared Goff",DET,"vs. DAL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","A","18.9"
"6","Patrick Mahomes II",KC,"vs. HOU","Coach Upside rating","Coach Bust rating","2 out of 5 stars","B+","18.6"
"7","Lamar Jackson",BAL,"vs. PIT","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B+","18.3"
"8","Joe Burrow",CIN,"at BUF","Coach Upside rating","Coach Bust rating","2 out of 5 stars","B+","18.0"
"9","Bo Nix",DEN,"at LV","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B","17.7"
"10","Baker Mayfield",TB,"vs. NO","Coach Upside rating","Coach Bust rating","2 out of 5 stars","B","17.4"
"11","Jordan Love",GB,"vs. CHI","Coach Upside rating","Coach Bust rating","5 out of 5 stars","B-","17.2"
"12","Jacoby Brissett",ARI,"vs. LAR","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B-","17.0"
"13","Trevor Lawrence",JAC,"vs. IND","Coach Upside rating","Coach Bust rating","2 out of 5 stars","C+","16.8"
"14","Daniel Jones",IND,"at JAC","Coach Upside rating","Coach Bust rating","3 out of 5 stars","C+","16.6"
"15","Sam Darnold",SEA,"at ATL","Coach Upside rating","Coach Bust rating","3 out of 5 stars","C","16.4"
"16","Justin Herbert",LAC,"vs. PHI","Coach Upside rating","Coach Bust rating","2 out of 5 stars","C-","16.1"
"17","Tyrod Taylor",NYJ,"vs. MIA","Coach Upside rating","Coach Bust rating","4 out of 5 stars","D+","15.8"
"18","C.J. Stroud",HOU,"at KC","Coach Upside rating","Coach Bust rating","2 out of 5 stars","D+","15.6"
"19","Caleb Williams",CHI,"at GB","Coach Upside rating","Coach Bust rating","2 out of 5 stars","D+","15.1"
"20","Tyler Shough",NO,"at TB","Coach Upside rating","Coach Bust rating","3 out of 5 stars","D","14.6"
"21","J.J. McCarthy",MIN,"vs. WAS","Coach Upside rating","Coach Bust rating","5 out of 5 stars","D-","14.0"
"22","Tua Tagovailoa",MIA,"at NYJ","Coach Upside rating","Coach Bust rating","4 out of 5 stars","D","13.5"
"23","Aaron Rodgers",PIT,"at BAL","Coach Upside rating","Coach Bust rating","4 out of 5 stars","F","13.0"
"24","Kirk Cousins",ATL,"vs. SEA","Coach Upside rating","Coach Bust rating","3 out of 5 stars","F","12.6"
"25","Shedeur Sanders",CLE,"vs. TEN","Coach Upside rating","Coach Bust rating","4 out of 5 stars","F","12.3"
"26","Jayden Daniels",WAS,"at MIN","Coach Upside rating","Coach Bust rating","4 out of 5 stars","D-","11.9"
""
"27","Geno Smith",LV,"vs. DEN","Coach Upside rating","Coach Bust rating","1 out of 5 stars","F","11.4"
"28","Cam Ward",TEN,"at CLE","Coach Upside rating","Coach Bust rating","2 out of 5 stars","F","11.1"
"29","Marcus Mariota",WAS,"at MIN","Coach Upside rating","Coach Bust rating","4 out of 5 stars","F","0.7"
"30","Max Brosmer",MIN,"vs. WAS","Coach Upside rating","Coach Bust rating","5 out of 5 stars","F","0.6"
"31","Mason Rudolph",PIT,"at BAL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","F","0.5"
"32","Trey Lance",LAC,"vs. PHI","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","0.5"
"33","Teddy Bridgewater",TB,"vs. NO","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","0.5"
"34","Davis Mills",HOU,"at KC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","0.5"
"35","Joe Flacco",CIN,"at BUF","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","0.5"
"36","Riley Leonard",IND,"at JAC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","0.5"
"37","Aidan O'Connell",LV,"vs. DEN","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","F","0.5"
"38","Malik Willis",GB,"vs. CHI","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","F","0.4"
"39","Mitchell Trubisky",BUF,"vs. CIN","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","F","0.4"
"40","Jalen Milroe",SEA,"at ATL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","0.4"
"41","Jimmy Garoppolo",LAR,"at ARI","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","0.4"
"42","Joe Milton III",DAL,"at DET","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","F","0.4"
"43","Jarrett Stidham",DEN,"at LV","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","0.4"
"44","Tyler Huntley",BAL,"vs. PIT","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","0.4"
"45","Nick Mullens",JAC,"vs. IND","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","0.4"
"46","Zach Wilson",MIA,"at NYJ","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","F","0.4"
"47","Tanner McKee",PHI,"at LAC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","0.4"
"48","Spencer Rattler",NO,"at TB","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","0.4"
"49","Tyson Bagent",CHI,"at GB","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","0.4"
"50","Brandon Allen",TEN,"at CLE","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","0.2"
"51","Quinn Ewers",MIA,"at NYJ","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","F","0.2"
"52","Jake Browning",CIN,"at BUF","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","0.2"
"53","Dillon Gabriel",CLE,"vs. TEN","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","F","0.1"
"54","Cooper Rush",BAL,"vs. PIT","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","0.0"
"55","Brett Rypien",IND,"at JAC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","0.0"
"56","Will Howard",PIT,"at BAL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","F","0.0"
"57","Sam Howell",PHI,"at LAC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","0.0"
"58","Gardner Minshew II",KC,"vs. HOU","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","0.0"
"59","Drew Lock",SEA,"at ATL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","0.0"
"60","Case Keenum",CHI,"at GB","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","0.0"
"61","Jake Haener",NO,"at TB","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","0.0"
"62","Trevor Siemian",TEN,"at CLE","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","0.0"
"63","Shane Buechele",BUF,"vs. CIN","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","F","0.0"
"64","Jeff Driskel",ARI,"vs. LAR","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","-"
"65","Graham Mertz",HOU,"at KC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","-"
