"RK","PLAYER NAME",TEAM,"OPP","UPSIDE ","BUST ","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Trey McBride",ARI,"vs. TEN","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A+","12.6"
"2","Tyler Warren",IND,"vs. LV","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","10.5"
"3","Jake Ferguson",DAL,"at NYJ","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A-","10.1"
"4","Sam LaPorta",DET,"at CIN","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B+","9.6"
"5","Hunter Henry",NE,"at BUF","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B+","8.8"
"6","Travis Kelce",KC,"at JAC","Coach Upside rating","Coach Bust rating","2 out of 5 stars","B","8.7"
"7","Juwan Johnson",NO,"vs. NYG","Coach Upside rating","Coach Bust rating","2 out of 5 stars","B","8.6"
"8","Dalton Kincaid",BUF,"vs. NE","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B","7.9"
"9","Zach Ertz",WAS,"at LAC","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B-","7.6"
"10","Dallas Goedert",PHI,"vs. DEN","Coach Upside rating","Coach Bust rating","4 out of 5 stars","C+","7.6"
"11","Brenton Strange",JAC,"vs. KC","Coach Upside rating","Coach Bust rating","2 out of 5 stars","C+","7.4"
"12","Mark Andrews",BAL,"vs. HOU","Coach Upside rating","Coach Bust rating","3 out of 5 stars","C","7.4"
"13","T.J. Hockenson",MIN,"at CLE","Coach Upside rating","Coach Bust rating","3 out of 5 stars","C","7.3"
"14","Darren Waller",MIA,"at CAR","Coach Upside rating","Coach Bust rating","4 out of 5 stars","C-","7.2"
"15","Harold Fannin Jr.",CLE,"vs. MIN","Coach Upside rating","Coach Bust rating","2 out of 5 stars","D+","7.0"
"16","Dalton Schultz",HOU,"at BAL","Coach Upside rating","Coach Bust rating","4 out of 5 stars","D","6.6"
"17","David Njoku",CLE,"vs. MIN","Coach Upside rating","Coach Bust rating","2 out of 5 stars","D","6.4"
"18","Jake Tonges",SF,"at LAR","Coach Upside rating","Coach Bust rating","3 out of 5 stars","D","6.1"
"19","Theo Johnson",NYG,"at NO","Coach Upside rating","Coach Bust rating","3 out of 5 stars","D","6.1"
"20","Brock Bowers",LV,"at IND","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B","5.9"
"21","Mason Taylor",NYJ,"vs. DAL","Coach Upside rating","Coach Bust rating","3 out of 5 stars","D-","5.7"
"22","Chig Okonkwo",TEN,"at ARI","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","D-","5.6"
"23","Tommy Tremble",CAR,"vs. MIA","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","5.6"
"24","Evan Engram",DEN,"at PHI","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","5.2"
"25","Cade Otton",TB,"at SEA","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","4.8"
"26","Oronde Gadsden II",LAC,"vs. WAS","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","F","4.7"
"27","AJ Barner",SEA,"vs. TB","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","F","4.6"
"28","Isaiah Likely",BAL,"vs. HOU","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","4.5"
"29","Elijah Arroyo",SEA,"vs. TB","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","F","4.1"
"30","Mike Gesicki",CIN,"vs. DET","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","3.9"
"31","Noah Gray",KC,"at JAC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","3.6"
"32","Austin Hooper",NE,"at BUF","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","F","3.5"
"33","Luke Farrell",SF,"at LAR","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","3.5"
