"RK","PLAYER NAME",TEAM,"OPP","UPSIDE ","BUST ","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Amon-Ra St. Brown",DET,"vs. TB","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A+","16.5"
"2","Jaxon Smith-Njigba",SEA,"vs. HOU","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A+","15.8"
"3","Ja'Marr Chase",CIN,"vs. PIT","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A+","15.7"
"4","Davante Adams",LAR,"at JAC","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A+","14.4"
"5","Justin Jefferson",MIN,"vs. PHI","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A+","14.0"
"6","CeeDee Lamb",DAL,"vs. WAS","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A+","13.8"
"7","Drake London",ATL,"at SF","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A+","13.7"
"8","Nico Collins",HOU,"at SEA","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A","13.5"
"9","Rashee Rice",KC,"vs. LV","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","13.2"
"10","George Pickens",DAL,"vs. WAS","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A","13.0"
"11","Rome Odunze",CHI,"vs. NO","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A","12.8"
"12","DK Metcalf",PIT,"at CIN","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","12.3"
"13","Brian Thomas Jr.",JAC,"vs. LAR","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A","11.5"
"14","Courtland Sutton",DEN,"vs. NYG","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","11.4"
"15","Mike Evans",TB,"at DET","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A","11.4"
"16","Jaylen Waddle",MIA,"at CLE","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A-","11.4"
"17","Chris Olave",NO,"at CHI","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A-","11.4"
"18","Ladd McConkey",LAC,"vs. IND","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A-","11.1"
"19","A.J. Brown",PHI,"at MIN","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A-","11.0"
"20","Xavier Worthy",KC,"vs. LV","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A-","11.0"
"21","Tetairoa McMillan",CAR,"at NYJ","Coach Upside rating","Coach Bust rating","2 out of 5 stars","B+","10.9"
"22","Stefon Diggs",NE,"at TEN","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B+","10.8"
"23","Jameson Williams",DET,"vs. TB","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B","10.7"
"24","Keenan Allen",LAC,"vs. IND","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B","10.6"
"25","Michael Pittman Jr.",IND,"at LAC","Coach Upside rating","Coach Bust rating","2 out of 5 stars","B","10.4"
"26","Quentin Johnston",LAC,"vs. IND","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B+","10.3"
"27","Romeo Doubs",GB,"at ARI","Coach Upside rating","Coach Bust rating","2 out of 5 stars","B","10.2"
