"RK","PLAYER NAME",TEAM,"OPP","UPSIDE ","BUST ","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Jaxon Smith-Njigba",SEA,"at ATL","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A+","16.8"
"2","Ja'Marr Chase",CIN,"at BUF","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A+","16.0"
"3","Puka Nacua",LAR,"at ARI","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A+","15.9"
"4","CeeDee Lamb",DAL,"at DET","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A+","15.3"
"5","George Pickens",DAL,"at DET","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A+","14.9"
"6","Rashee Rice",KC,"vs. HOU","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A+","14.7"
"7","Davante Adams",LAR,"at ARI","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","14.2"
"8","Nico Collins",HOU,"at KC","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","13.2"
"9","Jameson Williams",DET,"vs. DAL","Coach Upside rating","Coach Bust rating","5 out of 5 stars","A","12.8"
"10","Amon-Ra St. Brown",DET,"vs. DAL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","A","12.4"
"11","Jaylen Waddle",MIA,"at NYJ","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A","12.2"
"12","A.J. Brown",PHI,"at LAC","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A","12.1"
"13","Chris Olave",NO,"at TB","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A","12.0"
"14","Justin Jefferson",MIN,"vs. WAS","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A","11.5"
"15","Emeka Egbuka",TB,"vs. NO","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","11.5"
"16","Michael Wilson",ARI,"vs. LAR","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","A-","11.2"
"17","Christian Watson",GB,"vs. CHI","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A-","10.7"
"18","DeVonta Smith",PHI,"at LAC","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A-","10.6"
"19","Zay Flowers",BAL,"vs. PIT","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A-","10.6"
"20","Ladd McConkey",LAC,"vs. PHI","Coach Upside rating","Coach Bust rating","1 out of 5 stars","A-","10.4"
"21","Terry McLaurin",WAS,"at MIN","Coach Upside rating","Coach Bust rating","2 out of 5 stars","B+","10.3"
"22","Michael Pittman Jr.",IND,"at JAC","Coach Upside rating","Coach Bust rating","2 out of 5 stars","B+","10.2"
"23","Jakobi Meyers",JAC,"vs. IND","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B+","10.1"
"24","Courtland Sutton",DEN,"at LV","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B","10.0"
"25","DK Metcalf",PIT,"at BAL","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B","9.7"
"26","Khalil Shakir",BUF,"vs. CIN","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B","9.6"
""
"27","Alec Pierce",IND,"at JAC","Coach Upside rating","Coach Bust rating","2 out of 5 stars","B","9.5"
"28","Adonai Mitchell",NYJ,"vs. MIA","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B","9.5"
"29","Deebo Samuel Sr.",WAS,"at MIN","Coach Upside rating","Coach Bust rating","2 out of 5 stars","B","9.1"
"30","Brian Thomas Jr.",JAC,"vs. IND","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B-","9.1"
"31","Troy Franklin",DEN,"at LV","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B-","9.0"
"32","Chris Godwin Jr.",TB,"vs. NO","Coach Upside rating","Coach Bust rating","3 out of 5 stars","C+","8.8"
"33","Romeo Doubs",GB,"vs. CHI","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B-","8.7"
"34","Xavier Worthy",KC,"vs. HOU","Coach Upside rating","Coach Bust rating","2 out of 5 stars","C+","8.6"
"35","Jordan Addison",MIN,"vs. WAS","Coach Upside rating","Coach Bust rating","4 out of 5 stars","C+","8.3"
"36","Tee Higgins",CIN,"at BUF","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B","8.2"
"37","Quentin Johnston",LAC,"vs. PHI","Coach Upside rating","Coach Bust rating","1 out of 5 stars","C+","7.9"
"38","Keenan Allen",LAC,"vs. PHI","Coach Upside rating","Coach Bust rating","1 out of 5 stars","C+","7.9"
"39","Darnell Mooney",ATL,"vs. SEA","Coach Upside rating","Coach Bust rating","2 out of 5 stars","C","7.8"
"40","Jayden Higgins",HOU,"at KC","Coach Upside rating","Coach Bust rating","3 out of 5 stars","C","7.5"
"41","Tre Tucker",LV,"vs. DEN","Coach Upside rating","Coach Bust rating","2 out of 5 stars","C","7.4"
"42","DJ Moore",CHI,"at GB","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","C","7.3"
"43","Luther Burden III",CHI,"at GB","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","C","7.3"
"44","John Metchie III",NYJ,"vs. MIA","Coach Upside rating","Coach Bust rating","4 out of 5 stars","C","7.2"
"45","Jerry Jeudy",CLE,"vs. TEN","Coach Upside rating","Coach Bust rating","4 out of 5 stars","C","7.1"
"46","Devaughn Vele",NO,"at TB","Coach Upside rating","Coach Bust rating","2 out of 5 stars","C","7.1"
"47","Josh Downs",IND,"at JAC","Coach Upside rating","Coach Bust rating","2 out of 5 stars","C","7.0"
"48","Dontayvion Wicks",GB,"vs. CHI","Coach Upside rating","Coach Bust rating","4 out of 5 stars","C","6.6"
"49","Pat Bryant",DEN,"at LV","Coach Upside rating","Coach Bust rating","3 out of 5 stars","C-","6.5"
"50","Isaac TeSlaa",DET,"vs. DAL","Coach Upside rating","Coach Bust rating","5 out of 5 stars","C-","6.5"
"51","Cooper Kupp",SEA,"at ATL","Coach Upside rating","Coach Bust rating","4 out of 5 stars","C-","6.2"
"52","Malik Washington",MIA,"at NYJ","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","C-","6.2"
"53","Chimere Dike",TEN,"at CLE","Coach Upside rating","Coach Bust rating","4 out of 5 stars","C-","5.9"
"54","Rashid Shaheed",SEA,"at ATL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","C-","5.8"
"55","Elic Ayomanor",TEN,"at CLE","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","D+","5.8"
"56","Keon Coleman",BUF,"vs. CIN","Coach Upside rating","Coach Bust rating","3 out of 5 stars","D+","5.8"
"57","Tez Johnson",TB,"vs. NO","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","D+","5.7"
"58","Rashod Bateman",BAL,"vs. PIT","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","D","5.6"
"59","Gabe Davis",BUF,"vs. CIN","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","D","5.4"
"60","Andrei Iosivas",CIN,"at BUF","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","D","5.2"
"61","Calvin Austin III",PIT,"at BAL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","D","5.1"
"62","Tyler Lockett",LV,"vs. DEN","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","D","5.0"
"63","Cedric Tillman",CLE,"vs. TEN","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","D-","5.0"
"64","Marquise Brown",KC,"vs. HOU","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","D-","5.0"
