"RK","PLAYER NAME",TEAM,"OPP","UPSIDE ","BUST ","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Amon-Ra St. Brown",DET,"vs. PIT","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A+","16.6"
"2","Ja'Marr Chase",CIN,"at MIA","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A+","16.5"
"3","Puka Nacua",LAR,"at SEA","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A+","16.4"
"4","Jaxon Smith-Njigba",SEA,"vs. LAR","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","A+","16.2"
"5","CeeDee Lamb",DAL,"vs. LAC","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A+","14.2"
"6","Nico Collins",HOU,"vs. LV","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A+","14.1"
"7","Jameson Williams",DET,"vs. PIT","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","14.1"
"8","A.J. Brown",PHI,"at WAS","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","A","13.6"
"9","Chris Olave",NO,"vs. NYJ","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A","13.6"
"10","George Pickens",DAL,"vs. LAC","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A","12.8"
"11","DK Metcalf",PIT,"at DET","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A","12.5"
"12","Mike Evans",TB,"at CAR","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","11.8"
"13","Courtland Sutton",DEN,"vs. JAC","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A","11.7"
"14","Jauan Jennings",SF,"at IND","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","A","11.5"
"15","Zay Flowers",BAL,"vs. NE","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","A","11.3"
"16","Drake London",ATL,"at ARI","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A-","11.2"
"17","Tetairoa McMillan",CAR,"vs. TB","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A-","11.1"
"18","Michael Wilson",ARI,"vs. ATL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","A-","11.1"
"19","Justin Jefferson",MIN,"at NYG","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A-","11.1"
"20","DeVonta Smith",PHI,"at WAS","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A-","10.9"
"21","Jakobi Meyers",JAC,"at DEN","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","B+","10.7"
"22","Jaylen Waddle",MIA,"vs. CIN","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B+","10.4"
"23","Terry McLaurin",WAS,"vs. PHI","Coach Upside rating","Coach Bust rating","1 out of 5 stars","B","10.4"
"24","Wan'Dale Robinson",NYG,"vs. MIN","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","B+","10.3"
"25","Ladd McConkey",LAC,"at DAL","Coach Upside rating","Coach Bust rating","5 out of 5 stars","B","10.3"
"26","DJ Moore",CHI,"vs. GB","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B","10.1"
""
"27","Brian Thomas Jr.",JAC,"at DEN","Coach Upside rating","Coach Bust rating","2 out of 5 stars","B","10.0"
"28","Christian Watson",GB,"at CHI","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","B-","9.8"
"29","Jayden Reed",GB,"at CHI","Coach Upside rating","Coach Bust rating","5 out of 5 stars","B-","9.8"
"30","Xavier Worthy",KC,"at TEN","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","B-","9.6"
"31","Deebo Samuel Sr.",WAS,"vs. PHI","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","B-","9.3"
"32","Adonai Mitchell",NYJ,"at NO","Coach Upside rating","Coach Bust rating","3 out of 5 stars","C+","9.3"
"33","Stefon Diggs",NE,"at BAL","Coach Upside rating","Coach Bust rating","3 out of 5 stars","C+","9.3"
"34","Emeka Egbuka",TB,"at CAR","Coach Upside rating","Coach Bust rating","3 out of 5 stars","C+","9.0"
"35","Chris Godwin Jr.",TB,"at CAR","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","C+","8.9"
"36","Jordan Addison",MIN,"at NYG","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","C+","8.8"
"37","Keenan Allen",LAC,"at DAL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","C+","8.8"
"38","Tee Higgins",CIN,"at MIA","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","B","8.7"
