"RK","PLAYER NAME",TEAM,"OPP","UPSIDE ","BUST ","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Puka Nacua",LAR,"at BAL","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A+","18.6"
"2","Amon-Ra St. Brown",DET,"at KC","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A+","15.1"
"3","Jaxon Smith-Njigba",SEA,"at JAC","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A+","14.9"
"4","Emeka Egbuka",TB,"vs. SF","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A+","14.4"
"5","Drake London",ATL,"vs. BUF","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A+","14.0"
"6","Rome Odunze",CHI,"at WAS","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A","13.6"
"7","Ja'Marr Chase",CIN,"at GB","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","13.6"
"8","Davante Adams",LAR,"at BAL","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","12.6"
"9","George Pickens",DAL,"at CAR","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","12.6"
"10","Xavier Worthy",KC,"vs. DET","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A","12.5"
"11","Deebo Samuel Sr.",WAS,"vs. CHI","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","12.3"
"12","Tetairoa McMillan",CAR,"vs. DAL","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A","11.9"
"13","Garrett Wilson",NYJ,"vs. DEN","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A","11.8"
"14","Jaylen Waddle",MIA,"vs. LAC","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A","11.8"
"15","A.J. Brown",PHI,"at NYG","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A","11.7"
"16","Stefon Diggs",NE,"at NO","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A","11.7"
"17","Courtland Sutton",DEN,"at NYJ","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A-","11.6"
"18","Quentin Johnston",LAC,"at MIA","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A-","11.4"
"19","Michael Pittman Jr.",IND,"vs. ARI","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A-","11.4"
"20","Brian Thomas Jr.",JAC,"vs. SEA","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A-","11.4"
"21","Keenan Allen",LAC,"at MIA","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A-","11.0"
"22","DK Metcalf",PIT,"vs. CLE","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B+","10.9"
"23","Ladd McConkey",LAC,"at MIA","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B+","10.6"
"24","Marvin Harrison Jr.",ARI,"at IND","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B","10.6"
"25","Chris Olave",NO,"vs. NE","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B","10.5"
"26","Zay Flowers",BAL,"vs. LAR","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B","10.4"
"27","Jakobi Meyers",LV,"vs. TEN","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B","10.2"
"28","DeVonta Smith",PHI,"at NYG","Coach Upside rating","Coach Bust rating","2 out of 5 stars","B","10.1"
"29","Calvin Ridley",TEN,"at LV","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B-","10.0"
"30","DJ Moore",CHI,"at WAS","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B-","9.5"
"31","Khalil Shakir",BUF,"at ATL","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B-","9.4"
"32","Jameson Williams",DET,"at KC","Coach Upside rating","Coach Bust rating","3 out of 5 stars","C+","9.2"
"33","Romeo Doubs",GB,"vs. CIN","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B-","9.2"
"34","Wan'Dale Robinson",NYG,"vs. PHI","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","C+","9.1"
"35","Matthew Golden",GB,"vs. CIN","Coach Upside rating","Coach Bust rating","4 out of 5 stars","C+","8.8"
"36","Tee Higgins",CIN,"at GB","Coach Upside rating","Coach Bust rating","3 out of 5 stars","C+","8.8"
"37","Kendrick Bourne",SF,"at TB","Coach Upside rating","Coach Bust rating","3 out of 5 stars","C+","8.8"
"38","Rashid Shaheed",NO,"vs. NE","Coach Upside rating","Coach Bust rating","4 out of 5 stars","C+","8.8"
"39","Keon Coleman",BUF,"at ATL","Coach Upside rating","Coach Bust rating","3 out of 5 stars","C+","8.7"
"40","Cooper Kupp",SEA,"at JAC","Coach Upside rating","Coach Bust rating","2 out of 5 stars","C","8.6"
"41","Tre Tucker",LV,"vs. TEN","Coach Upside rating","Coach Bust rating","3 out of 5 stars","C","8.6"
"42","Troy Franklin",DEN,"at NYJ","Coach Upside rating","Coach Bust rating","3 out of 5 stars","C","8.2"
"43","Jerry Jeudy",CLE,"at PIT","Coach Upside rating","Coach Bust rating","3 out of 5 stars","C","7.7"
"44","Marquise Brown",KC,"vs. DET","Coach Upside rating","Coach Bust rating","4 out of 5 stars","C","7.5"
"45","Josh Downs",IND,"vs. ARI","Coach Upside rating","Coach Bust rating","2 out of 5 stars","C","7.5"
"46","Travis Hunter",JAC,"vs. SEA","Coach Upside rating","Coach Bust rating","4 out of 5 stars","C","7.3"
"47","Elic Ayomanor",TEN,"at LV","Coach Upside rating","Coach Bust rating","3 out of 5 stars","C","7.3"
"48","Dontayvion Wicks",GB,"vs. CIN","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","C-","7.2"
"49","Isaiah Bond",CLE,"at PIT","Coach Upside rating","Coach Bust rating","3 out of 5 stars","C-","7.2"
"50","Ryan Flournoy",DAL,"at CAR","Coach Upside rating","Coach Bust rating","3 out of 5 stars","C-","7.0"
"51","Marvin Mims Jr.",DEN,"at NYJ","Coach Upside rating","Coach Bust rating","3 out of 5 stars","C-","6.7"
"52","Malik Washington",MIA,"vs. LAC","Coach Upside rating","Coach Bust rating","2 out of 5 stars","D+","6.6"
"53","Tyquan Thornton",KC,"vs. DET","Coach Upside rating","Coach Bust rating","4 out of 5 stars","D+","6.6"
"54","Sterling Shepard",TB,"vs. SF","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","D+","6.5"
"55","Tory Horton",SEA,"at JAC","Coach Upside rating","Coach Bust rating","2 out of 5 stars","D","6.5"
"56","Kayshon Boutte",NE,"at NO","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","D","6.4"
"57","Jalen Tolbert",DAL,"at CAR","Coach Upside rating","Coach Bust rating","3 out of 5 stars","D","6.4"
"58","Xavier Legette",CAR,"vs. DAL","Coach Upside rating","Coach Bust rating","4 out of 5 stars","D","6.3"
"59","Demarcus Robinson",SF,"at TB","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","D","6.2"
"60","Dyami Brown",JAC,"vs. SEA","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","D","5.7"
"61","JuJu Smith-Schuster",KC,"vs. DET","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","D-","5.6"
