"RK","PLAYER NAME",TEAM,"OPP","UPSIDE ","BUST ","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Christian McCaffrey",SF,"vs. TEN","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","A+","23.0"
"2","Jahmyr Gibbs",DET,"at LAR","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A+","19.2"
"3","Bijan Robinson",ATL,"at TB","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A","18.8"
"4","Derrick Henry",BAL,"at CIN","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A","17.6"
"5","De'Von Achane",MIA,"at PIT","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","16.3"
"6","James Cook III",BUF,"at NE","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","A","15.6"
"7","Saquon Barkley",PHI,"vs. LV","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A","14.8"
"8","Jonathan Taylor",IND,"at SEA","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A","14.7"
"9","Travis Etienne Jr.",JAC,"vs. NYJ","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A-","14.1"
"10","Bucky Irving",TB,"vs. ATL","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A-","13.6"
"11","Josh Jacobs",GB,"at DEN","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A-","13.5"
"12","Javonte Williams",DAL,"vs. MIN","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","A-","13.2"
"13","Chase Brown",CIN,"vs. BAL","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B+","12.9"
"14","Woody Marks",HOU,"vs. ARI","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B+","12.9"
"15","Kyren Williams",LAR,"vs. DET","Coach Upside rating","Coach Bust rating","2 out of 5 stars","B+","12.7"
"16","Quinshon Judkins",CLE,"at CHI","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B","12.5"
"17","Ashton Jeanty",LV,"at PHI","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B","12.5"
"18","RJ Harvey",DEN,"vs. GB","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B","12.1"
"19","Breece Hall",NYJ,"at JAC","Coach Upside rating","Coach Bust rating","2 out of 5 stars","B","11.9"
"20","TreVeyon Henderson",NE,"vs. BUF","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B","11.8"
"21","Kenneth Walker III",SEA,"vs. IND","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B","11.8"
"22","Jaylen Warren",PIT,"vs. MIA","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B-","11.6"
"23","Rico Dowdle",CAR,"at NO","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B-","11.4"
"24","Tyrone Tracy Jr.",NYG,"vs. WAS","Coach Upside rating","Coach Bust rating","4 out of 5 stars","C+","11.1"
"25","D'Andre Swift",CHI,"vs. CLE","Coach Upside rating","Coach Bust rating","2 out of 5 stars","C+","11.1"
"26","Aaron Jones Sr.",MIN,"at DAL","Coach Upside rating","Coach Bust rating","4 out of 5 stars","C+","10.8"
""
"27","Devin Neal",NO,"vs. CAR","Coach Upside rating","Coach Bust rating","4 out of 5 stars","C+","10.2"
"28","Omarion Hampton",LAC,"at KC","Coach Upside rating","Coach Bust rating","2 out of 5 stars","C","10.0"
"29","Chuba Hubbard",CAR,"at NO","Coach Upside rating","Coach Bust rating","4 out of 5 stars","C","9.9"
"30","Chris Rodriguez Jr.",WAS,"at NYG","Coach Upside rating","Coach Bust rating","4 out of 5 stars","C","9.7"
"31","Kyle Monangai",CHI,"vs. CLE","Coach Upside rating","Coach Bust rating","2 out of 5 stars","C","9.4"
"32","Tony Pollard",TEN,"at SF","Coach Upside rating","Coach Bust rating","3 out of 5 stars","C","9.3"
"33","Devin Singletary",NYG,"vs. WAS","Coach Upside rating","Coach Bust rating","4 out of 5 stars","C","9.1"
"34","Kareem Hunt",KC,"vs. LAC","Coach Upside rating","Coach Bust rating","3 out of 5 stars","C","8.9"
"35","Rhamondre Stevenson",NE,"vs. BUF","Coach Upside rating","Coach Bust rating","4 out of 5 stars","C","8.7"
"36","Kenneth Gainwell",PIT,"vs. MIA","Coach Upside rating","Coach Bust rating","3 out of 5 stars","C","8.7"
"37","Zonovan Knight",ARI,"at HOU","Coach Upside rating","Coach Bust rating","3 out of 5 stars","C-","8.6"
"38","Blake Corum",LAR,"vs. DET","Coach Upside rating","Coach Bust rating","2 out of 5 stars","C-","8.4"
"39","Zach Charbonnet",SEA,"vs. IND","Coach Upside rating","Coach Bust rating","3 out of 5 stars","C-","7.8"
"40","David Montgomery",DET,"at LAR","Coach Upside rating","Coach Bust rating","2 out of 5 stars","C-","7.7"
"41","Tyler Allgeier",ATL,"at TB","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","D+","7.6"
"42","Jordan Mason",MIN,"at DAL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","D+","7.2"
"43","Tyjae Spears",TEN,"at SF","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","D+","6.5"
"44","Kimani Vidal",LAC,"at KC","Coach Upside rating","Coach Bust rating","2 out of 5 stars","D+","6.2"
"45","Isiah Pacheco",KC,"vs. LAC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","D","5.9"
"46","Rachaad White",TB,"vs. ATL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","D","5.9"
"47","Bhayshul Tuten",JAC,"vs. NYJ","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","D-","5.9"
"48","Samaje Perine",CIN,"vs. BAL","Coach Upside rating","Coach Bust rating","4 out of 5 stars","D-","5.5"
"49","Michael Carter",ARI,"at HOU","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","D-","5.3"
"50","Brian Robinson Jr.",SF,"vs. TEN","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","F","5.3"
"51","Jaylen Wright",MIA,"at PIT","Coach Upside rating","Coach Bust rating","3 out of 5 stars","F","5.0"
"52","Ty Johnson",BUF,"at NE","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","5.0"
"53","Jacory Croskey-Merritt",WAS,"at NYG","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","F","4.6"
"54","Emanuel Wilson",GB,"at DEN","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","4.6"
