Rk,Player,Cmp,Att,Tgt,TD,Fmb,Off%,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Fmb,FR,Yds,FRTD,FF,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
1,Marcedes Lewis,0,0,0,0,0,39.2,Sun,16,17,2023-12-31,39-226,CHI,,ATL,W 37-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,29,39.2,0,0.0,8,25.0,TE,LewiMa00
2,Joe Flacco,19,2,0,0,2,100.0,Thu,16,17,2023-12-28,38-346,CLE,,NYJ,W 37-20,19,29,10,65.5,309,3,1,1,10.3,3.4,121.2,1,8,3.33,10.7,11.17,10.53,16.3,46.7,2,3,1.5,0,1,50.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,2,1,-2,0,0,60,100.0,0,0.0,0,0.0,QB,FlacJo00
3,Matthew Slater,0,0,0,0,0,0.0,Sun,16,17,2023-12-31,38-113,NWE,@,BUF,L 21-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,25,86.2,WR,SlatMa00
4,Jimmy Graham,0,0,0,0,0,7.1,Sun,16,17,2023-12-31,37-037,NOR,@,TAM,W 23-13,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,5,7.1,0,0.0,0,0.0,TE,GrahJi00
5,Matthew Stafford,24,1,0,0,0,100.0,Sun,16,17,2023-12-31,35-327,LAR,@,NYG,W 26-25,24,34,10,70.6,317,1,2,0,2.9,5.9,85.0,4,31,10.53,9.3,7.26,5.68,13.2,57.9,1,-1,-1.0,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,62,100.0,0,0.0,0,0.0,QB,StafMa00
6,Ryan Tannehill,16,0,0,0,0,76.4,Sun,16,17,2023-12-31,35-157,TEN,@,HOU,L 3-26,16,20,4,80.0,168,0,0,0,0.0,0.0,101.7,5,40,20.00,8.4,8.40,5.12,10.5,40.0,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,42,76.4,0,0.0,0,0.0,QB,TannRy00
7,Julio Jones,0,0,2,2,0,40.8,Sun,16,17,2023-12-31,34-331,PHI,,ARI,L 31-35,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,2,2,34,17.0,2,100.0,17.0,2,100.0,2,0,0,,0,0,,0,0,12,0,0,0,0,0,20,40.8,0,0.0,0,0.0,WR,JoneJu02
8,Tyrod Taylor,27,6,0,0,1,100.0,Sun,16,17,2023-12-31,34-150,NYG,,LAR,L 25-26,27,41,14,65.9,319,1,1,0,2.4,2.4,87.3,6,35,12.77,7.8,7.17,5.51,11.8,40.4,6,40,6.7,0,2,33.3,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,1,1,-1,0,0,74,100.0,0,0.0,0,0.0,QB,TaylTy00
9,Travis Kelce,0,0,4,0,0,81.5,Sun,16,17,2023-12-31,34-087,KAN,,CIN,W 25-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,4,3,16,5.3,0,75.0,4.0,1,50.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,44,81.5,0,0.0,0,0.0,TE,KelcTr00
10,Latavius Murray,0,1,1,0,0,27.5,Sun,16,17,2023-12-31,33-347,BUF,,NWE,W 27-21,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0.0,0,0,0.0,1,0,0,,0,0.0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,19,27.5,0,0.0,0,0.0,RB,MurrLa00
