Rk,Player,Cmp,Att,Tgt,TD,Fmb,Off%,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Fmb,FR,Yds,FRTD,FF,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
1,Marcedes Lewis,0,0,0,0,0,24.2,Sun,6,6,2023-10-15,39-149,CHI,,MIN,L 13-19,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,16,24.2,0,0.0,0,0.0,TE,LewiMa00
2,Matthew Slater,0,0,0,0,0,0.0,Sun,6,6,2023-10-15,38-036,NWE,@,LVR,L 17-21,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,22,88.0,WR,SlatMa00
3,Brian Hoyer,6,3,0,0,0,38.6,Sun,6,6,2023-10-15,38-002,LVR,,NWE,W 21-17,6,10,4,60.0,102,0,0,0,0.0,0.0,94.6,0,0,0.00,10.2,10.20,10.20,17.0,50.0,3,-3,-1.0,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,27,38.6,0,0.0,0,0.0,QB,HoyeBr00
4,Jimmy Graham,0,0,0,0,0,17.1,Sun,6,6,2023-10-15,36-325,NOR,@,HOU,L 13-20,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,14,17.1,0,0.0,0,0.0,TE,GrahJi00
5,Matthew Stafford,15,1,0,0,0,100.0,Sun,6,6,2023-10-15,35-250,LAR,,ARI,W 26-9,15,24,9,62.5,226,1,0,0,4.2,0.0,107.3,3,23,11.11,9.4,10.25,8.26,15.1,48.1,1,2,2.0,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,57,100.0,0,0.0,0,0.0,QB,StafMa00
6,Ryan Tannehill,8,0,0,0,0,67.3,Sun,6,6,2023-10-15,35-080,TEN,,BAL,L 16-24,8,16,8,50.0,76,0,1,0,0.0,6.3,37.5,2,16,11.11,4.8,1.94,0.83,9.5,38.9,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,37,67.3,0,0.0,0,0.0,QB,TannRy00
7,Kirk Cousins,21,2,0,0,2,100.0,Sun,6,6,2023-10-15,35-057,MIN,@,CHI,W 19-13,21,31,10,67.7,181,1,0,0,3.2,0.0,93.6,2,7,6.06,5.8,6.48,5.88,8.6,36.4,2,-5,-2.5,0,1,50.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,2,0,0,0,0,57,100.0,0,0.0,0,0.0,QB,CousKi00
8,Russell Wilson,13,4,0,0,0,100.0,Thu,6,6,2023-10-12,34-317,DEN,@,KAN,L 8-19,13,22,9,59.1,95,1,2,0,4.5,9.1,46.6,4,13,15.38,4.3,1.14,0.46,7.3,23.1,4,31,7.8,0,3,100.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,52,100.0,0,0.0,0,0.0,QB,WilsRu00
9,Tyrod Taylor,24,5,0,0,1,100.0,Sun,6,6,2023-10-15,34-073,NYG,@,BUF,L 9-14,24,36,12,66.7,200,0,0,0,0.0,0.0,80.8,3,15,7.69,5.6,5.56,4.74,8.3,51.3,5,24,4.8,0,1,60.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,1,1,0,0,0,77,100.0,0,0.0,0,0.0,QB,TaylTy00
10,Travis Kelce,0,0,9,0,0,69.0,Thu,6,6,2023-10-12,34-007,KAN,,DEN,W 19-8,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,9,9,124,13.8,0,100.0,13.8,5,88.9,0,0,0,,0,0,,0,0,0,0,0,0,0,0,49,69.0,0,0.0,0,0.0,TE,KelcTr00
