rk,player,st_percent_3,day,g_number,week,date,age,team,x10,opp,result,off_snp,off_percent,def_snp,def_percent,st_snp,st_percent_18,pos,x9999
11,Matthew Slater,100,Sun,12,13,2023-12-03,38-085,NWE,NA,LAC,L 0-6,0,0,0,0,21,100,WR,SlatMa00
24,Ryan Tannehill,5.4,Sun,12,13,2023-12-03,35-129,TEN,NA,IND,L 28-31 (OT),0,0,0,0,2,5.4,QB,TannRy00
48,Taysom Hill,50,Sun,12,13,2023-12-03,33-102,NOR,NA,DET,L 28-33,28,41.8,0,0,15,50,TE/QB,HillTa00
70,Cordarrelle Patterson,10.7,Sun,12,13,2023-12-03,32-261,ATL,@,NYJ,W 13-8,21,30.9,0,0,3,10.7,RB,PattCo00
79,Kyle Juszczyk,19.2,Sun,12,13,2023-12-03,32-224,SFO,@,PHI,W 42-19,22,37.3,0,0,5,19.2,FB,JuszKy00
93,Blake Bell,45.5,Sun,12,13,2023-12-03,32-118,KAN,@,GNB,L 19-27,9,13.4,0,0,10,45.5,TE,BellBl00
110,Michael Burton,68.8,Sun,12,13,2023-12-03,31-305,DEN,@,HOU,L 17-22,8,13.3,0,0,22,68.8,FB,BurtMi00
126,MyCole Pruitt,21.4,Sun,12,13,2023-12-03,31-254,ATL,@,NYJ,W 13-8,20,29.4,0,0,6,21.4,TE,PruiMy00
139,Keith Smith,82.1,Sun,12,13,2023-12-03,31-239,ATL,@,NYJ,W 13-8,15,22.1,0,0,23,82.1,FB,SmitKe03
140,Chris Manhertz,18.8,Sun,12,13,2023-12-03,31-237,DEN,@,HOU,L 17-22,25,41.7,0,0,6,18.8,TE,ManhCh00
141,Robert Woods,6.3,Sun,12,13,2023-12-03,31-237,HOU,NA,DEN,W 22-17,32,47.1,0,0,2,6.3,WR,WoodRo02
148,Jordan Akins,30.3,Sun,12,13,2023-12-03,31-228,CLE,@,LAR,L 19-36,12,16.9,0,0,10,30.3,TE,AkinJo00
224,Chris Conley,11.5,Sun,12,13,2023-12-03,31-039,SFO,@,PHI,W 42-19,9,15.3,0,0,3,11.5,WR,ConlCh00
242,Ty Montgomery,38.1,Sun,12,13,2023-12-03,30-315,NWE,NA,LAC,L 0-6,3,4.7,0,0,8,38.1,RB,MontTy01
247,Stephen Anderson,71.4,Sun,12,13,2023-12-03,30-307,LAC,@,NWE,W 6-0,2,3.3,0,0,15,71.4,TE,AndeSt01
307,Cooper Kupp,3,Sun,12,13,2023-12-03,30-171,LAR,NA,CLE,W 36-19,63,98.4,0,0,1,3,WR,KuppCo00
308,Chris Moore,18.9,Sun,12,13,2023-12-03,30-170,TEN,NA,IND,L 28-31 (OT),59,69.4,0,0,7,18.9,WR,MoorCh00
309,Jamison Crowder,10.7,Sun,13,13,2023-12-03,30-169,WAS,NA,MIA,L 15-45,5,9.1,0,0,3,10.7,WR,CrowJa00
379,Geoff Swaim,50,Sun,13,13,2023-12-03,30-078,ARI,@,PIT,W 24-10,34,50,0,0,12,50,TE,SwaiGe00
381,Mo Alie-Cox,13.5,Sun,12,13,2023-12-03,30-075,IND,@,TEN,W 31-28 (OT),24,33.8,0,0,5,13.5,TE,AlieMo00
390,George Kittle,3.8,Sun,12,13,2023-12-03,30-055,SFO,@,PHI,W 42-19,55,93.2,0,0,1,3.8,TE,KittGe00
419,Byron Pringle,50,Sun,13,13,2023-12-03,30-016,WAS,NA,MIA,L 15-45,16,29.1,0,0,14,50,WR,PrinBy00
476,Dwayne Washington,78.1,Sun,12,13,2023-12-03,29-223,DEN,@,HOU,L 17-22,0,0,0,0,25,78.1,RB,WashDw00
481,Eric Saubert,43.8,Sun,12,13,2023-12-03,29-216,HOU,NA,DEN,W 22-17,19,27.9,0,0,14,43.8,TE,SaubEr00
483,Pharaoh Brown,47.6,Sun,12,13,2023-12-03,29-213,NWE,NA,LAC,L 0-6,32,50,0,0,10,47.6,TE,BrowPh01
484,Dare Ogunbowale,68.8,Sun,12,13,2023-12-03,29-213,HOU,NA,DEN,W 22-17,11,16.2,0,0,22,68.8,RB,OgunDa00
562,Kalif Raymond,13.3,Sun,12,13,2023-12-03,29-117,DET,@,NOR,W 33-28,13,22.4,0,0,4,13.3,WR,RaymKa00
574,Godwin Igwebuike,50,Sun,12,13,2023-12-03,29-084,PIT,NA,ARI,L 10-24,0,0,0,0,12,50,RB,IgweGo00
579,Demarcus Robinson,27.3,Sun,12,13,2023-12-03,29-073,LAR,NA,CLE,W 36-19,38,59.4,0,0,9,27.3,WR,RobiDe01
644,Keith Kirkwood,3.3,Sun,12,13,2023-12-03,28-342,NOR,NA,DET,L 28-33,17,25.4,0,0,1,3.3,WR,KirkKe00
652,KhaDarel Hodge,78.6,Sun,12,13,2023-12-03,28-334,ATL,@,NYJ,W 13-8,21,30.9,0,0,22,78.6,WR,HodgKh00
662,David Moore,10.3,Sun,12,13,2023-12-03,28-322,TAM,NA,CAR,W 21-18,8,12.9,0,0,3,10.3,WR,MoorDa03
675,Ross Dwelley,73.1,Sun,12,13,2023-12-03,28-311,SFO,@,PHI,W 42-19,1,1.7,0,0,19,73.1,TE,DwelRo00
748,Isaiah McKenzie,37.8,Sun,12,13,2023-12-03,28-238,IND,@,TEN,W 31-28 (OT),6,8.5,0,0,14,37.8,WR,McKeIs00
758,Kevin Rader,54.1,Sun,12,13,2023-12-03,28-221,TEN,NA,IND,L 28-31 (OT),9,10.6,0,0,20,54.1,TE,RadeKe00
759,Boston Scott,53.8,Sun,12,13,2023-12-03,28-220,PHI,NA,SFO,L 19-42,6,8.3,0,0,14,53.8,RB,ScotBo02
778,Parker Hesse,42.9,Sun,12,13,2023-12-03,28-191,ATL,@,NYJ,W 13-8,18,26.5,0,0,12,42.9,TE,HessPa00
811,Tyler Conklin,10.7,Sun,12,13,2023-12-03,28-126,NYJ,NA,ATL,L 8-13,50,73.5,0,0,3,10.7,TE,ConkTy00
817,Durham Smythe,25,Sun,12,13,2023-12-03,28-116,MIA,@,WAS,W 45-15,41,67.2,0,0,7,25,TE,SmytDu00
833,Richie James,36.4,Sun,12,13,2023-12-03,28-089,KAN,@,GNB,L 19-27,4,6,0,0,8,36.4,WR,JameRi00
837,Trevon Wesco,35.1,Sun,12,13,2023-12-03,28-082,TEN,NA,IND,L 28-31 (OT),46,54.1,0,0,13,35.1,TE,WescTr00
840,Samaje Perine,18.8,Sun,12,13,2023-12-03,28-078,DEN,@,HOU,L 17-22,12,20,0,0,6,18.8,RB,PeriSa00
857,Braxton Berrios,28.6,Sun,12,13,2023-12-03,28-058,MIA,@,WAS,W 45-15,25,41,0,0,8,28.6,WR,BerrBr00
892,Jeff Wilson,10.7,Sun,12,13,2023-12-03,28-017,MIA,@,WAS,W 45-15,5,8.2,0,0,3,10.7,RB,WilsJe01
895,Cedrick Wilson Jr.,10.7,Sun,12,13,2023-12-03,28-013,MIA,@,WAS,W 45-15,33,54.1,0,0,3,10.7,WR,WilsCe01
933,Cody Thompson,53.6,Thu,12,13,2023-11-30,27-323,SEA,@,DAL,L 35-41,0,0,0,0,15,53.6,WR,ThomCo04
934,Deebo Samuel,19.2,Sun,12,13,2023-12-03,27-322,SFO,@,PHI,W 42-19,49,83.1,0,0,5,19.2,WR,SamuDe00
963,Royce Freeman,51.5,Sun,12,13,2023-12-03,27-282,LAR,NA,CLE,W 36-19,4,6.3,0,0,17,51.5,RB,FreeRo00
996,Justin Watson,50,Sun,12,13,2023-12-03,27-243,KAN,@,GNB,L 19-27,40,59.7,0,0,11,50,WR,WatsJu01
1004,Chase Edmonds,41.4,Sun,12,13,2023-12-03,27-234,TAM,NA,CAR,W 21-18,9,14.5,0,0,12,41.4,RB,EdmoCh00
1006,Drew Sample,43.8,Mon,12,13,2023-12-04,27-232,CIN,@,JAX,W 34-31 (OT),42,57.5,0,0,14,43.8,TE,SampDr00
1038,Andrew Beck,40.6,Sun,12,13,2023-12-03,27-202,HOU,NA,DEN,W 22-17,27,39.7,0,0,13,40.6,FB,BeckAn01
1064,Ian Thomas,41.4,Sun,12,13,2023-12-03,27-180,CAR,@,TAM,L 18-21,48,66.7,0,0,12,41.4,TE,ThomIa00
1067,Christian McCaffrey,3.8,Sun,12,13,2023-12-03,27-179,SFO,@,PHI,W 42-19,52,88.1,0,0,1,3.8,RB,McCaCh01
1079,Craig Reynolds,56.7,Sun,12,13,2023-12-03,27-171,DET,@,NOR,W 33-28,2,3.4,0,0,17,56.7,RB,ReynCr00
1087,Nick Bawden,75,Sun,12,13,2023-12-03,27-164,NYJ,NA,ATL,L 8-13,9,13.2,0,0,21,75,FB,BawdNi00
1107,Alec Ingold,21.4,Sun,12,13,2023-12-03,27-147,MIA,@,WAS,W 45-15,20,32.8,0,0,6,21.4,FB,IngoAl01
1110,Will Dissly,53.6,Thu,12,13,2023-11-30,27-145,SEA,@,DAL,L 35-41,25,36.2,0,0,15,53.6,TE,DissWi00
1137,KaVontae Turpin,21.4,Thu,12,13,2023-11-30,27-120,DAL,NA,SEA,W 41-35,13,14.6,0,0,6,21.4,WR,TurpKa00
1184,Juwan Johnson,20,Sun,12,13,2023-12-03,27-081,NOR,NA,DET,L 28-33,38,56.7,0,0,6,20,TE,JohnJu02
1190,James Proche,33.3,Sun,12,13,2023-12-03,27-073,CLE,@,LAR,L 19-36,0,0,0,0,11,33.3,WR,ProcJa00
1213,Miles Boykin,66.7,Sun,12,13,2023-12-03,27-052,PIT,NA,ARI,L 10-24,12,19.7,0,0,16,66.7,WR,BoykMi00
1242,Mitchell Wilcox,75,Mon,12,13,2023-12-04,27-027,CIN,@,JAX,W 34-31 (OT),12,16.4,0,0,24,75,TE,WilcMi01
1254,D.J. Montgomery,37.8,Sun,12,13,2023-12-03,27-016,IND,@,TEN,W 31-28 (OT),3,4.2,0,0,14,37.8,WR,MontDJ01
