Rk,Player,Cmp,Att,Tgt,TD,Fmb,Off%,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Fmb,FR,Yds,FRTD,FF,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
1,Marcedes Lewis,0,0,0,0,0,33.3,Sun,17,18,2024-01-07,39-233,CHI,@,GNB,L 9-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,16,33.3,0,0.0,3,16.7,TE,LewiMa00
2,Matthew Slater,0,0,0,0,0,0.0,Sun,17,18,2024-01-07,38-120,NWE,,NYJ,L 3-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,27,96.4,WR,SlatMa00
3,Jimmy Graham,0,0,0,0,0,10.4,Sun,17,18,2024-01-07,37-044,NOR,,ATL,W 48-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,7,10.4,0,0.0,0,0.0,TE,GrahJi00
4,Ryan Tannehill,17,3,1,0,0,100.0,Sun,17,18,2024-01-07,35-164,TEN,,JAX,W 28-20,17,26,9,65.4,168,2,1,0,7.7,3.8,93.1,2,16,7.14,6.5,6.27,5.25,9.9,50.0,3,-3,-1.0,0,0,0.0,1,0,0,,0,0.0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,55,100.0,0,0.0,0,0.0,QB,TannRy00
5,Julio Jones,0,0,4,0,0,26.2,Sun,17,18,2024-01-07,34-338,PHI,@,NYG,L 10-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,4,2,13,6.5,0,50.0,3.3,0,25.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,17,26.2,0,0.0,0,0.0,WR,JoneJu02
6,Tyrod Taylor,23,8,0,0,1,94.0,Sun,17,18,2024-01-07,34-157,NYG,,PHI,W 27-10,23,32,9,71.9,297,1,1,0,3.1,3.1,98.0,1,5,3.03,9.3,8.50,8.09,12.9,57.6,8,38,4.8,0,2,50.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,1,0,-5,0,0,63,94.0,0,0.0,0,0.0,QB,TaylTy00
7,Blaine Gabbert,15,5,0,0,0,100.0,Sun,17,18,2024-01-07,34-084,KAN,@,LAC,W 13-12,15,30,15,50.0,154,0,1,0,0.0,3.3,51.2,1,9,3.23,5.1,3.63,3.23,10.3,25.8,5,46,9.2,0,2,60.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,58,100.0,0,0.0,0,0.0,QB,GabbBl00
8,Brandon Bolden,0,0,0,0,0,0.0,Sun,17,18,2024-01-07,33-346,LVR,,DEN,W 27-14,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,20,80.0,RB,BoldBr00
9,Randall Cobb,0,0,1,0,0,10.8,Sun,17,18,2024-01-07,33-138,NYJ,@,NWE,W 17-3,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,1,1,4,4.0,0,100.0,4.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,7,10.8,0,0.0,0,0.0,WR,CobbRa00
10,Adam Thielen,0,0,3,0,0,92.3,Sun,17,18,2024-01-07,33-138,CAR,,TAM,L 0-9,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,3,2,12,6.0,0,66.7,4.0,1,33.3,0,0,0,,0,0,,0,0,0,0,0,0,0,0,48,92.3,0,0.0,0,0.0,WR,ThieAd00
