rk,player,st_percent_3,day,g_number,week,date,age,team,x10,opp,result,off_snp,off_percent,def_snp,def_percent,st_snp,st_percent_18,pos,x9999
14,Matthew Slater,89.3,Sun,9,9,2023-11-05,38-057,NWE,NA,WAS,L 17-20,0,0,0,0,25,89.3,WR,SlatMa00
35,Brandon Bolden,75,Sun,9,9,2023-11-05,33-283,LVR,NA,NYG,W 30-6,0,0,0,0,18,75,RB,BoldBr00
52,Taysom Hill,25,Sun,9,9,2023-11-05,33-074,NOR,NA,CHI,W 24-17,29,46,0,0,6,25,TE/QB,HillTa00
76,Cordarrelle Patterson,18.2,Sun,9,9,2023-11-05,32-233,ATL,NA,MIN,L 28-31,9,13,0,0,6,18.2,RB,PattCo00
96,Blake Bell,12,Sun,9,9,2023-11-05,32-090,KAN,NA,MIA,W 21-14,16,26.7,0,0,3,12,TE,BellBl00
151,MyCole Pruitt,36.4,Sun,9,9,2023-11-05,31-226,ATL,NA,MIN,L 28-31,29,42,0,0,12,36.4,TE,PruiMy00
169,Jordan Akins,25,Sun,8,9,2023-11-05,31-200,CLE,NA,ARI,W 27-0,19,26,0,0,7,25,TE,AkinJo00
179,Jerick McKinnon,64,Sun,9,9,2023-11-05,31-186,KAN,NA,MIA,W 21-14,15,25,0,0,16,64,RB,McKiJe00
227,Tyler Kroft,8,Sun,9,9,2023-11-05,31-021,MIA,@,KAN,L 14-21,0,0,0,0,2,8,TE,KrofTy00
251,C.J. Uzomah,46.7,Mon,8,9,2023-11-06,30-296,NYJ,NA,LAC,L 6-27,28,34.6,0,0,14,46.7,TE,UzomC.00
256,Ty Montgomery,75,Sun,9,9,2023-11-05,30-287,NWE,NA,WAS,L 17-20,0,0,0,0,21,75,RB,MontTy01
277,Nick Vannett,10,Mon,8,9,2023-11-06,30-245,LAC,@,NYJ,W 27-6,12,20.7,0,0,3,10,TE,VannNi00
285,DeAndre Carter,25,Sun,9,9,2023-11-05,30-209,LVR,NA,NYG,W 30-6,9,15,0,0,6,25,WR,CartDe02
327,Ameer Abdullah,75,Sun,9,9,2023-11-05,30-145,LVR,NA,NYG,W 30-6,8,13.3,0,0,18,75,RB,AbduAm00
329,Jamison Crowder,21.4,Sun,9,9,2023-11-05,30-141,WAS,@,NWE,W 20-17,37,47.4,0,0,6,21.4,WR,CrowJa00
332,Chris Moore,20.8,Thu,8,9,2023-11-02,30-139,TEN,@,PIT,L 16-20,31,41.9,0,0,5,20.8,WR,MoorCh00
355,C.J. Ham,54.5,Sun,9,9,2023-11-05,30-106,MIN,@,ATL,W 31-28,13,17.3,0,0,18,54.5,FB,HamxC.00
382,Hayden Hurst,10.7,Sun,8,9,2023-11-05,30-073,CAR,NA,IND,L 13-27,24,33.8,0,0,3,10.7,TE,HursHa00
396,Mack Hollins,18.2,Sun,9,9,2023-11-05,30-050,ATL,NA,MIN,L 28-31,14,20.3,0,0,6,18.2,WR,HollMa00
397,Geoff Swaim,50,Sun,9,9,2023-11-05,30-050,ARI,@,CLE,L 0-27,25,48.1,0,0,14,50,TE,SwaiGe00
399,Mo Alie-Cox,35.7,Sun,9,9,2023-11-05,30-047,IND,@,CAR,W 27-13,31,50.8,0,0,10,35.7,TE,AlieMo00
434,Byron Pringle,39.3,Sun,9,9,2023-11-05,29-353,WAS,@,NWE,W 20-17,18,23.1,0,0,11,39.3,WR,PrinBy00
503,Trent Taylor,25,Sun,9,9,2023-11-05,29-189,CHI,@,NOR,L 17-24,5,7.4,0,0,6,25,WR,TaylTr02
504,Robert Tonyan,45.8,Sun,9,9,2023-11-05,29-189,CHI,@,NOR,L 17-24,15,22.1,0,0,11,45.8,TE,TonyRo00
505,Eric Saubert,24.2,Sun,8,9,2023-11-05,29-188,HOU,NA,TAM,W 39-37,12,16.7,0,0,8,24.2,TE,SaubEr00
507,Pharaoh Brown,42.9,Sun,9,9,2023-11-05,29-185,NWE,NA,WAS,L 17-20,7,10.9,0,0,12,42.9,TE,BrowPh01
