rk,player,st_percent_3,day,g_number,week,date,age,team,x10,opp,result,off_snp,off_percent,def_snp,def_percent,st_snp,st_percent_18,pos,x9999
1934,Kylen Granson,35.5,Sun,6,6,2023-10-15,25-202,IND,@,JAX,L 20-37,45,57.7,0,0,11,35.5,TE,GranKy00
1969,Harrison Bryant,25.8,Sun,5,6,2023-10-15,25-175,CLE,NA,SFO,W 19-17,27,35.5,0,0,8,25.8,TE,BryaHa00
1994,Ty Chandler,61.5,Sun,6,6,2023-10-15,25-156,MIN,@,CHI,W 19-13,0,0,0,0,16,61.5,RB,ChanTy01
1998,Tim Jones,29,Sun,6,6,2023-10-15,25-152,JAX,NA,IND,W 37-20,13,20.3,0,0,9,29,WR,JoneTi00
2019,Greg Dortch,40.7,Sun,6,6,2023-10-15,25-139,ARI,@,LAR,L 9-26,16,21.1,0,0,11,40.7,WR,DortGr01
2045,Rico Dowdle,4,Mon,6,6,2023-10-16,25-124,DAL,@,LAC,W 20-17,10,15.6,0,0,1,4,RB,DowdRi01
2064,Antonio Gibson,16.7,Sun,6,6,2023-10-15,25-114,WAS,@,ATL,W 24-16,20,39.2,0,0,4,16.7,RB,GibsAn00
2085,Austin Trammell,25.9,Sun,6,6,2023-10-15,25-103,LAR,NA,ARI,W 26-9,4,7,0,0,7,25.9,WR,TramAu00
2094,Darrynton Evans,34.6,Sun,6,6,2023-10-15,25-098,CHI,NA,MIN,L 13-19,24,36.4,0,0,9,34.6,RB,EvanDa02
2127,Andrew Ogletree,48.4,Sun,6,6,2023-10-15,25-079,IND,@,JAX,L 20-37,28,35.9,0,0,15,48.4,TE,OgleAn00
2135,Jake Bobo,21.7,Sun,5,6,2023-10-15,25-072,SEA,@,CIN,L 13-17,23,31.1,0,0,5,21.7,WR,BoboJa00
2181,Brady Russell,73.9,Sun,5,6,2023-10-15,25-045,SEA,@,CIN,L 13-17,0,0,0,0,17,73.9,TE,RussBr00
2183,Rashid Shaheed,38.5,Sun,6,6,2023-10-15,25-045,NOR,@,HOU,L 13-20,62,75.6,0,0,10,38.5,WR,ShahRa00
2215,DeeJay Dallas,73.9,Sun,5,6,2023-10-15,25-029,SEA,@,CIN,L 13-17,4,5.4,0,0,17,73.9,RB,DallDe00
2229,Luke Schoonmaker,52,Mon,6,6,2023-10-16,25-018,DAL,@,LAC,W 20-17,17,26.6,0,0,13,52,TE,SchoLu00
2239,Stone Smartt,32,Mon,5,6,2023-10-16,25-012,LAC,NA,DAL,L 17-20,11,15.1,0,0,8,32,TE,SmarSt00
2242,Laviska Shenault Jr.,30,Sun,6,6,2023-10-15,25-010,CAR,@,MIA,L 21-42,11,15.9,0,0,9,30,WR,ShenLa00
2251,Elijah Cooks,3.2,Sun,6,6,2023-10-15,25-002,JAX,NA,IND,W 37-20,10,15.6,0,0,1,3.2,WR,CookEl00
2324,Malik Davis,60,Mon,6,6,2023-10-16,24-324,DAL,@,LAC,W 20-17,0,0,0,0,15,60,RB,DaviMa02
2327,Jaylen Waddle,3.3,Sun,6,6,2023-10-15,24-324,MIA,NA,CAR,W 42-21,46,68.7,0,0,1,3.3,WR,WaddJa00
