Rk,Player,Cmp,Att,Tgt,TD,Fmb,Off%,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Fmb,FR,Yds,FRTD,FF,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
1,Marcedes Lewis,0,0,0,0,0,34.2,Sun,14,15,2023-12-17,39-212,CHI,@,CLE,L 17-20,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,25,34.2,0,0.0,1,2.9,TE,LewiMa00
2,Joe Flacco,28,1,0,0,1,98.6,Sun,14,15,2023-12-17,38-335,CLE,,CHI,W 20-17,28,44,16,63.6,374,2,3,1,4.5,6.8,77.3,4,31,8.33,8.5,6.34,5.17,13.4,43.8,1,-1,-1.0,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,1,0,0,0,0,68,98.6,0,0.0,0,0.0,QB,FlacJo00
3,Matthew Slater,0,0,0,0,0,0.0,Sun,14,15,2023-12-17,38-099,NWE,,KAN,L 17-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,24,80.0,WR,SlatMa00
4,Jimmy Graham,0,0,2,1,0,16.1,Sun,14,15,2023-12-17,37-023,NOR,,NYG,W 24-6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,2,2,9,4.5,1,100.0,4.5,2,100.0,1,0,0,,0,0,,0,0,6,0,0,0,0,0,10,16.1,0,0.0,0,0.0,TE,GrahJi00
5,Matthew Stafford,25,1,0,0,0,100.0,Sun,14,15,2023-12-17,35-313,LAR,,WAS,W 28-20,25,33,8,75.8,258,2,0,0,6.1,0.0,118.0,3,9,8.33,7.8,9.03,8.03,10.3,50.0,1,2,2.0,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,75,100.0,0,0.0,0,0.0,QB,StafMa00
6,Case Keenum,23,2,0,0,1,98.7,Sun,14,15,2023-12-17,35-303,HOU,@,TEN,W 19-16 (OT),23,36,13,63.9,229,1,1,1,2.8,2.8,79.5,3,27,7.69,6.4,5.67,4.54,10.0,46.2,2,1,0.5,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,1,0,-8,0,0,76,98.7,0,0.0,0,0.0,QB,KeenCa00
7,Russell Wilson,18,7,0,1,1,93.8,Sat,14,15,2023-12-16,35-017,DEN,@,DET,L 17-42,18,32,14,56.3,223,1,0,0,3.1,0.0,88.4,2,19,5.88,7.0,7.59,6.59,12.4,47.1,7,6,0.9,1,3,42.9,0,0,0,,0,,,0,,1,0,0,,0,0,,0,0,6,1,0,0,0,0,60,93.8,0,0.0,0,0.0,QB,WilsRu00
8,Julio Jones,0,0,1,0,0,31.9,Mon,14,15,2023-12-18,34-318,PHI,@,SEA,L 17-20,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,1,1,6,6.0,0,100.0,6.0,1,100.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,22,31.9,0,0.0,0,0.0,WR,JoneJu02
9,Tyrod Taylor,2,0,0,0,0,6.5,Sun,14,15,2023-12-17,34-136,NYG,@,NOR,L 6-24,2,4,2,50.0,13,0,0,0,0.0,0.0,57.3,0,0,0.00,3.3,3.25,3.25,6.5,50.0,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,4,6.5,0,0.0,0,0.0,QB,TaylTy00
10,Travis Kelce,0,0,7,0,0,76.9,Sun,14,15,2023-12-17,34-073,KAN,@,NWE,W 27-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,7,5,28,5.6,0,71.4,4.0,1,42.9,0,0,0,,0,0,,0,0,0,0,0,0,0,0,50,76.9,0,0.0,0,0.0,TE,KelcTr00
