rk,player,st_percent_3,day,g_number,week,date,age,team,x10,opp,result,off_snp,off_percent,def_snp,def_percent,st_snp,st_percent_18,pos,x9999
1,Marcedes Lewis,16.7,Sun,17,18,2024-01-07,39-233,CHI,@,GNB,L 9-17,16,33.3,0,0,3,16.7,TE,LewiMa00
7,Matthew Slater,96.4,Sun,17,18,2024-01-07,38-120,NWE,NA,NYJ,L 3-17,0,0,0,0,27,96.4,WR,SlatMa00
27,Brandon Bolden,80,Sun,17,18,2024-01-07,33-346,LVR,NA,DEN,W 27-14,0,0,0,0,20,80,RB,BoldBr00
44,Taysom Hill,37.5,Sun,17,18,2024-01-07,33-137,NOR,NA,ATL,W 48-17,28,41.8,0,0,12,37.5,TE/QB,HillTa00
65,Cordarrelle Patterson,28.1,Sun,17,18,2024-01-07,32-296,ATL,@,NOR,L 17-48,8,13.1,0,0,9,28.1,RB,PattCo00
86,Blake Bell,33.3,Sun,17,18,2024-01-07,32-153,KAN,@,LAC,W 13-12,41,70.7,0,0,9,33.3,TE,BellBl00
105,Michael Burton,68,Sun,17,18,2024-01-07,31-340,DEN,@,LVR,L 14-27,10,16.4,0,0,17,68,FB,BurtMi00
113,MyCole Pruitt,18.8,Sun,17,18,2024-01-07,31-289,ATL,@,NOR,L 17-48,14,23,0,0,6,18.8,TE,PruiMy00
121,Jordan Akins,31,Sun,17,18,2024-01-07,31-263,CLE,@,CIN,L 14-31,34,64.2,0,0,9,31,TE,AkinJo00
213,Chris Conley,52.6,Sun,17,18,2024-01-07,31-074,SFO,NA,LAR,L 20-21,43,70.5,0,0,10,52.6,WR,ConlCh00
217,Alex Erickson,11.1,Sun,17,18,2024-01-07,31-062,LAC,NA,KAN,L 12-13,57,68.7,0,0,3,11.1,WR,EricAl01
248,Nick Vannett,37,Sun,17,18,2024-01-07,30-307,LAC,NA,KAN,L 12-13,26,31.3,0,0,10,37,TE,VannNi00
262,DeAndre Carter,56,Sun,17,18,2024-01-07,30-272,LVR,NA,DEN,W 27-14,4,6.1,0,0,14,56,WR,CartDe02
286,Ameer Abdullah,52,Sun,17,18,2024-01-07,30-208,LVR,NA,DEN,W 27-14,18,27.3,0,0,13,52,RB,AbduAm00
287,Chris Moore,18.2,Sun,17,18,2024-01-07,30-205,TEN,NA,JAX,W 28-20,35,63.6,0,0,4,18.2,WR,MoorCh00
310,C.J. Ham,60.7,Sun,17,18,2024-01-07,30-169,MIN,@,DET,L 20-30,20,27.4,0,0,17,60.7,FB,HamxC.00
334,Allen Robinson,3.7,Sat,17,18,2024-01-06,30-135,PIT,@,BAL,W 17-10,42,67.7,0,0,1,3.7,WR,RobiAl02
349,Mack Hollins,65.6,Sun,17,18,2024-01-07,30-113,ATL,@,NOR,L 17-48,13,21.3,0,0,21,65.6,WR,HollMa00
352,Mo Alie-Cox,26.7,Sat,17,18,2024-01-06,30-109,IND,NA,HOU,L 19-23,35,53,0,0,8,26.7,TE,AlieMo00
394,Byron Pringle,54.5,Sun,17,18,2024-01-07,30-051,WAS,NA,DAL,L 10-38,9,18.4,0,0,12,54.5,WR,PrinBy00
447,Robert Tonyan,33.3,Sun,17,18,2024-01-07,29-252,CHI,@,GNB,L 9-17,16,33.3,0,0,6,33.3,TE,TonyRo00
448,Eric Saubert,73.3,Sat,17,18,2024-01-06,29-250,HOU,@,IND,W 23-19,13,23.2,0,0,22,73.3,TE,SaubEr00
449,Pharaoh Brown,35.7,Sun,17,18,2024-01-07,29-248,NWE,NA,NYJ,L 3-17,33,57.9,0,0,10,35.7,TE,BrowPh01
450,Dare Ogunbowale,70,Sat,17,18,2024-01-06,29-247,HOU,@,IND,W 23-19,7,12.5,0,0,21,70,RB,OgunDa00
461,Alex Armah,63.6,Sun,17,18,2024-01-07,29-235,WAS,NA,DAL,L 10-38,8,16.3,0,0,14,63.6,RB,ArmaAl00
472,Patrick Ricard,14.8,Sat,17,18,2024-01-06,29-224,BAL,NA,PIT,L 10-17,12,21.1,0,0,4,14.8,FB,RicaPa00
539,Kalif Raymond,14.3,Sun,17,18,2024-01-07,29-152,DET,NA,MIN,W 30-20,12,21.1,0,0,4,14.3,WR,RaymKa00
561,Godwin Igwebuike,51.9,Sat,17,18,2024-01-06,29-118,PIT,@,BAL,W 17-10,0,0,0,0,14,51.9,RB,IgweGo00
584,Tanner Hudson,3.4,Sun,17,18,2024-01-07,29-056,CIN,NA,CLE,W 31-14,30,46.9,0,0,1,3.4,TE,HudsTa00
589,Johnny Mundt,35.7,Sun,17,18,2024-01-07,29-045,MIN,@,DET,L 20-30,55,75.3,0,0,10,35.7,TE,MundJo00
603,Derrick Gore,54.5,Sun,17,18,2024-01-07,29-025,WAS,NA,DAL,L 10-38,1,2,0,0,12,54.5,RB,GoreDe00
606,Jakob Johnson,48,Sun,17,18,2024-01-07,29-023,LVR,NA,DEN,W 27-14,14,21.2,0,0,12,48,FB,JohnJa12
608,Zach Pascal,46.2,Sun,17,18,2024-01-07,29-020,ARI,NA,SEA,L 20-21,19,27.1,0,0,12,46.2,WR,PascZa00
620,KhaDarel Hodge,65.6,Sun,17,18,2024-01-07,29-004,ATL,@,NOR,L 17-48,17,27.9,0,0,21,65.6,WR,HodgKh00
634,David Moore,80,Sun,17,18,2024-01-07,28-357,TAM,@,CAR,W 9-0,17,26.2,0,0,16,80,WR,MoorDa03
637,Leonard Fournette,5.6,Sun,17,18,2024-01-07,28-354,BUF,@,MIA,W 21-14,16,20.5,0,0,1,5.6,RB,FourLe00
672,Matt Breida,46.2,Sun,17,18,2024-01-07,28-313,NYG,NA,PHI,W 27-10,5,7.5,0,0,12,46.2,RB,BreiMa00
733,Kevin Rader,36.4,Sun,17,18,2024-01-07,28-256,TEN,NA,JAX,W 28-20,17,30.9,0,0,8,36.4,TE,RadeKe00
735,Boston Scott,53.8,Sun,17,18,2024-01-07,28-255,PHI,@,NYG,L 10-27,20,30.8,0,0,14,53.8,RB,ScotBo02
768,Laquon Treadwell,66.7,Sat,17,18,2024-01-06,28-206,BAL,NA,PIT,L 10-17,43,75.4,0,0,18,66.7,WR,TreaLa00
802,Durham Smythe,22.2,Sun,17,18,2024-01-07,28-151,MIA,NA,BUF,L 14-21,39,75,0,0,4,22.2,TE,SmytDu00
812,Richie James,33.3,Sun,17,18,2024-01-07,28-124,KAN,@,LAC,W 13-12,48,82.8,0,0,9,33.3,WR,JameRi00
816,Brandon Powell,17.9,Sun,17,18,2024-01-07,28-117,MIN,@,DET,L 20-30,9,12.3,0,0,5,17.9,WR,PoweBr00
819,Samaje Perine,40,Sun,17,18,2024-01-07,28-113,DEN,@,LVR,L 14-27,23,37.7,0,0,10,40,RB,PeriSa00
827,Mike Gesicki,10.7,Sun,17,18,2024-01-07,28-096,NWE,NA,NYJ,L 3-17,41,71.9,0,0,3,10.7,TE,GesiMi00
831,Braxton Berrios,27.8,Sun,17,18,2024-01-07,28-093,MIA,NA,BUF,L 14-21,24,46.2,0,0,5,27.8,WR,BerrBr00
862,Jeff Wilson,22.2,Sun,17,18,2024-01-07,28-052,MIA,NA,BUF,L 14-21,25,48.1,0,0,4,22.2,RB,WilsJe01
881,Trenton Irwin,3.4,Sun,17,18,2024-01-07,28-028,CIN,NA,CLE,W 31-14,26,40.6,0,0,1,3.4,WR,IrwiTr00
897,Jeremy McNichols,63.2,Sun,17,18,2024-01-07,28-012,SFO,NA,LAR,L 20-21,0,0,0,0,12,63.2,RB,McNiJe00
936,Royce Freeman,63.2,Sun,17,18,2024-01-07,27-317,LAR,@,SFO,W 21-20,27,40.3,0,0,12,63.2,RB,FreeRo00
937,Trent Sherfield,50,Sun,17,18,2024-01-07,27-316,BUF,@,MIA,W 21-14,55,70.5,0,0,9,50,WR,SherTr00
954,Jason Cabinda,71.4,Sun,17,18,2024-01-07,27-296,DET,NA,MIN,W 30-20,5,8.8,0,0,20,71.4,FB,CabiJa00
964,Justin Watson,14.8,Sun,17,18,2024-01-07,27-278,KAN,@,LAC,W 13-12,18,31,0,0,4,14.8,WR,WatsJu01
971,Chase Edmonds,35,Sun,17,18,2024-01-07,27-269,TAM,@,CAR,W 9-0,17,26.2,0,0,7,35,RB,EdmoCh00
974,Drew Sample,31,Sun,17,18,2024-01-07,27-266,CIN,NA,CLE,W 31-14,47,73.4,0,0,9,31,TE,SampDr00
1002,Andrew Beck,23.3,Sat,17,18,2024-01-06,27-236,HOU,@,IND,W 23-19,15,26.8,0,0,7,23.3,FB,BeckAn01
1021,Ian Thomas,35,Sun,17,18,2024-01-07,27-215,CAR,NA,TAM,L 0-9,19,36.5,0,0,7,35,TE,ThomIa00
1034,Craig Reynolds,46.4,Sun,17,18,2024-01-07,27-206,DET,NA,MIN,W 30-20,2,3.5,0,0,13,46.4,RB,ReynCr00
1041,Nick Bawden,50,Sun,17,18,2024-01-07,27-199,NYJ,@,NWE,W 17-3,15,23.1,0,0,14,50,FB,BawdNi00
1052,Khari Blasingame,38.9,Sun,17,18,2024-01-07,27-190,CHI,@,GNB,L 9-17,7,14.6,0,0,7,38.9,FB,BlasKh00
1057,Diontae Johnson,3.7,Sat,17,18,2024-01-06,27-185,PIT,@,BAL,W 17-10,30,48.4,0,0,1,3.7,WR,JohnDi01
1061,Will Dissly,34.6,Sun,17,18,2024-01-07,27-183,SEA,@,ARI,W 21-20,20,36.4,0,0,9,34.6,TE,DissWi00
1062,Alec Ingold,50,Sun,17,18,2024-01-07,27-182,MIA,NA,BUF,L 14-21,17,32.7,0,0,9,50,FB,IngoAl01
1093,KaVontae Turpin,22.7,Sun,17,18,2024-01-07,27-158,DAL,@,WAS,W 38-10,10,13.9,0,0,5,22.7,WR,TurpKa00
1132,Juwann Winfree,20,Sat,17,18,2024-01-06,27-124,IND,NA,HOU,L 19-23,0,0,0,0,6,20,WR,WinfJu00
1133,Stanley Morgan Jr.,75.9,Sun,17,18,2024-01-07,27-122,CIN,NA,CLE,W 31-14,0,0,0,0,22,75.9,WR,MorgSt02
1151,James Proche,62.1,Sun,17,18,2024-01-07,27-108,CLE,@,CIN,L 14-31,50,94.3,0,0,18,62.1,WR,ProcJa00
1177,Miles Boykin,81.5,Sat,17,18,2024-01-06,27-086,PIT,@,BAL,W 17-10,5,8.1,0,0,22,81.5,WR,BoykMi00
