Rk,Player,Cmp,Att,Tgt,TD,Fmb,Off%,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Fmb,FR,Yds,FRTD,FF,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
1,Marcedes Lewis,0,0,1,1,0,50.0,Sun,15,16,2023-12-24,39-219,CHI,,ARI,W 27-16,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,1,1,1,1.0,1,100.0,1.0,1,100.0,1,0,0,,0,0,,0,0,6,0,0,0,0,0,35,50.0,0,0.0,2,6.9,TE,LewiMa00
2,Joe Flacco,27,2,0,0,0,89.0,Sun,15,16,2023-12-24,38-342,CLE,@,HOU,W 36-22,27,42,15,64.3,368,3,2,0,7.1,4.8,96.1,0,0,0.00,8.8,8.05,8.05,13.6,52.4,2,1,0.5,0,1,50.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,73,89.0,0,0.0,0,0.0,QB,FlacJo00
3,Jimmy Graham,0,0,0,0,0,3.3,Thu,15,16,2023-12-21,37-027,NOR,@,LAR,L 22-30,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,3.3,0,0.0,0,0.0,TE,GrahJi00
4,Matthew Stafford,24,1,0,0,0,100.0,Thu,15,16,2023-12-21,35-317,LAR,,NOR,W 30-22,24,34,10,70.6,328,2,0,0,5.9,0.0,120.7,1,3,2.86,9.6,10.82,10.43,13.7,65.7,1,-4,-4.0,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,70,100.0,0,0.0,0,0.0,QB,StafMa00
5,Case Keenum,11,0,0,0,0,49.3,Sun,15,16,2023-12-24,35-310,HOU,,CLE,L 22-36,11,17,6,64.7,62,0,2,0,0.0,11.8,31.6,3,33,15.00,3.6,-1.65,-3.05,5.6,30.0,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,37,49.3,0,0.0,0,0.0,QB,KeenCa00
6,Ryan Tannehill,18,2,0,0,1,100.0,Sun,15,16,2023-12-24,35-150,TEN,,SEA,L 17-20,18,26,8,69.2,152,0,0,0,0.0,0.0,84.1,6,39,18.75,5.8,5.85,3.53,8.4,37.5,2,37,18.5,0,2,100.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,1,1,0,0,0,66,100.0,0,0.0,0,0.0,QB,TannRy00
7,Russell Wilson,25,4,0,0,2,100.0,Sun,15,16,2023-12-24,35-025,DEN,,NWE,L 23-26,25,37,12,67.6,238,2,0,0,5.4,0.0,103.2,5,45,11.90,6.4,7.51,5.55,9.5,45.2,4,20,5.0,0,4,100.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,2,1,10,0,0,69,100.0,0,0.0,0,0.0,QB,WilsRu00
8,Julio Jones,0,0,4,0,0,26.7,Mon,15,16,2023-12-25,34-325,PHI,,NYG,W 33-25,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,4,1,5,5.0,0,25.0,1.3,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,20,26.7,0,0.0,0,0.0,WR,JoneJu02
9,Tyrod Taylor,7,2,0,0,0,49.2,Mon,15,16,2023-12-25,34-144,NYG,@,PHI,L 25-33,7,16,9,43.8,133,1,1,0,6.3,6.3,68.0,0,0,0.00,8.3,6.75,6.75,19.0,31.3,2,21,10.5,0,1,100.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,31,49.2,0,0.0,0,0.0,QB,TaylTy00
10,Travis Kelce,0,0,7,0,0,80.3,Mon,15,16,2023-12-25,34-081,KAN,,LVR,L 14-20,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,7,5,44,8.8,0,71.4,6.3,1,42.9,0,0,0,,0,0,,0,0,0,0,0,0,0,0,61,80.3,0,0.0,0,0.0,TE,KelcTr00
