player,team,py_games_played,games_played,pas_att_rat,cmp_rat,pas_yds_rat,pas_tds_rat,int_rat
Tom Brady,TB,17,9,46.81944602753593,31.85464843460197,316.23656672420134,2.0525709786847948,-0.29747232196880025
Aaron Rodgers,GB,16,9,35.17768213337048,23.843435724116944,249.56889346553936,2.1094714529915874,-0.3512536287077595
Joe Burrow,CIN,16,9,35.9786597846353,26.302835917211404,304.30340031827484,2.1859356782368673,0.2939728514394807
Kyler Murray,ARI,14.000000000000002,9,39.092700382258506,27.72154604762769,263.4225021195424,1.6127264704352855,0.21470972206927283
Lamar Jackson,BAL,12.000000000000002,9,28.475766699829585,18.57215233009962,210.66718607376274,1.517835872450112,0.5827133234305041
Trevor Lawrence,JAC,17,9,34.942929998924356,22.08760876477015,224.04381237884826,0.7981426052136165,0.7721630300502176
Justin Fields,CHI,10.4,9,20.109797972150297,11.813120729158289,148.38966162901906,0.7618347094515918,0.8245232086974438
Geno Smith,SEA,3.2,9,30.124485792705137,22.541870791963937,238.58934631293508,1.616773044968143,0.33513758745180366
Marcus Mariota,ATL,2,9,16.811311012492155,8.30835732754732,146.934622152736,0.6790475431164573,0.8512448470380256
Zach Wilson,NYJ,13,6,26.0059246711266,14.196563311095098,180.22103819287366,0.5834897116783212,0.827757434151926
Andy Dalton,NO,6.4,6,36.22571115866008,23.727847837431487,246.14605019699468,1.3861433730641926,1.2013350397308586
P J Walker,CAR,1.8,4,32.523305142329484,18.03575705839286,185.62128448221665,0.5954840676722924,1.6368272049271937
Derek Carr,LV,17,8,36.28880777031859,24.04177944136027,266.8456732332194,1.357676478865784,0.4930147141599014
Jared Goff,DET,14.000000000000002,8,35.3516038362784,23.633222825670952,251.4551185011428,1.507115159745606,0.23868151128622286
Davis Mills,HOU,11.4,8,33.69953788673364,22.690179071118642,222.05436122122794,1.3397646728901331,0.6387135892988022
Tua Tagovailoa,MIA,12.2,7,32.316344898023935,22.929686788683,273.51886886720956,1.6680401017866258,0.4080083917255515
Mac Jones,NE,17,6,30.32787446232423,20.645572828683118,216.26673038399468,1.101779436091102,0.7602843380518862
Taylor Heinicke,WAS,15.2,3,31.558762056911927,20.532101559989336,217.9135851592022,1.3711167819257057,0.8930321586026925
Josh Allen,BUF,17,8,39.27503806595708,25.199161869864355,300.5396067464655,2.3425081919913655,0.39913074101097334
Matthew Stafford,LAR,17,8,35.94037360872592,24.964245203196427,269.738663715983,1.9699316361786448,0.6100419302962925
Jalen Hurts,PHI,15,8,28.613921203331365,18.902111959283996,239.73090844355505,1.190063549273238,0.15280864731245297
Kirk Cousins,MIN,16,8,37.37214972496822,24.641467820196794,261.5387668897239,1.9688057373275358,-0.09305088031952323
Malik Willis,TEN,0,3,15.355199820393455,5.5845854710695395,109.42535938647467,0.4271441165674464,0.9033941165674462
Sam Ehlinger,IND,0.6000000000000001,2,19.05397270980071,9.036662968754953,136.9699631211022,0.4257826503041154,0.9017238267747036
Justin Herbert,LAC,17,8,44.39358884173808,30.309707461933755,300.54726537273126,2.0959546287249204,0.17934678558766565
Patrick Mahomes,KC,17,8,43.057635538346624,28.767547166076326,337.30673035925037,2.4892734233278353,0.062008717445483474
Baker Mayfield,CAR,14.000000000000002,6,29.844934549387897,17.397674625591787,209.94019649494916,1.155296091582925,0.7422852372411883
Brandon Allen,CIN,2,1,19.068474821021493,8.605848638134312,142.47979065703845,0.9572294905126997,0.9572294905126997
Daniel Jones,NYG,11,8,29.849512982412307,20.674220083051168,197.38103950475767,0.7793372256947961,0.2389628941439938
Jacoby Brissett,CLE,6.2,8,33.9200000542546,21.504689374804354,224.12332586367427,0.7164590148566536,0.3917569275701263
Jimmy Garoppolo,SF,15,7,29.85747815181045,20.728166730609495,266.97480264652165,1.444774325447048,0.4767351097607737
Kenny Pickett,PIT,0,5,26.136053722755666,15.040218537109793,179.0289675827017,0.47847477165790375,1.3814747716579037
Dak Prescott,DAL,16,3,35.11395446578341,24.32229925390909,263.6543334291491,2.139333833098998,0.4078387350597831
Russell Wilson,DEN,14.000000000000002,7,30.16734657505689,18.98964255544205,238.12746734069745,1.481989669271248,-0.02339828591082488
Jarrett Stidham,LV,0,1,20.91389900919477,9.512209064320862,151.9576290423927,0.5652700086209809,0.9652700086209808
